forecast_id,product_id,region,forecast_date,predicted_demand,confidence_low,confidence_high,social_factor,model_version,explanation,created_at
11,1,Bay Area (SF),2026-05-24,212,173,253,1.68,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
12,1,Bay Area (SF),2026-05-25,224,181,261,1.73,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
13,1,Bay Area (SF),2026-05-26,239,189,269,1.66,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
14,1,Bay Area (SF),2026-05-27,255,197,277,1.84,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
15,1,Bay Area (SF),2026-05-28,258,205,285,1.66,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
16,1,Bay Area (SF),2026-05-29,256,213,293,1.75,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
17,1,Bay Area (SF),2026-05-30,256,221,301,1.69,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
18,1,Bay Area (SF),2026-05-31,281,229,309,2.01,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
19,1,Bay Area (SF),2026-06-01,293,237,317,2.03,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
20,1,Bay Area (SF),2026-06-02,270,245,325,2.07,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
21,1,Bay Area (SF),2026-06-03,298,253,333,1.97,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
22,1,Bay Area (SF),2026-06-04,291,261,341,2.04,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
23,1,Bay Area (SF),2026-06-05,301,269,349,1.99,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
24,1,Bay Area (SF),2026-06-06,311,277,357,1.98,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
25,1,Bay Area (SF),2026-06-07,330,285,365,2.2,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
26,1,Bay Area (SF),2026-06-08,318,293,373,2.28,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
27,1,Bay Area (SF),2026-06-09,330,301,381,2.17,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
28,1,Bay Area (SF),2026-06-10,353,309,389,2.36,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
29,1,Bay Area (SF),2026-06-11,347,317,397,2.18,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
30,1,Bay Area (SF),2026-06-12,376,325,405,2.34,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
31,1,New York Metro,2026-05-14,171,141,241,1.33,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
32,1,New York Metro,2026-05-15,205,147,247,1.28,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
33,1,New York Metro,2026-05-16,226,153,253,1.34,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
34,1,New York Metro,2026-05-17,199,159,259,1.4,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
35,1,New York Metro,2026-05-18,232,165,265,1.41,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
36,1,New York Metro,2026-05-19,213,171,271,1.43,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
37,1,New York Metro,2026-05-20,249,177,277,1.57,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
38,1,New York Metro,2026-05-21,251,183,283,1.6,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
39,1,New York Metro,2026-05-22,215,189,289,1.66,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
40,1,New York Metro,2026-05-23,265,195,295,1.58,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
41,1,New York Metro,2026-05-24,233,201,301,1.54,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
42,1,New York Metro,2026-05-25,269,207,307,1.57,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
43,1,New York Metro,2026-05-26,264,213,313,1.62,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
44,1,New York Metro,2026-05-27,253,219,319,1.74,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
45,1,New York Metro,2026-05-28,256,225,325,1.77,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
46,1,New York Metro,2026-05-29,278,231,331,1.68,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
47,1,New York Metro,2026-05-30,282,237,337,1.87,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
48,1,New York Metro,2026-05-31,269,243,343,1.86,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
49,1,New York Metro,2026-06-01,310,249,349,1.88,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
50,1,New York Metro,2026-06-02,326,255,355,1.83,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
51,1,New York Metro,2026-06-03,314,261,361,1.97,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
52,1,New York Metro,2026-06-04,306,267,367,1.98,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
53,1,New York Metro,2026-06-05,322,273,373,2.09,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
54,1,New York Metro,2026-06-06,332,279,379,1.97,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
55,1,New York Metro,2026-06-07,322,285,385,2.05,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
56,1,New York Metro,2026-06-08,326,291,391,2.06,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
57,1,New York Metro,2026-06-09,328,297,397,2.11,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
58,1,New York Metro,2026-06-10,354,303,403,2.16,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
59,1,New York Metro,2026-06-11,368,309,409,2.24,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
60,1,New York Metro,2026-06-12,376,315,415,2.12,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""fda_inspection_update"",""site_allocation_review"",""enrollment_pull_forward""],""top_source"":""@fda_watch"",""criticality_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T09:49:20Z
61,1,Los Angeles Basin,2026-05-14,166,110,198,1.36,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
62,1,Los Angeles Basin,2026-05-15,153,115,203,1.26,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
63,1,Los Angeles Basin,2026-05-16,146,120,208,1.31,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
64,1,Los Angeles Basin,2026-05-17,180,125,213,1.42,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
65,1,Los Angeles Basin,2026-05-18,167,130,218,1.47,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
66,1,Los Angeles Basin,2026-05-19,194,135,223,1.45,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
67,1,Los Angeles Basin,2026-05-20,187,140,228,1.37,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
68,1,Los Angeles Basin,2026-05-21,206,145,233,1.51,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
69,1,Los Angeles Basin,2026-05-22,174,150,238,1.45,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
70,1,Los Angeles Basin,2026-05-23,189,155,243,1.59,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
71,1,Los Angeles Basin,2026-05-24,209,160,248,1.52,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
72,1,Los Angeles Basin,2026-05-25,188,165,253,1.51,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
73,1,Los Angeles Basin,2026-05-26,196,170,258,1.72,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
74,1,Los Angeles Basin,2026-05-27,222,175,263,1.52,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
75,1,Los Angeles Basin,2026-05-28,227,180,268,1.71,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
76,1,Los Angeles Basin,2026-05-29,234,185,273,1.69,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
77,1,Los Angeles Basin,2026-05-30,224,190,278,1.65,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
78,1,Los Angeles Basin,2026-05-31,232,195,283,1.77,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
79,1,Los Angeles Basin,2026-06-01,223,200,288,1.65,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
80,1,Los Angeles Basin,2026-06-02,237,205,293,1.86,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
81,1,Los Angeles Basin,2026-06-03,263,210,298,1.8,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
82,1,Los Angeles Basin,2026-06-04,271,215,303,1.91,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
83,1,Los Angeles Basin,2026-06-05,269,220,308,1.76,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
84,1,Los Angeles Basin,2026-06-06,248,225,313,1.79,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
85,1,Los Angeles Basin,2026-06-07,285,230,318,1.98,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""ema_variation_notice"",""cold-chain_route_restriction"",""airport_delay_signal""],""top_source"":""@ema_updates"",""criticality_score"":74,""confidence"":""medium"",""trend"":""steady_growth""}",2026-05-13T09:49:20Z
