product_id,brand_id,sku,product_name,description,category,subcategory,unit_price,unit_cost,weight_kg,is_active,launch_date,tags,created_at,updated_at
22,8,WEL-00022,Paratransit Reservation Window,,Passenger Mobility,Paratransit,170,68,0.001,1,2025-04-03,"paratransit,reservation,passenger,route",2026-05-13T10:00:43Z,2026-05-13T10:00:43Z
23,8,WEL-00023,School Route Capacity Review,,Passenger Mobility,School Route,145,55,0.001,1,2024-09-15,"school-route,capacity,passenger",2026-05-13T10:00:43Z,2026-05-13T10:00:43Z
24,9,SIL-00024,Refrigerated Truckload Slot,,Cold Chain,Reefer,190,78,0.001,1,2026-03-15,"reefer,cold-chain,temperature,truckload",2026-05-13T10:00:43Z,2026-05-13T10:00:43Z
25,9,SIL-00025,Cold Chain Exception Review,,Cold Chain,Temperature Excursion,130,50,0.001,1,2025-08-25,"temperature,exception,cold-chain,quality",2026-05-13T10:00:43Z,2026-05-13T10:00:43Z
26,10,ONR-00026,Port Drayage Appointment,,Port Drayage,Port Appointment,360,145,0.001,1,2026-02-03,"port,drayage,appointment,container",2026-05-13T10:00:43Z,2026-05-13T10:00:43Z
27,10,ONR-00027,Empty Container Return Slot,,Port Drayage,Equipment Return,640,260,0.001,1,2026-01-26,"empty-container,return,port,capacity",2026-05-13T10:00:43Z,2026-05-13T10:00:43Z
28,11,RAI-00028,Railcar Spotting Request,,Rail Freight,Yard Service,520,210,0.001,1,2025-02-20,"railcar,spotting,yard,capacity",2026-05-13T10:00:43Z,2026-05-13T10:00:43Z
29,11,RAI-00029,Interchange Delay Coaching,,Rail Freight,Delay Recovery,155,62,0.001,1,2025-08-16,"interchange,delay,recovery,rail",2026-05-13T10:00:43Z,2026-05-13T10:00:43Z
30,12,ROU-00030,Fleet Maintenance Window,,Fleet Services,Maintenance,210,86,0.001,1,2026-02-27,"fleet,maintenance,pm,availability",2026-05-13T10:00:43Z,2026-05-13T10:00:43Z
31,12,ROU-00031,Driver Safety Briefing,,Fleet Services,Safety,135,53,0.001,1,2026-03-11,"driver,safety,briefing,compliance",2026-05-13T10:00:43Z,2026-05-13T10:00:43Z
