influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
23,@dispatcher_tyler,Dispatcher Tyler,twitter,8582,0.0363,59.09,Passenger Mobility,Chicago,Illinois,US,0,2026-05-13T10:00:43Z
24,@dispatcher_nina,Dispatcher Nina,youtube,18943,0.0357,65.01,Cold Chain,Houston,Texas,US,0,2026-05-13T10:00:43Z
25,@dispatcher_finn,Dispatcher Finn,threads,5572,0.0539,65.63,Port Drayage,Phoenix,Arizona,US,0,2026-05-13T10:00:43Z
26,@dispatcher_luna,Dispatcher Luna,instagram,20475,0.0374,74.94,Rail Freight,San Francisco,California,US,0,2026-05-13T10:00:43Z
27,@dispatcher_noah,Dispatcher Noah,tiktok,6164,0.0963,96.04,Fleet Services,Miami,Florida,US,0,2026-05-13T10:00:43Z
28,@dispatcher_ruby,Dispatcher Ruby,twitter,2447,0.0313,63.73,Fleet Monitoring,Seattle,Washington,US,0,2026-05-13T10:00:43Z
29,@dispatcher_dane,Dispatcher Dane,youtube,7197,0.1084,100,Disruption Response,Denver,Colorado,US,0,2026-05-13T10:00:43Z
30,@dispatcher_hope,Dispatcher Hope,threads,9630,0.0402,63.42,Yard Operations,Austin,Texas,US,0,2026-05-13T10:00:43Z
31,@logistics_zoe,Logistics Zoe,instagram,6143,0.0332,63.5,Less-than-Truckload,Nashville,Tennessee,US,0,2026-05-13T10:00:43Z
32,@logistics_maya,Logistics Maya,tiktok,6450,0.0675,84.71,Final Mile,Portland,Oregon,US,0,2026-05-13T10:00:43Z
33,@logistics_nina,Logistics Nina,twitter,9058,0.0534,70.38,Time-Critical Freight,Boston,Massachusetts,US,0,2026-05-13T10:00:43Z
34,@logistics_aria,Logistics Aria,youtube,6470,0.0477,64.78,Brokerage,Atlanta,Georgia,US,0,2026-05-13T10:00:43Z
35,@logistics_mia,Logistics Mia,threads,81739,0.0291,71.18,Heavy Haul,Dallas,Texas,US,0,2026-05-13T10:00:43Z
36,@logistics_ruby,Logistics Ruby,instagram,4747,0.0431,70.46,Regional Distribution,San Diego,California,US,0,2026-05-13T10:00:43Z
37,@logistics_faye,Logistics Faye,tiktok,38477,0.0672,87.85,Intermodal,Minneapolis,Minnesota,US,0,2026-05-13T10:00:43Z
38,@logistics_jace,Logistics Jace,twitter,4259,0.0826,80.06,Passenger Mobility,Detroit,Michigan,US,0,2026-05-13T10:00:43Z
39,@logistics_omar,Logistics Omar,youtube,3661,0.081,81.17,Cold Chain,Las Vegas,Nevada,US,0,2026-05-13T10:00:43Z
40,@logistics_tess,Logistics Tess,threads,5979,0.0632,71.74,Port Drayage,Brooklyn,New York,US,0,2026-05-13T10:00:43Z
41,@shipper_marcus,Shipper Marcus,instagram,3768,0.032,60.6,Rail Freight,New York,New York,US,0,2026-05-13T10:00:43Z
42,@shipper_ava,Shipper Ava,tiktok,8854,0.0491,65.39,Fleet Services,Los Angeles,California,US,0,2026-05-13T10:00:43Z
43,@shipper_finn,Shipper Finn,twitter,1534,0.1173,100,Fleet Monitoring,Chicago,Illinois,US,0,2026-05-13T10:00:43Z
44,@shipper_mia,Shipper Mia,youtube,9057,0.0384,69.39,Disruption Response,Houston,Texas,US,0,2026-05-13T10:00:43Z
45,@shipper_max,Shipper Max,threads,2641,0.1173,100,Yard Operations,Phoenix,Arizona,US,0,2026-05-13T10:00:43Z
46,@shipper_hope,Shipper Hope,instagram,946925,0.0165,81.42,Less-than-Truckload,San Francisco,California,US,1,2026-05-13T10:00:43Z
47,@shipper_nora,Shipper Nora,tiktok,36984,0.0357,68.96,Final Mile,Miami,Florida,US,0,2026-05-13T10:00:43Z
48,@shipper_tess,Shipper Tess,twitter,45389,0.0521,79.99,Time-Critical Freight,Seattle,Washington,US,0,2026-05-13T10:00:43Z
49,@shipper_yuri,Shipper Yuri,youtube,612098,0.0431,86.32,Brokerage,Denver,Colorado,US,1,2026-05-13T10:00:43Z
50,@shipper_sarah,Shipper Sarah,threads,5846,0.0928,94.6,Heavy Haul,Austin,Texas,US,0,2026-05-13T10:00:43Z
51,@terminal_lily,Terminal Lily,instagram,51546,0.074,96.54,Regional Distribution,Nashville,Tennessee,US,0,2026-05-13T10:00:43Z
52,@terminal_nina,Terminal Nina,tiktok,6677,0.048,77.76,Intermodal,Portland,Oregon,US,0,2026-05-13T10:00:43Z
53,@terminal_luna,Terminal Luna,twitter,4840,0.0926,85.15,Passenger Mobility,Boston,Massachusetts,US,0,2026-05-13T10:00:43Z
54,@terminal_ruby,Terminal Ruby,youtube,76448,0.0694,97.74,Cold Chain,Atlanta,Georgia,US,0,2026-05-13T10:00:43Z
55,@terminal_hope,Terminal Hope,threads,6723,0.0839,90.6,Port Drayage,Dallas,Texas,US,0,2026-05-13T10:00:43Z
56,@terminal_omar,Terminal Omar,instagram,802079,0.017,83.25,Rail Freight,San Diego,California,US,1,2026-05-13T10:00:43Z
57,@terminal_vince,Terminal Vince,tiktok,66833,0.0785,89.98,Fleet Services,Minneapolis,Minnesota,US,0,2026-05-13T10:00:43Z
58,@terminal_cass,Terminal Cass,twitter,7673,0.09,99.66,Fleet Monitoring,Detroit,Michigan,US,0,2026-05-13T10:00:43Z
59,@terminal_zoe,Terminal Zoe,youtube,9183,0.1139,100,Disruption Response,Las Vegas,Nevada,US,0,2026-05-13T10:00:43Z
60,@terminal_ava,Terminal Ava,threads,4688,0.0346,56.03,Yard Operations,Brooklyn,New York,US,0,2026-05-13T10:00:43Z
61,@fleet_kai,Fleet Kai,instagram,9548,0.0836,93.1,Less-than-Truckload,New York,New York,US,0,2026-05-13T10:00:43Z
62,@fleet_ella,Fleet Ella,tiktok,42651,0.0364,72.51,Final Mile,Los Angeles,California,US,0,2026-05-13T10:00:43Z
63,@fleet_noah,Fleet Noah,twitter,1519,0.1128,94.1,Time-Critical Freight,Chicago,Illinois,US,0,2026-05-13T10:00:43Z
64,@fleet_faye,Fleet Faye,youtube,3297,0.1096,98.82,Brokerage,Houston,Texas,US,0,2026-05-13T10:00:43Z
65,@fleet_nora,Fleet Nora,threads,234083,0.0449,82.12,Heavy Haul,Phoenix,Arizona,US,0,2026-05-13T10:00:43Z
66,@fleet_vince,Fleet Vince,instagram,2855,0.1008,93.9,Regional Distribution,San Francisco,California,US,0,2026-05-13T10:00:43Z
67,@fleet_dev,Fleet Dev,tiktok,6823,0.0971,89.25,Intermodal,Miami,Florida,US,0,2026-05-13T10:00:43Z
68,@fleet_lily,Fleet Lily,twitter,99378,0.0635,98.79,Passenger Mobility,Seattle,Washington,US,0,2026-05-13T10:00:43Z
69,@fleet_drew,Fleet Drew,youtube,87586,0.0569,90.33,Cold Chain,Denver,Colorado,US,0,2026-05-13T10:00:43Z
70,@fleet_mia,Fleet Mia,threads,52220,0.0678,97.41,Port Drayage,Austin,Texas,US,0,2026-05-13T10:00:43Z
71,@yard_maya,Yard Maya,instagram,8669,0.0608,72.99,Rail Freight,Nashville,Tennessee,US,0,2026-05-13T10:00:43Z
72,@yard_aria,Yard Aria,tiktok,3389,0.076,85.69,Fleet Services,Portland,Oregon,US,0,2026-05-13T10:00:43Z
73,@yard_ruby,Yard Ruby,twitter,4911054,0.009,87.89,Fleet Monitoring,Boston,Massachusetts,US,1,2026-05-13T10:00:43Z
74,@yard_jace,Yard Jace,youtube,4781,0.0802,84.24,Disruption Response,Atlanta,Georgia,US,0,2026-05-13T10:00:43Z
75,@yard_tess,Yard Tess,threads,9066367,0.0221,86.96,Yard Operations,Dallas,Texas,US,1,2026-05-13T10:00:43Z
76,@yard_cass,Yard Cass,instagram,707764,0.032,86.26,Less-than-Truckload,San Diego,California,US,1,2026-05-13T10:00:43Z
77,@yard_lily,Yard Lily,tiktok,5493,0.0379,60.82,Final Mile,Minneapolis,Minnesota,US,0,2026-05-13T10:00:43Z
78,@yard_ella,Yard Ella,twitter,3327,0.049,71.61,Time-Critical Freight,Detroit,Michigan,US,0,2026-05-13T10:00:43Z
79,@yard_ivy,Yard Ivy,youtube,6574,0.0543,75.42,Brokerage,Las Vegas,Nevada,US,0,2026-05-13T10:00:43Z
80,@yard_hope,Yard Hope,threads,930473,0.0426,96.85,Heavy Haul,Brooklyn,New York,US,1,2026-05-13T10:00:43Z
81,@route_tyler,Route Tyler,instagram,4734,0.1108,92.97,Regional Distribution,New York,New York,US,0,2026-05-13T10:00:43Z
82,@route_luna,Route Luna,tiktok,95145,0.064,84.46,Intermodal,Los Angeles,California,US,0,2026-05-13T10:00:43Z
83,@route_dane,Route Dane,twitter,6067,0.0762,90.89,Passenger Mobility,Chicago,Illinois,US,0,2026-05-13T10:00:43Z
84,@route_omar,Route Omar,youtube,56684,0.0777,98.03,Cold Chain,Houston,Texas,US,0,2026-05-13T10:00:43Z
85,@route_yuri,Route Yuri,threads,6702,0.1171,100,Port Drayage,Phoenix,Arizona,US,0,2026-05-13T10:00:43Z
86,@route_zoe,Route Zoe,instagram,994469,0.027,90.44,Rail Freight,San Francisco,California,US,1,2026-05-13T10:00:43Z
87,@route_drew,Route Drew,tiktok,972520,0.0444,96.45,Fleet Services,Miami,Florida,US,1,2026-05-13T10:00:43Z
88,@route_ivy,Route Ivy,twitter,69559,0.0336,81.11,Fleet Monitoring,Seattle,Washington,US,0,2026-05-13T10:00:43Z
89,@route_ines,Route Ines,youtube,297586,0.0387,83.5,Disruption Response,Denver,Colorado,US,0,2026-05-13T10:00:43Z
90,@route_tess,Route Tess,threads,4776,0.0632,70.7,Yard Operations,Austin,Texas,US,0,2026-05-13T10:00:43Z
91,@rail_ava,Rail Ava,instagram,878886,0.0334,81.18,Less-than-Truckload,Nashville,Tennessee,US,1,2026-05-13T10:00:43Z
92,@rail_mia,Rail Mia,tiktok,61249,0.0474,88.76,Final Mile,Portland,Oregon,US,0,2026-05-13T10:00:43Z
93,@rail_hope,Rail Hope,twitter,29449,0.0755,90.03,Time-Critical Freight,Boston,Massachusetts,US,0,2026-05-13T10:00:43Z
94,@rail_tess,Rail Tess,youtube,1239,0.0987,80.95,Brokerage,Atlanta,Georgia,US,0,2026-05-13T10:00:43Z
95,@rail_sarah,Rail Sarah,threads,46852,0.0511,85.93,Heavy Haul,Dallas,Texas,US,0,2026-05-13T10:00:43Z
101,@port_cole,Port Cole,instagram,85935,0.0682,92.3,Regional Distribution,San Diego,California,US,0,2026-05-13T10:00:43Z
102,@port_ivy,Port Ivy,tiktok,7436,0.0559,71.56,Intermodal,Minneapolis,Minnesota,US,0,2026-05-13T10:00:43Z
103,@port_kara,Port Kara,twitter,1150,0.1148,100,Passenger Mobility,Detroit,Michigan,US,0,2026-05-13T10:00:43Z
104,@port_xena,Port Xena,youtube,28298,0.0493,85.05,Cold Chain,Las Vegas,Nevada,US,0,2026-05-13T10:00:43Z
105,@port_marcus,Port Marcus,threads,96141,0.072,95.73,Port Drayage,Brooklyn,New York,US,0,2026-05-13T10:00:43Z
106,@port_aria,Port Aria,instagram,8259,0.1095,96.81,Rail Freight,New York,New York,US,0,2026-05-13T10:00:43Z
107,@port_dane,Port Dane,tiktok,36701,0.0455,80.67,Fleet Services,Los Angeles,California,US,0,2026-05-13T10:00:43Z
108,@port_reed,Port Reed,twitter,6335,0.0475,72.04,Fleet Monitoring,Chicago,Illinois,US,0,2026-05-13T10:00:43Z
109,@port_dev,Port Dev,youtube,325652,0.0239,79.99,Disruption Response,Houston,Texas,US,0,2026-05-13T10:00:43Z
110,@port_ava,Port Ava,threads,5936,0.0721,86.51,Yard Operations,Phoenix,Arizona,US,0,2026-05-13T10:00:43Z
111,@parcel_nina,Parcel Nina,instagram,5055,0.0485,69.72,Less-than-Truckload,San Francisco,California,US,0,2026-05-13T10:00:43Z
112,@parcel_ruby,Parcel Ruby,tiktok,7931,0.0724,80.79,Final Mile,Miami,Florida,US,0,2026-05-13T10:00:43Z
113,@parcel_omar,Parcel Omar,twitter,92682,0.0649,96.58,Time-Critical Freight,Seattle,Washington,US,0,2026-05-13T10:00:43Z
114,@parcel_cass,Parcel Cass,youtube,4485,0.0867,84.19,Brokerage,Denver,Colorado,US,0,2026-05-13T10:00:43Z
115,@parcel_ava,Parcel Ava,threads,9008,0.0377,63.49,Heavy Haul,Austin,Texas,US,0,2026-05-13T10:00:43Z
116,@parcel_ivy,Parcel Ivy,instagram,13520,0.0506,75.4,Regional Distribution,Nashville,Tennessee,US,0,2026-05-13T10:00:43Z
117,@parcel_liam,Parcel Liam,tiktok,3310,0.0645,68.73,Intermodal,Portland,Oregon,US,0,2026-05-13T10:00:43Z
118,@parcel_zara,Parcel Zara,twitter,51288,0.0343,66.7,Passenger Mobility,Boston,Massachusetts,US,0,2026-05-13T10:00:43Z
119,@parcel_maya,Parcel Maya,youtube,5142,0.1142,96.29,Cold Chain,Atlanta,Georgia,US,0,2026-05-13T10:00:43Z
120,@parcel_mia,Parcel Mia,threads,306773,0.0304,78.48,Port Drayage,Dallas,Texas,US,0,2026-05-13T10:00:43Z
121,@drayage_drew,Drayage Drew,instagram,2531,0.0328,62.72,Rail Freight,San Diego,California,US,0,2026-05-13T10:00:43Z
122,@drayage_cleo,Drayage Cleo,tiktok,46830,0.0713,87.05,Fleet Services,Minneapolis,Minnesota,US,0,2026-05-13T10:00:43Z
123,@drayage_sage,Drayage Sage,twitter,57580,0.0681,96.54,Fleet Monitoring,Detroit,Michigan,US,0,2026-05-13T10:00:43Z
124,@drayage_jen,Drayage Jen,youtube,7937,0.0719,81.1,Disruption Response,Las Vegas,Nevada,US,0,2026-05-13T10:00:43Z
125,@drayage_finn,Drayage Finn,threads,6204386,0.0198,96.61,Yard Operations,Brooklyn,New York,US,1,2026-05-13T10:00:43Z
126,@drayage_faye,Drayage Faye,instagram,8143,0.0922,96.86,Less-than-Truckload,New York,New York,US,0,2026-05-13T10:00:43Z
127,@drayage_uma,Drayage Uma,tiktok,10112,0.0428,64.93,Final Mile,Los Angeles,California,US,0,2026-05-13T10:00:43Z
128,@drayage_zoe,Drayage Zoe,twitter,21814,0.0412,74.57,Time-Critical Freight,Chicago,Illinois,US,0,2026-05-13T10:00:43Z
129,@drayage_owen,Drayage Owen,youtube,4406954,0.0206,95.25,Brokerage,Houston,Texas,US,1,2026-05-13T10:00:43Z
130,@drayage_hope,Drayage Hope,threads,100567,0.0444,85.15,Heavy Haul,Phoenix,Arizona,US,0,2026-05-13T10:00:43Z
131,@linehaul_ella,Linehaul Ella,instagram,1636,0.0847,79.79,Regional Distribution,San Francisco,California,US,0,2026-05-13T10:00:43Z
132,@linehaul_faye,Linehaul Faye,tiktok,2123,0.0756,78.04,Intermodal,Miami,Florida,US,0,2026-05-13T10:00:43Z
133,@linehaul_vince,Linehaul Vince,twitter,7211,0.0689,76.05,Passenger Mobility,Seattle,Washington,US,0,2026-05-13T10:00:43Z
134,@linehaul_lily,Linehaul Lily,youtube,43472,0.0513,82.95,Cold Chain,Denver,Colorado,US,0,2026-05-13T10:00:43Z
135,@linehaul_mia,Linehaul Mia,threads,96207,0.0567,88.72,Port Drayage,Austin,Texas,US,0,2026-05-13T10:00:43Z
136,@linehaul_liam,Linehaul Liam,instagram,873048,0.0242,86.55,Rail Freight,Nashville,Tennessee,US,1,2026-05-13T10:00:43Z
137,@linehaul_cass,Linehaul Cass,tiktok,9393,0.0357,70.19,Fleet Services,Portland,Oregon,US,0,2026-05-13T10:00:43Z
138,@linehaul_nina,Linehaul Nina,twitter,2404,0.036,62.47,Fleet Monitoring,Boston,Massachusetts,US,0,2026-05-13T10:00:43Z
139,@linehaul_cleo,Linehaul Cleo,youtube,76095,0.0403,76.94,Disruption Response,Atlanta,Georgia,US,0,2026-05-13T10:00:43Z
140,@linehaul_tess,Linehaul Tess,threads,49303,0.0612,80.06,Yard Operations,Dallas,Texas,US,0,2026-05-13T10:00:43Z
141,@coldchain_finn,Coldchain Finn,instagram,74423,0.0669,91.02,Less-than-Truckload,San Diego,California,US,0,2026-05-13T10:00:43Z
142,@coldchain_hope,Coldchain Hope,tiktok,6458,0.0659,83.12,Final Mile,Minneapolis,Minnesota,US,0,2026-05-13T10:00:43Z
143,@coldchain_yuri,Coldchain Yuri,twitter,8555,0.0639,78.81,Time-Critical Freight,Detroit,Michigan,US,0,2026-05-13T10:00:43Z
144,@coldchain_ava,Coldchain Ava,youtube,3797,0.102,90.75,Brokerage,Las Vegas,Nevada,US,0,2026-05-13T10:00:43Z
145,@coldchain_max,Coldchain Max,threads,2998,0.0566,77.8,Heavy Haul,Brooklyn,New York,US,0,2026-05-13T10:00:43Z
146,@coldchain_tess,Coldchain Tess,instagram,506332,0.0446,92.7,Regional Distribution,New York,New York,US,1,2026-05-13T10:00:43Z
147,@coldchain_marcus,Coldchain Marcus,tiktok,24854,0.041,77.54,Intermodal,Los Angeles,California,US,0,2026-05-13T10:00:43Z
148,@coldchain_mia,Coldchain Mia,twitter,8923,0.1195,100,Passenger Mobility,Chicago,Illinois,US,0,2026-05-13T10:00:43Z
149,@coldchain_nora,Coldchain Nora,youtube,5974,0.1062,100,Cold Chain,Houston,Texas,US,0,2026-05-13T10:00:43Z
150,@coldchain_sarah,Coldchain Sarah,threads,89844,0.0262,79.2,Port Drayage,Phoenix,Arizona,US,0,2026-05-13T10:00:43Z
151,@intermodal_aria,Intermodal Aria,instagram,49282,0.042,78.92,Rail Freight,San Francisco,California,US,0,2026-05-13T10:00:43Z
152,@intermodal_jace,Intermodal Jace,tiktok,9103123,0.0132,81.78,Fleet Services,Miami,Florida,US,1,2026-05-13T10:00:43Z
153,@intermodal_cass,Intermodal Cass,twitter,225760,0.0421,87.26,Fleet Monitoring,Seattle,Washington,US,0,2026-05-13T10:00:43Z
154,@intermodal_ella,Intermodal Ella,youtube,43679,0.0741,96.89,Disruption Response,Denver,Colorado,US,0,2026-05-13T10:00:43Z
155,@intermodal_hope,Intermodal Hope,threads,13882,0.0482,67.25,Yard Operations,Austin,Texas,US,0,2026-05-13T10:00:43Z
156,@intermodal_zara,Intermodal Zara,instagram,62768,0.0735,96.02,Less-than-Truckload,Nashville,Tennessee,US,0,2026-05-13T10:00:43Z
157,@intermodal_nina,Intermodal Nina,tiktok,4198,0.0762,75.35,Final Mile,Portland,Oregon,US,0,2026-05-13T10:00:43Z
158,@intermodal_faye,Intermodal Faye,twitter,73409,0.0687,96.12,Time-Critical Freight,Boston,Massachusetts,US,0,2026-05-13T10:00:43Z
159,@intermodal_xena,Intermodal Xena,youtube,1469,0.1049,86.26,Brokerage,Atlanta,Georgia,US,0,2026-05-13T10:00:43Z
160,@intermodal_ava,Intermodal Ava,threads,10580,0.0305,68.87,Heavy Haul,Dallas,Texas,US,0,2026-05-13T10:00:43Z
161,@brokerage_owen,Brokerage Owen,instagram,10097193,0.018,93.66,Regional Distribution,San Diego,California,US,1,2026-05-13T10:00:43Z
162,@brokerage_liam,Brokerage Liam,tiktok,15741,0.0645,86.54,Intermodal,Minneapolis,Minnesota,US,0,2026-05-13T10:00:43Z
163,@brokerage_mike,Brokerage Mike,twitter,4964,0.0746,81.09,Passenger Mobility,Detroit,Michigan,US,0,2026-05-13T10:00:43Z
164,@brokerage_luna,Brokerage Luna,youtube,9168,0.0332,65.11,Cold Chain,Las Vegas,Nevada,US,0,2026-05-13T10:00:43Z
165,@brokerage_nora,Brokerage Nora,threads,19809,0.0721,86,Port Drayage,Brooklyn,New York,US,0,2026-05-13T10:00:43Z
166,@brokerage_jen,Brokerage Jen,instagram,1897,0.0526,62.76,Rail Freight,New York,New York,US,0,2026-05-13T10:00:43Z
167,@brokerage_jack,Brokerage Jack,tiktok,546561,0.0241,87.32,Fleet Services,Los Angeles,California,US,1,2026-05-13T10:00:43Z
168,@brokerage_omar,Brokerage Omar,twitter,22125,0.0773,85.81,Fleet Monitoring,Chicago,Illinois,US,0,2026-05-13T10:00:43Z
169,@brokerage_alex,Brokerage Alex,youtube,8594,0.0636,78.47,Disruption Response,Houston,Texas,US,0,2026-05-13T10:00:43Z
170,@brokerage_mia,Brokerage Mia,threads,16647,0.0375,73.73,Yard Operations,Phoenix,Arizona,US,0,2026-05-13T10:00:43Z
171,@access_luna,Access Luna,instagram,49785,0.0489,75.98,Less-than-Truckload,San Francisco,California,US,0,2026-05-13T10:00:43Z
172,@access_omar,Access Omar,tiktok,6082,0.0453,72.39,Final Mile,Miami,Florida,US,0,2026-05-13T10:00:43Z
173,@access_zoe,Access Zoe,twitter,9797,0.0851,96.38,Time-Critical Freight,Seattle,Washington,US,0,2026-05-13T10:00:43Z
174,@access_ivy,Access Ivy,youtube,2489,0.0328,57.74,Brokerage,Denver,Colorado,US,0,2026-05-13T10:00:43Z
175,@access_tess,Access Tess,threads,25919,0.0522,76.81,Heavy Haul,Austin,Texas,US,0,2026-05-13T10:00:43Z
176,@access_maya,Access Maya,instagram,11531897,0.0235,93.65,Regional Distribution,Nashville,Tennessee,US,1,2026-05-13T10:00:43Z
177,@access_cleo,Access Cleo,tiktok,81981,0.0478,86.61,Intermodal,Portland,Oregon,US,0,2026-05-13T10:00:43Z
178,@access_xena,Access Xena,twitter,898474,0.0269,87.7,Passenger Mobility,Boston,Massachusetts,US,1,2026-05-13T10:00:43Z
179,@access_nina,Access Nina,youtube,3553,0.0814,76.75,Cold Chain,Atlanta,Georgia,US,0,2026-05-13T10:00:43Z
180,@access_hope,Access Hope,threads,31733,0.0682,91.8,Port Drayage,Dallas,Texas,US,0,2026-05-13T10:00:43Z
181,@routing_jack,Routing Jack,instagram,5408,0.1182,100,Rail Freight,San Diego,California,US,0,2026-05-13T10:00:43Z
182,@routing_reed,Routing Reed,tiktok,53502,0.0555,77.87,Fleet Services,Minneapolis,Minnesota,US,0,2026-05-13T10:00:43Z
183,@routing_kai,Routing Kai,twitter,98176,0.0286,79.9,Fleet Monitoring,Detroit,Michigan,US,0,2026-05-13T10:00:43Z
184,@routing_cleo,Routing Cleo,youtube,5222,0.0808,83.14,Disruption Response,Las Vegas,Nevada,US,0,2026-05-13T10:00:43Z
185,@routing_yuri,Routing Yuri,threads,6253,0.0526,73.07,Yard Operations,Brooklyn,New York,US,0,2026-05-13T10:00:43Z
186,@routing_ella,Routing Ella,instagram,7012,0.0841,93.03,Less-than-Truckload,New York,New York,US,0,2026-05-13T10:00:43Z
187,@routing_kara,Routing Kara,tiktok,673325,0.0219,78.61,Final Mile,Los Angeles,California,US,1,2026-05-13T10:00:43Z
188,@routing_jen,Routing Jen,twitter,58715,0.0414,74.55,Time-Critical Freight,Chicago,Illinois,US,0,2026-05-13T10:00:43Z
189,@routing_noah,Routing Noah,youtube,84724,0.031,77.9,Brokerage,Houston,Texas,US,0,2026-05-13T10:00:43Z
190,@routing_tess,Routing Tess,threads,540071,0.0316,86.76,Heavy Haul,Phoenix,Arizona,US,1,2026-05-13T10:00:43Z
191,@safety_mia,Safety Mia,instagram,12178,0.0614,82.72,Regional Distribution,San Francisco,California,US,0,2026-05-13T10:00:43Z
192,@safety_tess,Safety Tess,tiktok,1688,0.1054,99.09,Intermodal,Miami,Florida,US,0,2026-05-13T10:00:43Z
193,@safety_ava,Safety Ava,twitter,1322,0.1151,94.39,Passenger Mobility,Seattle,Washington,US,0,2026-05-13T10:00:43Z
194,@safety_hope,Safety Hope,youtube,1217,0.1174,97.69,Cold Chain,Denver,Colorado,US,0,2026-05-13T10:00:43Z
195,@safety_sarah,Safety Sarah,threads,7319,0.0492,65.77,Port Drayage,Austin,Texas,US,0,2026-05-13T10:00:43Z
201,@telematics_noah,Telematics Noah,instagram,8532,0.0743,92.11,Rail Freight,Nashville,Tennessee,US,0,2026-05-13T10:00:43Z
202,@telematics_vince,Telematics Vince,tiktok,962268,0.0429,94.64,Fleet Services,Portland,Oregon,US,1,2026-05-13T10:00:43Z
203,@telematics_drew,Telematics Drew,twitter,37064,0.0271,72.2,Fleet Monitoring,Boston,Massachusetts,US,0,2026-05-13T10:00:43Z
204,@telematics_liam,Telematics Liam,youtube,5773046,0.0089,83.9,Disruption Response,Atlanta,Georgia,US,1,2026-05-13T10:00:43Z
205,@telematics_marcus,Telematics Marcus,threads,6734,0.0805,85.95,Yard Operations,Dallas,Texas,US,0,2026-05-13T10:00:43Z
206,@telematics_cleo,Telematics Cleo,instagram,2574,0.0905,79.6,Less-than-Truckload,San Diego,California,US,0,2026-05-13T10:00:43Z
207,@telematics_beau,Telematics Beau,tiktok,4234,0.0747,82.75,Final Mile,Minneapolis,Minnesota,US,0,2026-05-13T10:00:43Z
208,@telematics_luna,Telematics Luna,twitter,10015421,0.0188,87.3,Time-Critical Freight,Detroit,Michigan,US,1,2026-05-13T10:00:43Z
209,@telematics_sage,Telematics Sage,youtube,1516,0.0525,66.39,Brokerage,Las Vegas,Nevada,US,0,2026-05-13T10:00:43Z
