inventory_id,product_id,center_id,quantity_on_hand,quantity_reserved,quantity_incoming,reorder_point,reorder_qty,last_restock_date,updated_at
62,6,2,239,56,141,92,184,2026-04-26,2026-05-05T08:30:00Z
63,6,3,127,49,195,98,196,2026-04-25,2026-05-05T07:30:00Z
64,6,4,140,27,203,104,208,2026-04-24,2026-05-05T06:30:00Z
65,6,5,593,190,131,110,220,2026-05-04,2026-05-05T05:30:00Z
66,6,6,202,98,239,116,232,2026-05-03,2026-05-05T04:30:00Z
67,6,7,330,104,145,122,244,2026-05-02,2026-05-05T03:30:00Z
68,6,8,86,28,127,128,256,2026-05-01,2026-05-05T02:30:00Z
69,6,9,351,44,72,134,268,2026-04-30,2026-05-05T01:30:00Z
70,6,10,607,127,108,140,280,2026-04-29,2026-05-05T00:30:00Z
71,6,11,448,137,207,146,292,2026-04-28,2026-05-04T23:30:00Z
72,6,12,164,68,313,152,304,2026-04-27,2026-05-05T16:30:00Z
73,7,1,229,94,180,87,174,2026-04-26,2026-05-05T08:30:00Z
74,7,2,270,134,109,94,188,2026-04-25,2026-05-05T07:30:00Z
75,7,3,136,64,134,101,202,2026-04-24,2026-05-05T06:30:00Z
76,7,4,496,153,186,108,216,2026-05-04,2026-05-05T05:30:00Z
77,7,5,382,149,240,115,230,2026-05-03,2026-05-05T04:30:00Z
78,7,6,372,95,235,122,244,2026-05-02,2026-05-05T03:30:00Z
79,7,7,40,17,244,129,258,2026-05-01,2026-05-05T02:30:00Z
80,7,8,575,294,74,136,272,2026-04-30,2026-05-05T01:30:00Z
81,7,9,785,195,143,143,286,2026-04-29,2026-05-05T00:30:00Z
82,7,10,273,103,306,150,300,2026-04-28,2026-05-04T23:30:00Z
83,7,11,455,148,200,157,314,2026-04-27,2026-05-05T16:30:00Z
84,7,12,810,148,267,164,328,2026-04-26,2026-05-05T15:30:00Z
85,8,1,283,90,56,88,176,2026-04-25,2026-05-05T07:30:00Z
86,8,2,145,20,67,96,192,2026-04-24,2026-05-05T06:30:00Z
87,8,3,452,146,211,104,208,2026-05-04,2026-05-05T05:30:00Z
88,8,4,180,33,64,112,224,2026-05-03,2026-05-05T04:30:00Z
89,8,5,130,65,236,120,240,2026-05-02,2026-05-05T03:30:00Z
90,8,6,60,16,140,128,256,2026-05-01,2026-05-05T02:30:00Z
91,8,7,407,180,152,136,272,2026-04-30,2026-05-05T01:30:00Z
92,8,8,405,74,219,144,288,2026-04-29,2026-05-05T00:30:00Z
93,8,9,819,275,327,152,304,2026-04-28,2026-05-04T23:30:00Z
94,8,10,842,126,85,160,320,2026-04-27,2026-05-05T16:30:00Z
95,8,11,543,212,233,168,336,2026-04-26,2026-05-05T15:30:00Z
96,8,12,129,42,49,81,162,2026-04-25,2026-05-05T14:30:00Z
97,9,1,167,57,188,89,178,2026-04-24,2026-05-05T06:30:00Z
98,9,2,323,145,96,98,196,2026-05-04,2026-05-05T05:30:00Z
99,9,3,192,67,192,107,214,2026-05-03,2026-05-05T04:30:00Z
100,9,4,357,141,73,116,232,2026-05-02,2026-05-05T03:30:00Z
101,9,5,63,14,137,125,250,2026-05-01,2026-05-05T02:30:00Z
102,9,6,581,192,94,134,268,2026-04-30,2026-05-05T01:30:00Z
103,9,7,427,206,167,143,286,2026-04-29,2026-05-05T00:30:00Z
104,9,8,316,43,312,152,304,2026-04-28,2026-05-04T23:30:00Z
105,9,9,808,160,222,161,322,2026-04-27,2026-05-05T16:30:00Z
106,9,10,374,56,241,170,340,2026-04-26,2026-05-05T15:30:00Z
107,9,11,199,66,180,84,168,2026-04-25,2026-05-05T14:30:00Z
108,9,12,69,27,187,93,186,2026-04-24,2026-05-05T13:30:00Z
109,10,1,461,66,144,90,180,2026-05-04,2026-05-05T05:30:00Z
110,10,2,430,146,184,100,200,2026-05-03,2026-05-05T04:30:00Z
111,10,3,592,171,199,110,220,2026-05-02,2026-05-05T03:30:00Z
112,10,4,39,15,220,120,240,2026-05-01,2026-05-05T02:30:00Z
113,10,5,500,135,209,130,260,2026-04-30,2026-05-05T01:30:00Z
114,10,6,756,379,56,140,280,2026-04-29,2026-05-05T00:30:00Z
115,10,7,348,146,85,150,300,2026-04-28,2026-05-04T23:30:00Z
116,10,8,551,163,207,160,320,2026-04-27,2026-05-05T16:30:00Z
117,10,9,510,155,337,170,340,2026-04-26,2026-05-05T15:30:00Z
118,10,10,289,129,100,85,170,2026-04-25,2026-05-05T14:30:00Z
119,10,11,58,12,132,95,190,2026-04-24,2026-05-05T13:30:00Z
120,10,12,385,93,145,105,210,2026-05-04,2026-05-05T12:30:00Z
121,11,1,493,159,154,91,182,2026-05-03,2026-05-05T04:30:00Z
122,11,2,212,47,197,102,204,2026-05-02,2026-05-05T03:30:00Z
123,11,3,55,12,168,113,226,2026-05-01,2026-05-05T02:30:00Z
124,11,4,414,136,167,124,248,2026-04-30,2026-05-05T01:30:00Z
125,11,5,743,176,158,135,270,2026-04-29,2026-05-05T00:30:00Z
126,11,6,331,55,274,146,292,2026-04-28,2026-05-04T23:30:00Z
127,11,7,863,421,178,157,314,2026-04-27,2026-05-05T16:30:00Z
128,11,8,461,198,236,168,336,2026-04-26,2026-05-05T15:30:00Z
129,11,9,193,99,104,84,168,2026-04-25,2026-05-05T14:30:00Z
130,11,10,26,12,194,95,190,2026-04-24,2026-05-05T13:30:00Z
131,11,11,222,46,189,106,212,2026-05-04,2026-05-05T12:30:00Z
132,11,12,124,56,106,117,234,2026-05-03,2026-05-05T11:30:00Z
133,12,1,375,83,171,92,184,2026-05-02,2026-05-05T03:30:00Z
134,12,2,71,29,216,104,208,2026-05-01,2026-05-05T02:30:00Z
135,12,3,144,18,176,116,232,2026-04-30,2026-05-05T01:30:00Z
136,12,4,667,341,221,128,256,2026-04-29,2026-05-05T00:30:00Z
137,12,5,458,123,305,140,280,2026-04-28,2026-05-04T23:30:00Z
138,12,6,506,144,256,152,304,2026-04-27,2026-05-05T16:30:00Z
139,12,7,278,124,80,164,328,2026-04-26,2026-05-05T15:30:00Z
140,12,8,279,95,76,81,162,2026-04-25,2026-05-05T14:30:00Z
141,12,9,35,7,106,93,186,2026-04-24,2026-05-05T13:30:00Z
142,12,10,258,66,99,105,210,2026-05-04,2026-05-05T12:30:00Z
143,12,11,471,140,197,117,234,2026-05-03,2026-05-05T11:30:00Z
144,12,12,424,196,176,129,258,2026-05-02,2026-05-05T10:30:00Z
145,13,1,34,15,132,93,186,2026-05-01,2026-05-05T02:30:00Z
146,13,2,253,122,83,106,212,2026-04-30,2026-05-05T01:30:00Z
147,13,3,458,80,78,119,238,2026-04-29,2026-05-05T00:30:00Z
148,13,4,522,105,192,132,264,2026-04-28,2026-05-04T23:30:00Z
149,13,5,704,320,145,145,290,2026-04-27,2026-05-05T16:30:00Z
150,13,6,795,386,252,158,316,2026-04-26,2026-05-05T15:30:00Z
151,13,7,788,327,182,171,342,2026-04-25,2026-05-05T14:30:00Z
152,13,8,33,6,40,89,178,2026-04-24,2026-05-05T13:30:00Z
153,13,9,357,100,64,102,204,2026-05-04,2026-05-05T12:30:00Z
154,13,10,560,154,245,115,230,2026-05-03,2026-05-05T11:30:00Z
155,13,11,398,66,262,128,256,2026-05-02,2026-05-05T10:30:00Z
156,13,12,409,79,87,141,282,2026-05-01,2026-05-05T09:30:00Z
157,14,1,373,172,142,94,188,2026-04-30,2026-05-05T01:30:00Z
158,14,2,546,150,107,108,216,2026-04-29,2026-05-05T00:30:00Z
159,14,3,484,185,56,122,244,2026-04-28,2026-05-04T23:30:00Z
160,14,4,639,183,181,136,272,2026-04-27,2026-05-05T16:30:00Z
161,14,5,166,73,261,150,300,2026-04-26,2026-05-05T15:30:00Z
162,14,6,812,185,73,164,328,2026-04-25,2026-05-05T14:30:00Z
163,14,7,25,13,88,83,166,2026-04-24,2026-05-05T13:30:00Z
164,14,8,307,134,152,97,194,2026-05-04,2026-05-05T12:30:00Z
165,14,9,454,156,128,111,222,2026-05-03,2026-05-05T11:30:00Z
166,14,10,348,66,189,125,250,2026-05-02,2026-05-05T10:30:00Z
167,14,11,210,101,74,139,278,2026-05-01,2026-05-05T09:30:00Z
168,14,12,723,228,166,153,306,2026-04-30,2026-05-05T08:30:00Z
169,15,1,378,67,69,95,190,2026-04-29,2026-05-05T00:30:00Z
170,15,2,166,45,165,110,220,2026-04-28,2026-05-04T23:30:00Z
171,15,3,446,175,203,125,250,2026-04-27,2026-05-05T16:30:00Z
172,15,4,283,119,270,140,280,2026-04-26,2026-05-05T15:30:00Z
173,15,5,352,150,235,155,310,2026-04-25,2026-05-05T14:30:00Z
174,15,6,57,20,339,170,340,2026-04-24,2026-05-05T13:30:00Z
175,15,7,269,48,49,90,180,2026-05-04,2026-05-05T12:30:00Z
176,15,8,192,25,42,105,210,2026-05-03,2026-05-05T11:30:00Z
177,15,9,546,75,129,120,240,2026-05-02,2026-05-05T10:30:00Z
178,15,10,696,190,58,135,270,2026-05-01,2026-05-05T09:30:00Z
179,15,11,744,168,76,150,300,2026-04-30,2026-05-05T08:30:00Z
180,15,12,644,198,169,165,330,2026-04-29,2026-05-05T07:30:00Z
181,16,1,188,39,77,96,192,2026-04-28,2026-05-04T23:30:00Z
182,16,2,222,73,177,112,224,2026-04-27,2026-05-05T16:30:00Z
183,16,3,537,131,111,128,256,2026-04-26,2026-05-05T15:30:00Z
184,16,4,626,108,177,144,288,2026-04-25,2026-05-05T14:30:00Z
185,16,5,69,33,302,160,320,2026-04-24,2026-05-05T13:30:00Z
186,16,6,303,115,101,81,162,2026-05-04,2026-05-05T12:30:00Z
187,16,7,529,123,171,97,194,2026-05-03,2026-05-05T11:30:00Z
188,16,8,539,263,112,113,226,2026-05-02,2026-05-05T10:30:00Z
189,16,9,566,160,235,129,258,2026-05-01,2026-05-05T09:30:00Z
190,16,10,678,270,95,145,290,2026-04-30,2026-05-05T08:30:00Z
191,16,11,862,259,136,161,322,2026-04-29,2026-05-05T07:30:00Z
192,16,12,59,19,135,82,164,2026-04-28,2026-05-05T06:30:00Z
193,17,1,182,73,188,97,194,2026-04-27,2026-05-05T16:30:00Z
194,17,2,377,71,59,114,228,2026-04-26,2026-05-05T15:30:00Z
195,17,3,186,91,79,131,262,2026-04-25,2026-05-05T14:30:00Z
196,17,4,103,39,214,148,296,2026-04-24,2026-05-05T13:30:00Z
197,17,5,284,70,143,165,330,2026-05-04,2026-05-05T12:30:00Z
198,17,6,430,133,78,87,174,2026-05-03,2026-05-05T11:30:00Z
199,17,7,263,67,138,104,208,2026-05-02,2026-05-05T10:30:00Z
200,17,8,226,51,234,121,242,2026-05-01,2026-05-05T09:30:00Z
201,17,9,500,216,280,138,276,2026-04-30,2026-05-05T08:30:00Z
202,17,10,711,207,297,155,310,2026-04-29,2026-05-05T07:30:00Z
203,17,11,79,40,357,172,344,2026-04-28,2026-05-05T06:30:00Z
204,17,12,111,31,161,94,188,2026-04-27,2026-05-05T05:30:00Z
205,18,1,329,90,136,98,196,2026-04-26,2026-05-05T15:30:00Z
206,18,2,528,118,215,116,232,2026-04-25,2026-05-05T14:30:00Z
207,18,3,65,19,263,134,268,2026-04-24,2026-05-05T13:30:00Z
208,18,4,812,154,102,152,304,2026-05-04,2026-05-05T12:30:00Z
209,18,5,441,100,97,170,340,2026-05-03,2026-05-05T11:30:00Z
210,18,6,225,83,157,93,186,2026-05-02,2026-05-05T10:30:00Z
211,18,7,420,164,206,111,222,2026-05-01,2026-05-05T09:30:00Z
212,18,8,458,125,114,129,258,2026-04-30,2026-05-05T08:30:00Z
213,18,9,739,345,75,147,294,2026-04-29,2026-05-05T07:30:00Z
214,18,10,49,6,290,165,330,2026-04-28,2026-05-05T06:30:00Z
215,18,11,408,201,160,88,176,2026-04-27,2026-05-05T05:30:00Z
216,18,12,281,59,198,106,212,2026-04-26,2026-05-05T04:30:00Z
217,19,1,207,69,55,99,198,2026-04-25,2026-05-05T14:30:00Z
218,19,2,37,14,104,118,236,2026-04-24,2026-05-05T13:30:00Z
219,19,3,506,160,252,137,274,2026-05-04,2026-05-05T12:30:00Z
220,19,4,544,110,153,156,312,2026-05-03,2026-05-05T11:30:00Z
221,19,5,330,118,109,80,160,2026-05-02,2026-05-05T10:30:00Z
222,19,6,146,48,179,99,198,2026-05-01,2026-05-05T09:30:00Z
223,19,7,584,185,165,118,236,2026-04-30,2026-05-05T08:30:00Z
224,19,8,194,67,173,137,274,2026-04-29,2026-05-05T07:30:00Z
225,19,9,99,25,208,156,312,2026-04-28,2026-05-05T06:30:00Z
226,19,10,299,149,45,80,160,2026-04-27,2026-05-05T05:30:00Z
227,19,11,149,39,159,99,198,2026-04-26,2026-05-05T04:30:00Z
228,19,12,277,133,177,118,236,2026-04-25,2026-05-05T03:30:00Z
229,20,1,74,37,70,100,200,2026-04-24,2026-05-05T13:30:00Z
230,20,2,227,50,103,120,240,2026-05-04,2026-05-05T12:30:00Z
231,20,3,218,106,306,140,280,2026-05-03,2026-05-05T11:30:00Z
232,20,4,429,76,133,160,320,2026-05-02,2026-05-05T10:30:00Z
233,20,5,112,37,143,85,170,2026-05-01,2026-05-05T09:30:00Z
234,20,6,428,115,129,105,210,2026-04-30,2026-05-05T08:30:00Z
235,20,7,642,141,235,125,250,2026-04-29,2026-05-05T07:30:00Z
236,20,8,88,30,142,145,290,2026-04-28,2026-05-05T06:30:00Z
237,20,9,301,74,126,165,330,2026-04-27,2026-05-05T05:30:00Z
238,20,10,201,59,64,90,180,2026-04-26,2026-05-05T04:30:00Z
239,20,11,556,69,205,110,220,2026-04-25,2026-05-05T03:30:00Z
240,20,12,706,288,72,130,260,2026-04-24,2026-05-05T02:30:00Z
241,21,1,427,88,90,101,202,2026-05-04,2026-05-05T12:30:00Z
242,21,2,320,75,216,122,244,2026-05-03,2026-05-05T11:30:00Z
243,21,3,673,342,136,143,286,2026-05-02,2026-05-05T10:30:00Z
244,21,4,628,76,270,164,328,2026-05-01,2026-05-05T09:30:00Z
245,21,5,367,50,65,90,180,2026-04-30,2026-05-05T08:30:00Z
246,21,6,557,193,66,111,222,2026-04-29,2026-05-05T07:30:00Z
247,21,7,86,33,194,132,264,2026-04-28,2026-05-05T06:30:00Z
248,21,8,409,127,334,153,306,2026-04-27,2026-05-05T05:30:00Z
249,21,9,527,203,188,174,348,2026-04-26,2026-05-05T04:30:00Z
250,21,10,467,206,127,100,200,2026-04-25,2026-05-05T03:30:00Z
251,21,11,195,85,259,121,242,2026-04-24,2026-05-05T02:30:00Z
252,21,12,360,54,103,142,284,2026-05-04,2026-05-05T01:30:00Z
253,22,1,426,191,131,102,204,2026-05-03,2026-05-05T11:30:00Z
254,22,2,317,122,134,124,248,2026-05-02,2026-05-05T10:30:00Z
255,22,3,768,143,258,146,292,2026-05-01,2026-05-05T09:30:00Z
256,22,4,853,360,143,168,336,2026-04-30,2026-05-05T08:30:00Z
257,22,5,407,172,81,95,190,2026-04-29,2026-05-05T07:30:00Z
258,22,6,51,14,161,117,234,2026-04-28,2026-05-05T06:30:00Z
259,22,7,399,164,261,139,278,2026-04-27,2026-05-05T05:30:00Z
260,22,8,623,293,333,161,322,2026-04-26,2026-05-05T04:30:00Z
261,22,9,165,85,123,88,176,2026-04-25,2026-05-05T03:30:00Z
262,22,10,313,140,75,110,220,2026-04-24,2026-05-05T02:30:00Z
263,22,11,388,84,184,132,264,2026-05-04,2026-05-05T01:30:00Z
264,22,12,686,228,190,154,308,2026-05-03,2026-05-05T00:30:00Z
265,23,1,300,47,88,103,206,2026-05-02,2026-05-05T10:30:00Z
266,23,2,537,136,134,126,252,2026-05-01,2026-05-05T09:30:00Z
267,23,3,769,264,92,149,298,2026-04-30,2026-05-05T08:30:00Z
268,23,4,379,185,284,172,344,2026-04-29,2026-05-05T07:30:00Z
269,23,5,43,9,198,100,200,2026-04-28,2026-05-05T06:30:00Z
270,23,6,476,79,78,123,246,2026-04-27,2026-05-05T05:30:00Z
271,23,7,626,211,180,146,292,2026-04-26,2026-05-05T04:30:00Z
272,23,8,906,171,253,169,338,2026-04-25,2026-05-05T03:30:00Z
273,23,9,251,36,41,97,194,2026-04-24,2026-05-05T02:30:00Z
274,23,10,405,119,261,120,240,2026-05-04,2026-05-05T01:30:00Z
275,23,11,454,174,184,143,286,2026-05-03,2026-05-05T00:30:00Z
276,23,12,121,38,280,166,332,2026-05-02,2026-05-04T23:30:00Z
277,24,1,557,81,57,104,208,2026-05-01,2026-05-05T09:30:00Z
278,24,2,261,66,220,128,256,2026-04-30,2026-05-05T08:30:00Z
279,24,3,446,81,271,152,304,2026-04-29,2026-05-05T07:30:00Z
280,24,4,55,12,73,81,162,2026-04-28,2026-05-05T06:30:00Z
281,24,5,187,86,93,105,210,2026-04-27,2026-05-05T05:30:00Z
282,24,6,442,118,283,129,258,2026-04-26,2026-05-05T04:30:00Z
283,24,7,456,141,126,153,306,2026-04-25,2026-05-05T03:30:00Z
284,24,8,315,129,51,82,164,2026-04-24,2026-05-05T02:30:00Z
285,24,9,148,73,164,106,212,2026-05-04,2026-05-05T01:30:00Z
286,24,10,708,98,229,130,260,2026-05-03,2026-05-05T00:30:00Z
287,24,11,87,31,75,154,308,2026-05-02,2026-05-04T23:30:00Z
288,24,12,397,108,162,83,166,2026-05-01,2026-05-05T16:30:00Z
289,25,1,248,123,205,105,210,2026-04-30,2026-05-05T08:30:00Z
290,25,2,696,182,231,130,260,2026-04-29,2026-05-05T07:30:00Z
291,25,3,108,29,253,155,310,2026-04-28,2026-05-05T06:30:00Z
292,25,4,374,180,125,85,170,2026-04-27,2026-05-05T05:30:00Z
293,25,5,255,90,123,110,220,2026-04-26,2026-05-05T04:30:00Z
294,25,6,579,159,115,135,270,2026-04-25,2026-05-05T03:30:00Z
295,25,7,326,159,231,160,320,2026-04-24,2026-05-05T02:30:00Z
296,25,8,212,91,41,90,180,2026-05-04,2026-05-05T01:30:00Z
297,25,9,330,166,233,115,230,2026-05-03,2026-05-05T00:30:00Z
298,25,10,62,23,88,140,280,2026-05-02,2026-05-04T23:30:00Z
299,25,11,483,83,301,165,330,2026-05-01,2026-05-05T16:30:00Z
300,25,12,511,127,116,95,190,2026-04-30,2026-05-05T15:30:00Z
301,26,1,485,101,61,106,212,2026-04-29,2026-05-05T07:30:00Z
302,26,2,93,33,150,132,264,2026-04-28,2026-05-05T06:30:00Z
303,26,3,488,140,246,158,316,2026-04-27,2026-05-05T05:30:00Z
304,26,4,471,105,41,89,178,2026-04-26,2026-05-05T04:30:00Z
305,26,5,573,171,233,115,230,2026-04-25,2026-05-05T03:30:00Z
306,26,6,648,97,255,141,282,2026-04-24,2026-05-05T02:30:00Z
307,26,7,438,141,367,167,334,2026-05-04,2026-05-05T01:30:00Z
308,26,8,248,72,70,98,196,2026-05-03,2026-05-05T00:30:00Z
309,26,9,55,20,272,124,248,2026-05-02,2026-05-04T23:30:00Z
310,26,10,285,81,211,150,300,2026-05-01,2026-05-05T16:30:00Z
311,26,11,402,104,44,81,162,2026-04-30,2026-05-05T15:30:00Z
312,26,12,478,187,104,107,214,2026-04-29,2026-05-05T14:30:00Z
313,27,1,55,19,157,107,214,2026-04-28,2026-05-05T06:30:00Z
314,27,2,466,198,86,134,268,2026-04-27,2026-05-05T05:30:00Z
315,27,3,653,258,87,161,322,2026-04-26,2026-05-05T04:30:00Z
316,27,4,132,17,60,93,186,2026-04-25,2026-05-05T03:30:00Z
317,27,5,139,43,223,120,240,2026-04-24,2026-05-05T02:30:00Z
318,27,6,634,142,294,147,294,2026-05-04,2026-05-05T01:30:00Z
319,27,7,595,146,92,174,348,2026-05-03,2026-05-05T00:30:00Z
320,27,8,75,38,61,106,212,2026-05-02,2026-05-04T23:30:00Z
321,27,9,354,74,176,133,266,2026-05-01,2026-05-05T16:30:00Z
322,27,10,692,159,145,160,320,2026-04-30,2026-05-05T15:30:00Z
323,27,11,464,192,143,92,184,2026-04-29,2026-05-05T14:30:00Z
324,27,12,360,63,150,119,238,2026-04-28,2026-05-05T13:30:00Z
325,28,1,485,113,156,108,216,2026-04-27,2026-05-05T05:30:00Z
326,28,2,603,244,229,136,272,2026-04-26,2026-05-05T04:30:00Z
327,28,3,743,281,195,164,328,2026-04-25,2026-05-05T03:30:00Z
328,28,4,163,52,126,97,194,2026-04-24,2026-05-05T02:30:00Z
329,28,5,203,68,168,125,250,2026-05-04,2026-05-05T01:30:00Z
330,28,6,175,82,157,153,306,2026-05-03,2026-05-05T00:30:00Z
331,28,7,27,8,41,86,172,2026-05-02,2026-05-04T23:30:00Z
332,28,8,367,158,107,114,228,2026-05-01,2026-05-05T16:30:00Z
333,28,9,634,230,287,142,284,2026-04-30,2026-05-05T15:30:00Z
334,28,10,539,95,166,170,340,2026-04-29,2026-05-05T14:30:00Z
335,28,11,118,39,201,103,206,2026-04-28,2026-05-05T13:30:00Z
336,28,12,342,93,255,131,262,2026-04-27,2026-05-05T12:30:00Z
337,29,1,264,85,179,109,218,2026-04-26,2026-05-05T04:30:00Z
338,29,2,637,229,154,138,276,2026-04-25,2026-05-05T03:30:00Z
339,29,3,589,138,192,167,334,2026-04-24,2026-05-05T02:30:00Z
340,29,4,548,79,45,101,202,2026-05-04,2026-05-05T01:30:00Z
341,29,5,579,202,187,130,260,2026-05-03,2026-05-05T00:30:00Z
342,29,6,46,23,350,159,318,2026-05-02,2026-05-04T23:30:00Z
343,29,7,119,19,123,93,186,2026-05-01,2026-05-05T16:30:00Z
344,29,8,611,156,88,122,244,2026-04-30,2026-05-05T15:30:00Z
345,29,9,438,173,142,151,302,2026-04-29,2026-05-05T14:30:00Z
346,29,10,447,169,43,85,170,2026-04-28,2026-05-05T13:30:00Z
347,29,11,220,114,65,114,228,2026-04-27,2026-05-05T12:30:00Z
348,29,12,639,90,213,143,286,2026-04-26,2026-05-05T11:30:00Z
349,30,1,140,70,145,110,220,2026-04-25,2026-05-05T03:30:00Z
350,30,2,553,135,301,140,280,2026-04-24,2026-05-05T02:30:00Z
351,30,3,922,313,217,170,340,2026-05-04,2026-05-05T01:30:00Z
352,30,4,581,296,219,105,210,2026-05-03,2026-05-05T00:30:00Z
353,30,5,97,13,126,135,270,2026-05-02,2026-05-04T23:30:00Z
354,30,6,407,68,280,165,330,2026-05-01,2026-05-05T16:30:00Z
355,30,7,240,33,192,100,200,2026-04-30,2026-05-05T15:30:00Z
356,30,8,365,162,189,130,260,2026-04-29,2026-05-05T14:30:00Z
357,30,9,796,285,261,160,320,2026-04-28,2026-05-05T13:30:00Z
358,30,10,494,191,187,95,190,2026-04-27,2026-05-05T12:30:00Z
359,30,11,476,64,75,125,250,2026-04-26,2026-05-05T11:30:00Z
360,30,12,101,45,105,155,310,2026-04-25,2026-05-05T10:30:00Z
361,31,1,381,160,103,111,222,2026-04-24,2026-05-05T02:30:00Z
362,31,2,625,309,260,142,284,2026-05-04,2026-05-05T01:30:00Z
363,31,3,758,255,336,173,346,2026-05-03,2026-05-05T00:30:00Z
364,31,4,32,15,200,109,218,2026-05-02,2026-05-04T23:30:00Z
365,31,5,765,176,58,140,280,2026-05-01,2026-05-05T16:30:00Z
