post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
22,274,tiktok,hightech_signal_00022,Contract manufacturing capacity for Silicon Lot Genealogy Viewer is becoming the bottleneck for the next customer commitment wave,2026-04-29T08:15:00Z,5921,2491,499,154971,0.87,79.9,33,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
23,287,youtube,hightech_signal_00023,Demand volatility around Developer Portal Premium Seat is pressuring allocation rules across enterprise buyer regions,2026-04-29T01:00:00Z,9182,1654,212,48837,0.63,71.7,10,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
24,300,twitter,hightech_signal_00024,Service and support operations are asking for a follow-up plan on Customer Promise Allocation API before warranty cases rise,2026-04-28T17:45:00Z,8004,915,568,89161,0.65,65.9,49,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
25,313,instagram,hightech_signal_00025,Customer Commitment Console allocation is tightening as component shortages ripple through customer commitments,2025-08-27T16:30:00Z,7369,131,334,108336,0.87,47.9,24,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
26,326,threads,hightech_signal_00026,Fab operations teams are watching wafer starts for Secure Device Fleet Manager after the latest yield improvement review,2026-04-28T03:15:00Z,8862,1719,382,108632,0.53,64.9,3,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
27,339,tiktok,hightech_signal_00027,Supplier risk is rising for Customer Commit Date Guardrail and channel inventory buffers may not cover the next order-promising cycle,2026-04-27T20:00:00Z,13293,2496,304,89637,0.48,76.2,39,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
28,352,youtube,hightech_signal_00028,Engineering change orders changed the bill of materials assumptions for Supplier Shortage Radar during the NPI gate,2026-04-27T12:45:00Z,12379,1934,725,31691,0.35,77,15,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
29,365,twitter,hightech_signal_00029,Connected product telemetry for Supplier Risk Heatmap Service is showing field quality patterns that warranty analytics should triage,2026-04-27T05:30:00Z,2266,1435,213,52033,0.65,97.8,55,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
30,378,instagram,hightech_signal_00030,Contract manufacturing capacity for Contract Manufacturer Scorecard is becoming the bottleneck for the next customer commitment wave,2026-04-26T22:15:00Z,5639,2331,148,124332,0.65,77.1,30,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
31,391,threads,hightech_signal_00031,Demand volatility around Yield Improvement Analytics Pack is pressuring allocation rules across enterprise buyer regions,2025-12-17T16:30:00Z,7834,2112,673,90377,0.54,77.3,7,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
32,404,tiktok,hightech_signal_00032,Service and support operations are asking for a follow-up plan on NPI Supplier Readiness Kit before warranty cases rise,2026-04-26T07:45:00Z,7360,786,38,39816,0.7,56.9,45,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
33,417,youtube,hightech_signal_00033,Supply Chain Control Tower Seat allocation is tightening as component shortages ripple through customer commitments,2026-04-26T00:30:00Z,6298,715,162,34051,0.9,52.8,21,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
34,430,twitter,hightech_signal_00034,Fab operations teams are watching wafer starts for AI Edge Gateway Reference Kit after the latest yield improvement review,2026-04-25T17:15:00Z,1181,1133,459,32467,0.54,58.5,1,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
35,443,instagram,hightech_signal_00035,Supplier risk is rising for Firmware Release Governance Pack and channel inventory buffers may not cover the next order-promising cycle,2026-04-25T10:00:00Z,619,638,441,221139,0.83,73.7,35,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
36,456,threads,hightech_signal_00036,Engineering change orders changed the bill of materials assumptions for BOM Risk Reconciliation Service during the NPI gate,2026-04-25T02:45:00Z,5571,1567,602,209300,0.4,77.6,12,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
37,469,tiktok,hightech_signal_00037,Connected product telemetry for Support Knowledge Graph Seat is showing field quality patterns that warranty analytics should triage,2025-05-09T16:30:00Z,7603,1914,374,46287,0.54,69.6,51,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
38,2,youtube,hightech_signal_00038,Contract manufacturing capacity for Connected Product Support Entitlement is becoming the bottleneck for the next customer commitment wave,2026-04-24T12:15:00Z,2005,1924,667,99669,0.73,82.9,26,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
39,15,twitter,hightech_signal_00039,Demand volatility around Autonomous Test Cell Controller is pressuring allocation rules across enterprise buyer regions,2026-04-24T05:00:00Z,4727,3257,598,265557,0.52,78.2,5,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
40,28,instagram,hightech_signal_00040,Service and support operations are asking for a follow-up plan on Warranty Analytics Data Mart before warranty cases rise,2026-04-23T21:45:00Z,13350,2240,267,164297,0.68,67.7,41,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
41,41,threads,hightech_signal_00041,Rugged Sensor Replacement Kit allocation is tightening as component shortages ripple through customer commitments,2026-04-23T14:30:00Z,941,1288,492,198192,0.75,78.5,17,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
42,54,tiktok,hightech_signal_00042,Fab operations teams are watching wafer starts for Contract Manufacturing Audit Pack after the latest yield improvement review,2026-04-23T07:15:00Z,1896,1919,59,100649,0.86,84.1,57,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
43,67,youtube,hightech_signal_00043,Supplier risk is rising for Demand Volatility Forecast Pack and channel inventory buffers may not cover the next order-promising cycle,2025-08-29T16:30:00Z,6275,1558,208,37748,0.4,50.4,32,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
44,80,twitter,hightech_signal_00044,Engineering change orders changed the bill of materials assumptions for Thermal Control Sensor Array during the NPI gate,2026-04-22T16:45:00Z,8498,1494,393,17197,0.39,70.4,9,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
45,93,instagram,hightech_signal_00045,Connected product telemetry for Yield Excursion Response Pack is showing field quality patterns that warranty analytics should triage,2026-04-22T09:30:00Z,15041,3268,370,220947,0.34,78.8,47,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
46,106,threads,hightech_signal_00046,Contract manufacturing capacity for Order Promising Risk Service is becoming the bottleneck for the next customer commitment wave,2026-04-22T02:15:00Z,14863,223,499,58459,0.54,90.9,23,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
47,119,tiktok,hightech_signal_00047,Demand volatility around Private 5G Factory Starter Pack is pressuring allocation rules across enterprise buyer regions,2026-04-21T19:00:00Z,4030,1705,285,84787,0.89,89,2,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
48,132,youtube,hightech_signal_00048,Service and support operations are asking for a follow-up plan on Critical Component Reservation API before warranty cases rise,2026-04-21T11:45:00Z,5325,1190,555,154855,0.86,67.9,38,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
49,145,twitter,hightech_signal_00049,NPI Launch Readiness Board allocation is tightening as component shortages ripple through customer commitments,2025-12-19T16:30:00Z,421,1693,299,135053,0.63,73.1,14,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
50,158,instagram,hightech_signal_00050,Fab operations teams are watching wafer starts for Assembly Yield Correlator after the latest yield improvement review,2026-04-20T21:15:00Z,7253,1588,388,121771,0.55,71,54,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
51,171,threads,hightech_signal_00051,Supplier risk is rising for Lithography Throughput Analyzer and channel inventory buffers may not cover the next order-promising cycle,2026-04-20T14:00:00Z,6180,1405,455,262700,0.37,85.1,28,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
52,184,tiktok,hightech_signal_00052,Engineering change orders changed the bill of materials assumptions for Wafer Start Planning Optimizer during the NPI gate,2026-04-20T06:45:00Z,1566,822,272,136501,0.56,59.9,6,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
53,197,youtube,hightech_signal_00053,Connected product telemetry for Contract Build Plan Optimizer is showing field quality patterns that warranty analytics should triage,2026-04-19T23:30:00Z,12401,199,72,269693,0.5,72.5,44,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
54,210,twitter,hightech_signal_00054,Contract manufacturing capacity for Connected Product Quality Monitor is becoming the bottleneck for the next customer commitment wave,2026-04-19T16:15:00Z,10061,122,347,51828,0.49,61.4,19,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
55,223,instagram,hightech_signal_00055,Demand volatility around Customer Support Operations Board is pressuring allocation rules across enterprise buyer regions,2025-05-11T16:30:00Z,2966,1104,232,168688,0.71,84.3,60,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
56,236,threads,hightech_signal_00056,Service and support operations are asking for a follow-up plan on Wafer Probe Exception Detector before warranty cases rise,2026-04-19T01:45:00Z,7405,1037,854,173943,0.9,95.9,34,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
57,249,tiktok,hightech_signal_00057,Digital Thread PLM Connector allocation is tightening as component shortages ripple through customer commitments,2026-04-18T18:30:00Z,2893,1125,290,99742,0.36,71.7,11,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
58,262,youtube,hightech_signal_00058,Fab operations teams are watching wafer starts for Component Shortage Scenario Lab after the latest yield improvement review,2026-04-18T11:15:00Z,4467,981,186,32232,0.35,51.9,50,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
59,275,twitter,hightech_signal_00059,Supplier risk is rising for Field Quality Case Bundle and channel inventory buffers may not cover the next order-promising cycle,2026-04-18T04:00:00Z,5286,2211,314,92126,0.53,75.8,25,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
60,288,instagram,hightech_signal_00060,Engineering change orders changed the bill of materials assumptions for Cloud GPU Burst Reservation during the NPI gate,2026-04-17T20:45:00Z,11478,791,639,224421,0.36,69.2,4,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
61,301,threads,hightech_signal_00061,Connected product telemetry for Service Escalation Triage Pack is showing field quality patterns that warranty analytics should triage,2025-08-31T16:30:00Z,963,2086,61,98138,0.73,54.4,40,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
62,314,tiktok,hightech_signal_00062,Contract manufacturing capacity for Component Allocation Optimizer is becoming the bottleneck for the next customer commitment wave,2026-04-17T06:15:00Z,2910,1536,281,69525,0.68,46.6,16,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
63,327,youtube,hightech_signal_00063,Demand volatility around Order Promising Capacity Twin is pressuring allocation rules across enterprise buyer regions,2026-04-16T23:00:00Z,6942,2184,389,167233,0.63,70.7,56,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
64,340,twitter,hightech_signal_00064,Service and support operations are asking for a follow-up plan on Contract Manufacturer Scorecard before warranty cases rise,2026-04-16T15:45:00Z,4257,2316,500,16006,0.47,64,30,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
65,353,instagram,hightech_signal_00065,AI Accelerator Module allocation is tightening as component shortages ripple through customer commitments,2026-04-16T08:30:00Z,7687,1678,179,24112,0.82,58.4,8,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
66,366,threads,hightech_signal_00066,Fab operations teams are watching wafer starts for Fab Operations Runbook Seat after the latest yield improvement review,2026-04-16T01:15:00Z,8496,941,268,93682,0.57,79.1,46,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
67,379,tiktok,hightech_signal_00067,Supplier risk is rising for Supply Chain Control Tower Seat and channel inventory buffers may not cover the next order-promising cycle,2025-12-21T16:30:00Z,2170,1563,421,66618,0.82,67.7,21,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
68,392,youtube,hightech_signal_00068,Engineering change orders changed the bill of materials assumptions for AI Edge Gateway Reference Kit during the NPI gate,2026-04-15T10:45:00Z,8840,1487,539,181862,0.56,79.3,1,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
69,405,twitter,hightech_signal_00069,Connected product telemetry for ECO Impact Simulation Service is showing field quality patterns that warranty analytics should triage,2026-04-15T03:30:00Z,12994,1581,493,124248,0.72,73.3,36,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
70,418,instagram,hightech_signal_00070,Contract manufacturing capacity for Engineering Change Order Copilot is becoming the bottleneck for the next customer commitment wave,2026-04-14T20:15:00Z,11327,210,146,99321,0.4,85.9,13,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
71,431,threads,hightech_signal_00071,Demand volatility around Field Failure Pattern Detector is pressuring allocation rules across enterprise buyer regions,2026-04-14T13:00:00Z,704,1039,378,20721,0.48,85.7,52,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
72,444,tiktok,hightech_signal_00072,Service and support operations are asking for a follow-up plan on Fab Queue Digital Twin before warranty cases rise,2026-04-14T05:45:00Z,11074,1479,476,92804,0.48,63.3,27,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
73,457,youtube,hightech_signal_00073,Autonomous Test Cell Controller allocation is tightening as component shortages ripple through customer commitments,2025-05-13T16:30:00Z,11632,3222,208,62063,0.75,77.2,5,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
74,470,twitter,hightech_signal_00074,Fab operations teams are watching wafer starts for Connected Device Health Twin after the latest yield improvement review,2026-04-13T15:15:00Z,7118,1666,185,52876,0.64,64.1,42,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
75,3,instagram,hightech_signal_00075,Supplier risk is rising for Warranty Escape Detector and channel inventory buffers may not cover the next order-promising cycle,2026-04-13T08:00:00Z,12285,77,211,207193,0.53,75.1,18,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
76,16,threads,hightech_signal_00076,Engineering change orders changed the bill of materials assumptions for Design Handoff Readiness Gate during the NPI gate,2026-04-13T00:45:00Z,6578,1408,191,179411,0.49,56.7,58,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
77,29,tiktok,hightech_signal_00077,Connected product telemetry for Silicon Lot Genealogy Viewer is showing field quality patterns that warranty analytics should triage,2026-04-12T17:30:00Z,4082,2310,166,43552,0.53,63.5,33,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
78,42,youtube,hightech_signal_00078,Contract manufacturing capacity for Developer Portal Premium Seat is becoming the bottleneck for the next customer commitment wave,2026-04-12T10:15:00Z,12809,157,514,47715,0.7,83.4,10,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
79,55,twitter,hightech_signal_00079,Demand volatility around PLM Compliance Evidence Pack is pressuring allocation rules across enterprise buyer regions,2025-09-02T16:30:00Z,4917,1194,51,64912,0.48,71.5,48,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
80,68,instagram,hightech_signal_00080,Service and support operations are asking for a follow-up plan on Order Promising Risk Service before warranty cases rise,2026-04-11T19:45:00Z,6199,196,423,37640,0.36,82.4,23,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
81,81,threads,hightech_signal_00081,Secure Device Fleet Manager allocation is tightening as component shortages ripple through customer commitments,2026-04-11T12:30:00Z,5696,1899,262,94451,0.5,64.6,3,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
82,94,tiktok,hightech_signal_00082,Fab operations teams are watching wafer starts for Critical Component Reservation API after the latest yield improvement review,2026-04-11T05:15:00Z,1528,604,517,236400,0.64,69,38,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
83,107,youtube,hightech_signal_00083,Supplier risk is rising for Supplier Shortage Radar and channel inventory buffers may not cover the next order-promising cycle,2026-04-10T22:00:00Z,13833,165,635,111909,0.77,80.9,15,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
84,120,twitter,hightech_signal_00084,Engineering change orders changed the bill of materials assumptions for Supplier Risk Heatmap Service during the NPI gate,2026-04-10T14:45:00Z,15401,1173,477,158353,0.87,85.1,55,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
85,133,instagram,hightech_signal_00085,Connected product telemetry for Assembly Line Traceability Tag is showing field quality patterns that warranty analytics should triage,2025-12-23T16:30:00Z,1248,898,301,144339,0.45,55,29,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
86,146,threads,hightech_signal_00086,Contract manufacturing capacity for Yield Improvement Analytics Pack is becoming the bottleneck for the next customer commitment wave,2026-04-10T00:15:00Z,14118,676,602,257350,0.49,70.9,7,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
87,159,tiktok,hightech_signal_00087,Demand volatility around NPI Supplier Readiness Kit is pressuring allocation rules across enterprise buyer regions,2026-04-09T17:00:00Z,9722,862,337,16920,0.86,65.2,45,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
88,172,youtube,hightech_signal_00088,Service and support operations are asking for a follow-up plan on Optical Module Test Kit before warranty cases rise,2026-04-09T09:45:00Z,12113,1803,192,15130,0.68,84.5,20,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
89,185,twitter,hightech_signal_00089,AI Edge Gateway Reference Kit allocation is tightening as component shortages ripple through customer commitments,2026-04-09T02:30:00Z,10091,1082,444,220202,0.51,67.1,1,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
90,198,instagram,hightech_signal_00090,Fab operations teams are watching wafer starts for Firmware Release Governance Pack after the latest yield improvement review,2026-04-08T19:15:00Z,3732,549,553,66955,0.66,76.8,35,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
91,211,threads,hightech_signal_00091,Supplier risk is rising for BOM Risk Reconciliation Service and channel inventory buffers may not cover the next order-promising cycle,2025-05-15T16:30:00Z,2524,2331,189,13437,0.48,67,12,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
92,224,tiktok,hightech_signal_00092,Engineering change orders changed the bill of materials assumptions for Support Knowledge Graph Seat during the NPI gate,2026-04-08T04:45:00Z,7745,1169,615,174068,0.66,69.1,51,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
93,237,youtube,hightech_signal_00093,Connected product telemetry for Connected Product Support Entitlement is showing field quality patterns that warranty analytics should triage,2026-04-07T21:30:00Z,14940,2353,704,144850,0.48,87.2,26,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
94,250,twitter,hightech_signal_00094,Contract manufacturing capacity for Cloud GPU Burst Reservation is becoming the bottleneck for the next customer commitment wave,2026-04-07T14:15:00Z,1102,813,269,51368,0.58,67.3,4,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
95,263,instagram,hightech_signal_00095,Demand volatility around Warranty Analytics Data Mart is pressuring allocation rules across enterprise buyer regions,2026-04-07T07:00:00Z,13280,737,73,78699,0.91,83.9,41,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
96,276,threads,hightech_signal_00096,Service and support operations are asking for a follow-up plan on Rugged Sensor Replacement Kit before warranty cases rise,2026-04-06T23:45:00Z,8235,2071,423,156867,0.43,78.5,17,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
97,289,tiktok,hightech_signal_00097,Contract Manufacturing Audit Pack allocation is tightening as component shortages ripple through customer commitments,2025-09-04T16:30:00Z,14851,2047,428,154509,0.57,68.2,57,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
98,302,youtube,hightech_signal_00098,Fab operations teams are watching wafer starts for Channel Inventory Signal Pack after the latest yield improvement review,2026-04-06T09:15:00Z,12945,832,534,86704,0.76,74.8,31,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
99,315,twitter,hightech_signal_00099,Supplier risk is rising for Thermal Control Sensor Array and channel inventory buffers may not cover the next order-promising cycle,2026-04-06T02:00:00Z,1369,332,79,76707,0.8,69.2,9,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
100,328,instagram,hightech_signal_00100,Engineering change orders changed the bill of materials assumptions for Yield Excursion Response Pack during the NPI gate,2026-04-05T18:45:00Z,12038,1630,620,50632,0.84,86.4,47,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
101,341,threads,hightech_signal_00101,Connected product telemetry for Contract Manufacturing Capacity Pack is showing field quality patterns that warranty analytics should triage,2026-05-05T11:30:00Z,1481,1257,194,81235,0.78,56.5,22,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
102,354,tiktok,hightech_signal_00102,Contract manufacturing capacity for Private 5G Factory Starter Pack is becoming the bottleneck for the next customer commitment wave,2026-05-05T04:15:00Z,15152,1821,65,192722,0.9,72.5,2,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
103,367,youtube,hightech_signal_00103,Demand volatility around Supplier Qualification Evidence Vault is pressuring allocation rules across enterprise buyer regions,2025-12-25T16:30:00Z,6548,492,211,103247,0.42,56.4,37,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
104,380,twitter,hightech_signal_00104,Service and support operations are asking for a follow-up plan on NPI Launch Readiness Board before warranty cases rise,2026-05-04T13:45:00Z,5496,210,510,162168,0.71,76,14,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
105,393,instagram,hightech_signal_00105,Connected Product Telemetry Hub allocation is tightening as component shortages ripple through customer commitments,2026-05-04T06:30:00Z,6296,77,502,87971,0.55,60.5,53,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
106,406,threads,hightech_signal_00106,Fab operations teams are watching wafer starts for Lithography Throughput Analyzer after the latest yield improvement review,2026-05-03T23:15:00Z,10482,2476,664,130181,0.62,77.4,28,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
107,419,tiktok,hightech_signal_00107,Supplier risk is rising for Wafer Start Planning Optimizer and channel inventory buffers may not cover the next order-promising cycle,2026-05-03T16:00:00Z,6522,59,209,119338,0.53,64.2,6,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
108,432,youtube,hightech_signal_00108,Engineering change orders changed the bill of materials assumptions for Factory Line Quality Camera during the NPI gate,2026-05-03T08:45:00Z,9182,2193,36,68042,0.44,66.9,43,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
