post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
40,170,threads,ext_threads_00000040,Port congestion signal may delay VitaCore Therapeutics Sterile Fill Finish Batch Slot; cold-chain routing needs updated ETA,2026-05-02T09:56:56Z,12240,9216,5702,214390,0.083,75.35,,viral,,2026-05-13T09:49:19Z
41,292,youtube,ext_youtube_00000041,Enrollment surge detected for Device Adhesive Biocompatibility Lot; AdhesiveOne Medical order book rising after protocol update,2026-04-24T06:43:01Z,105,44,42,10612,-0.131,22.08,,normal,,2026-05-13T09:49:19Z
42,92,tiktok,ext_tiktok_00000042,Pharmacovigilance intake volume is rising across marketed therapies,2026-05-06T16:46:24Z,212,17,46,12363,-0.058,22.45,,normal,,2026-05-13T09:49:19Z
43,420,tiktok,ext_tiktok_00000043,Cold-chain routing desk reports new lane restrictions near a major airport hub,2026-04-20T07:39:57Z,147,27,42,19334,-0.391,22.89,,normal,,2026-05-13T09:49:19Z
44,67,tiktok,ext_tiktok_00000044,Single-use component availability tightened after a supplier capacity outage,2026-04-23T03:37:26Z,312,48,42,10137,-0.228,22.47,,normal,,2026-05-13T09:49:19Z
45,428,threads,ext_threads_00000045,Air freight capacity watch added for Sustainable Lab Plastics Kit; GreenLab Reagents shipments through hub corridor need monitoring,2026-05-07T15:53:51Z,915,0,18,9025,-0.064,22.84,,normal,,2026-05-13T09:49:19Z
46,429,instagram,ext_instagram_00000046,Trial sites are increasing demand for diagnostic kits and sample logistics,2026-04-25T19:33:49Z,630,94,46,17668,0.428,23.7,,normal,,2026-05-13T09:49:19Z
47,182,tiktok,ext_tiktok_00000047,Vaccine safety desk highlights Specialty Amine API Intermediate; SpecBio Exchange availability could tighten next month,2026-05-08T03:00:43Z,4941,688,818,97297,0.311,47.85,,rising,,2026-05-13T09:49:19Z
48,345,tiktok,ext_tiktok_00000048,Companion diagnostics bulletin notes elevated demand for Prefilled Syringe Component Kit; MedPack Components allocation score rising,2026-05-11T23:35:34Z,986,0,22,756,0.071,19.68,,normal,,2026-05-13T09:49:19Z
49,212,tiktok,ext_tiktok_00000049,Port dwell time is rising for regulated clinical supply containers,2026-05-12T21:09:10Z,247,88,28,16195,0.081,23.04,,normal,,2026-05-13T09:49:19Z
50,174,youtube,ext_youtube_00000050,Customs hold advisory mentions BioPure Diagnostics Companion Diagnostic Control Set; import documentation review required,2026-04-18T01:04:19Z,517,57,43,575,0.367,19.04,,normal,,2026-05-13T09:49:19Z
51,460,tiktok,ext_tiktok_00000051,EMA review window opened for several biologics variation dossiers,2026-05-11T04:35:47Z,6290,1094,486,169156,-0.426,48.68,,rising,,2026-05-13T09:49:19Z
52,13,twitter,ext_twitter_00000052,Market access desk reports payer coverage movement for UDI Label Validation Pack; MedPack Components quotes expiring faster,2026-04-23T13:23:09Z,205790,95284,29114,2034351,0.204,99.37,,mega_viral,,2026-05-13T09:49:19Z
53,389,instagram,ext_instagram_00000053,Manufacturer onboarding alert: secondary source needed for SafeGx Quality Labs Pharmacovigilance Case Pack due to capacity risk,2026-04-27T20:17:21Z,8939,447,186,86030,0.486,47.84,,rising,,2026-05-13T09:49:19Z
54,314,instagram,ext_instagram_00000054,Single-use component availability tightened after a supplier capacity outage,2026-04-21T13:26:15Z,35498,9740,3831,502440,0.369,76.75,,viral,,2026-05-13T09:49:19Z
55,433,threads,ext_threads_00000055,Storage temperature note changed for Sterility Assurance Swab Pack; update receiving checklist for SterilityGuard,2026-05-05T03:25:32Z,838,77,35,11190,0.214,23.23,,normal,,2026-05-13T09:49:19Z
56,459,instagram,ext_instagram_00000056,Trial sites are increasing demand for diagnostic kits and sample logistics,2026-05-13T05:54:48Z,555,78,11,13315,-0.127,23.12,,normal,,2026-05-13T09:49:19Z
57,3,twitter,ext_twitter_00000057,Vaccine allocation score rose after a regional safety bulletin,2026-05-04T09:39:26Z,222,66,2,16382,-0.281,22.76,,normal,,2026-05-13T09:49:19Z
58,104,youtube,ext_youtube_00000058,Forecast model detected signal cluster around CleanSteamCare Clean Steam Integrity Audit; expected demand multiplier increasing,2026-05-04T05:26:36Z,804,24,18,18026,0.343,23.68,,normal,,2026-05-13T09:49:19Z
59,392,youtube,ext_youtube_00000059,Clinical supply desk requests allocation review for -80C Biologic Transport Lane; CryoGrade Logistics confidence changed,2026-04-14T01:36:23Z,15180,14052,7193,208657,0.131,75.58,,viral,,2026-05-13T09:49:19Z
60,253,threads,ext_threads_00000060,FDA inspection signal mentions Aseptic Process Simulation Kit from AseptiCoast; quality team requested lot genealogy review,2026-05-11T14:18:09Z,737,27,41,11832,0.345,23.14,,normal,,2026-05-13T09:49:19Z
61,392,youtube,ext_youtube_00000061,EMA variation update references NGS Oncology Library Kit; BioPure Diagnostics release plan should be reviewed,2026-05-09T20:23:41Z,8218,509,933,125170,0.251,48.45,,rising,,2026-05-13T09:49:19Z
62,463,threads,ext_threads_00000062,Pharmacovigilance intake volume is rising across marketed therapies,2026-04-24T20:07:42Z,144,39,24,7600,-0.05,21.58,,normal,,2026-05-13T09:49:19Z
63,483,threads,ext_threads_00000063,Cold-chain lane exception affects inbound Cell Culture Media Feed Lot; BioCatalyst Analytics shipments may need alternate routes,2026-05-13T09:28:10Z,4566,1975,593,161119,0.064,48.65,,rising,,2026-05-13T09:49:19Z
64,338,threads,ext_threads_00000064,CDMO capacity bulletin references ImmunoWorks Biologics slot availability for High-Concentration Formulation Buffer; trial sites should watch allocation,2026-05-13T09:47:26Z,107,77,17,6125,0.295,21.35,,normal,,2026-05-13T09:49:19Z
65,112,tiktok,ext_tiktok_00000065,Critical component shortage advisory raised for Imported API Release Lot; PortBio Supply lead times may extend this week,2026-05-12T05:30:42Z,822,86,19,486,0.064,19.1,,normal,,2026-05-13T09:49:19Z
66,233,twitter,ext_twitter_00000066,Out-of-specification trend opened for BioCatalyst Analytics Process Deviation Triage Service; QA teams should inspect recent lots,2026-05-06T00:12:47Z,21,82,5,16154,0.744,22.23,,normal,,2026-05-13T09:49:19Z
67,361,twitter,ext_twitter_00000067,Vaccine allocation score rose after a regional safety bulletin,2026-04-25T17:55:16Z,9591,630,169,178373,0.36,48.86,,rising,,2026-05-13T09:49:19Z
68,182,tiktok,ext_tiktok_00000068,New manufacturer qualification started for MedPack Components Tamper-Evident Carton Batch; risk team tracking certificates,2026-04-29T20:49:36Z,348,74,47,5834,0.013,21.91,,normal,,2026-05-13T09:49:19Z
69,182,tiktok,ext_tiktok_00000069,Temperature excursion warning updated for Low-Waste Lab Starter Pack; verify release hold before receiving GreenLab Reagents lots,2026-04-19T13:20:43Z,347,68,18,13890,0.531,22.89,,normal,,2026-05-13T09:49:19Z
70,313,threads,ext_threads_00000070,Port congestion signal may delay BioPure Diagnostics ELISA Cytokine Monitoring Kit; cold-chain routing needs updated ETA,2026-05-09T15:52:15Z,30,42,20,16631,0.289,22.14,,normal,,2026-05-13T09:49:19Z
71,26,instagram,ext_instagram_00000071,Enrollment surge detected for Plasmid DNA GMP Batch; GeneNova Therapeutics order book rising after protocol update,2026-05-03T07:02:52Z,8521,1889,822,106102,0.444,48.42,,rising,,2026-05-13T09:49:19Z
72,122,tiktok,ext_tiktok_00000072,GxP desk published revised handling language for Gamma-Irradiated Tubing Set; SterileProcess Systems sites should refresh labels,2026-04-15T14:54:15Z,146,41,43,5422,0.362,21.31,,normal,,2026-05-13T09:49:19Z
73,311,twitter,ext_twitter_00000073,FDA safety update references downstream use of Stainless Bioreactor Passivation Kit; CleanSuite Life Sciences compliance packet under review,2026-05-12T04:12:50Z,909,62,44,272,0.55,18.44,,normal,,2026-05-13T09:49:19Z
74,282,youtube,ext_youtube_00000074,Manufacturer quality note: SafeGx Quality Labs reported tighter specifications for Pharmacovigilance Case Pack effective next batch,2026-05-04T10:56:19Z,459,46,5,9984,0.502,22.5,,normal,,2026-05-13T09:49:19Z
75,187,tiktok,ext_tiktok_00000075,Air freight capacity watch added for ELISA Cytokine Monitoring Kit; BioPure Diagnostics shipments through hub corridor need monitoring,2026-05-05T00:38:32Z,414844,86502,35199,12137902,0.586,99.68,,mega_viral,,2026-05-13T09:49:19Z
76,350,tiktok,ext_tiktok_00000076,Critical inventory advisory opened for SterileProcess Systems Cleanroom Gowning Kit; replenish regional cold-chain sites,2026-04-13T13:39:36Z,115,10,31,19531,0.302,22.59,,normal,,2026-05-13T09:49:19Z
77,157,tiktok,ext_tiktok_00000077,Vaccine allocation score rose after a regional safety bulletin,2026-04-28T20:10:27Z,186,74,14,6948,0.439,21.68,,normal,,2026-05-13T09:49:19Z
78,354,instagram,ext_instagram_00000078,Companion diagnostics bulletin notes elevated demand for Cleanroom Gowning Kit; SterileProcess Systems allocation score rising,2026-05-08T07:57:19Z,260,28,23,1479,0.566,19.68,,normal,,2026-05-13T09:49:19Z
79,276,twitter,ext_twitter_00000079,Device engineering flagged substitute review for Viral Clearance Study Pack; BioCatalyst Analytics technical file updated,2026-05-11T06:55:22Z,72,69,17,17145,0.25,22.54,,normal,,2026-05-13T09:49:19Z
80,206,instagram,ext_instagram_00000080,FDA inspection observations increased for sterile manufacturing sites this week,2026-05-12T10:12:09Z,435,57,6,3766,-0.313,21.23,,normal,,2026-05-13T09:49:19Z
81,177,tiktok,ext_tiktok_00000081,ColdChainOps escalated Comparator Drug Blinding Kit; verify temperature profile and packaging before next TrialPath CRO shipment,2026-04-27T17:24:33Z,675,87,15,8668,0.686,22.72,,normal,,2026-05-13T09:49:19Z
82,3,twitter,ext_twitter_00000082,Pharmacovigilance intake volume is rising across marketed therapies,2026-05-13T00:30:13Z,9864,1107,982,106331,0.369,48.43,,rising,,2026-05-13T09:49:19Z
83,281,twitter,ext_twitter_00000083,Cold-chain routing desk reports new lane restrictions near a major airport hub,2026-05-05T07:56:28Z,585,3,45,19319,0.423,23.58,,normal,,2026-05-13T09:49:19Z
84,5,threads,ext_threads_00000084,Single-use component availability tightened after a supplier capacity outage,2026-04-20T01:13:57Z,294,40,49,15048,-0.247,22.97,,normal,,2026-05-13T09:49:19Z
85,427,youtube,ext_youtube_00000085,Storage temperature note changed for Labeling Change Impact Review; update receiving checklist for SafeGx Quality Labs,2026-05-12T16:03:41Z,6974,1927,365,187456,-0.099,48.97,,rising,,2026-05-13T09:49:19Z
86,161,instagram,ext_instagram_00000086,Trial sites are increasing demand for diagnostic kits and sample logistics,2026-05-03T10:20:08Z,277,45,16,13528,0.102,22.63,,normal,,2026-05-13T09:49:19Z
87,173,twitter,ext_twitter_00000087,Vaccine allocation score rose after a regional safety bulletin,2026-05-12T22:01:49Z,218,36,32,4209,-0.434,21.05,,normal,,2026-05-13T09:49:19Z
88,67,tiktok,ext_tiktok_00000088,Forecast model detected signal cluster around MedPack Components Prefilled Syringe Component Kit; expected demand multiplier increasing,2026-05-07T12:18:25Z,81,99,38,18587,0.695,23,,normal,,2026-05-13T09:49:19Z
89,454,instagram,ext_instagram_00000089,Clinical supply desk requests allocation review for Sterile WFI Vial Batch; WFI Direct confidence changed,2026-05-09T23:25:27Z,464,21,4,1377,0.169,19.85,,normal,,2026-05-13T09:49:19Z
90,13,twitter,ext_twitter_00000090,FDA inspection signal mentions Pharmacovigilance Case Pack from SafeGx Quality Labs; quality team requested lot genealogy review,2026-05-09T21:59:07Z,563,98,26,843,0.417,19.62,,normal,,2026-05-13T09:49:19Z
91,107,tiktok,ext_tiktok_00000091,EMA variation update references Recyclable Cold Pack Set; GreenLab Reagents release plan should be reviewed,2026-04-23T04:22:36Z,559,43,14,13656,0.738,23.08,,normal,,2026-05-13T09:49:19Z
92,146,instagram,ext_instagram_00000092,Protocol amendment increases demand for Single-Use Bioreactor Bag 500L; SterileProcess Systems trial supply forecast needs refresh,2026-05-10T06:19:46Z,165,83,41,6191,0.075,21.69,,normal,,2026-05-13T09:49:19Z
93,233,twitter,ext_twitter_00000093,Cold-chain lane exception affects inbound AAV Vector Reference Lot; VitaCore Therapeutics shipments may need alternate routes,2026-04-30T22:26:54Z,6132,277,790,94614,0.268,47.84,,rising,,2026-05-13T09:49:19Z
94,333,threads,ext_threads_00000094,CDMO capacity bulletin references ImmunoWorks Biologics slot availability for Bioburden Rapid Test Cartridge; trial sites should watch allocation,2026-04-29T04:44:45Z,122,75,38,3968,0.428,20.97,,normal,,2026-05-13T09:49:19Z
95,241,instagram,ext_instagram_00000095,Critical component shortage advisory raised for Depth Filter Capsule Set; SterileProcess Systems lead times may extend this week,2026-04-21T06:18:23Z,5239,1970,586,88033,0.281,47.91,,rising,,2026-05-13T09:49:19Z
96,371,twitter,ext_twitter_00000096,Out-of-specification trend opened for PreClinix Research GLP Histopathology Slide Set; QA teams should inspect recent lots,2026-04-16T03:07:18Z,5440,1903,574,136939,0.398,48.49,,rising,,2026-05-13T09:49:19Z
97,28,twitter,ext_twitter_00000097,Allocation notice issued for Sustainable Lab Plastics Kit; GreenLab Reagents prioritizing enrolled trial sites first,2026-05-11T16:58:18Z,913,37,30,14727,-0.073,23.57,,normal,,2026-05-13T09:49:19Z
98,17,tiktok,ext_tiktok_00000098,New manufacturer qualification started for VitaCore Therapeutics mRNA LNP Clinical Batch; risk team tracking certificates,2026-05-11T09:09:11Z,1743,1749,765,152186,0.698,48.3,,rising,,2026-05-13T09:49:19Z
99,93,twitter,ext_twitter_00000099,Temperature excursion warning updated for Pharmacovigilance Case Pack; verify release hold before receiving SafeGx Quality Labs lots,2026-05-07T06:03:30Z,67,73,12,16425,0.276,22.44,,normal,,2026-05-13T09:49:19Z
100,59,youtube,ext_youtube_00000100,Port congestion signal may delay WFI Direct Sterile WFI Vial Batch; cold-chain routing needs updated ETA,2026-05-02T05:48:36Z,964,62,36,4822,-0.189,22.21,,normal,,2026-05-13T09:49:19Z
101,182,tiktok,ext_tiktok_00000101,Enrollment surge detected for mRNA LNP Clinical Batch; VitaCore Therapeutics order book rising after protocol update,2026-04-29T21:00:34Z,504,84,48,12378,0.74,23.1,,normal,,2026-05-13T09:49:19Z
102,190,threads,ext_threads_00000102,GxP desk published revised handling language for USP Propylene Glycol Excipient; PharmaPrep sites should refresh labels,2026-04-28T12:56:21Z,2179,1283,152,148958,0.05,47.95,,rising,,2026-05-13T09:49:19Z
103,332,youtube,ext_youtube_00000103,FDA safety update references downstream use of ELISA Cytokine Monitoring Kit; BioPure Diagnostics compliance packet under review,2026-04-26T11:23:19Z,139,70,46,14375,0.27,22.71,,normal,,2026-05-13T09:49:19Z
104,227,tiktok,ext_tiktok_00000104,Manufacturer quality note: BioCatalyst Analytics reported tighter specifications for Viral Clearance Study Pack effective next batch,2026-04-26T17:47:32Z,19736,2671,4732,910577,0.507,77.07,,viral,,2026-05-13T09:49:19Z
105,413,threads,ext_threads_00000105,Air freight capacity watch added for GLP Toxicology Study Kit; PreClinix Research shipments through hub corridor need monitoring,2026-05-09T18:44:17Z,11829,10811,6690,849487,0.33,77.24,,viral,,2026-05-13T09:49:19Z
106,45,threads,ext_threads_00000106,Critical inventory advisory opened for CleanSuite Life Sciences Stainless Bioreactor Passivation Kit; replenish regional cold-chain sites,2026-05-12T06:15:41Z,7537,850,600,114681,0.667,48.26,,rising,,2026-05-13T09:49:19Z
107,55,threads,ext_threads_00000107,Vaccine safety desk highlights NGS Oncology Library Kit; BioPure Diagnostics availability could tighten next month,2026-05-12T11:20:55Z,343,22,6,12466,0.693,22.5,,normal,,2026-05-13T09:49:19Z
108,364,instagram,ext_instagram_00000108,Companion diagnostics bulletin notes elevated demand for Stability Study Sample Set; VitaCore Therapeutics allocation score rising,2026-04-25T05:59:18Z,399,66,8,689,0.161,19,,normal,,2026-05-13T09:49:19Z
109,219,youtube,ext_youtube_00000109,Device engineering flagged substitute review for Autoinjector Assembly Lot; MedPack Components technical file updated,2026-05-12T17:44:29Z,6186,1863,568,46801,0.005,47.14,,rising,,2026-05-13T09:49:19Z
110,336,twitter,ext_twitter_00000110,FDA inspection observations increased for sterile manufacturing sites this week,2026-04-18T07:04:36Z,659,91,0,4794,-0.38,21.89,,normal,,2026-05-13T09:49:19Z
111,467,youtube,ext_youtube_00000111,ColdChainOps escalated Randomization Label Pack; verify temperature profile and packaging before next TrialPath CRO shipment,2026-05-13T09:30:23Z,152,59,35,15251,0.366,22.7,,normal,,2026-05-13T09:49:19Z
112,345,tiktok,ext_tiktok_00000112,Market access desk reports payer coverage movement for EMA Variation Dossier Review; SafeGx Quality Labs quotes expiring faster,2026-05-13T02:37:51Z,568,73,3,844,0.581,19.5,,normal,,2026-05-13T09:49:19Z
113,49,youtube,ext_youtube_00000113,Manufacturer onboarding alert: secondary source needed for GreenLab Reagents Recyclable Cold Pack Set due to capacity risk,2026-04-27T19:52:26Z,464,75,14,18206,-0.134,23.41,,normal,,2026-05-13T09:49:19Z
114,118,twitter,ext_twitter_00000114,Single-use component availability tightened after a supplier capacity outage,2026-05-04T11:56:16Z,390,51,5,11917,-0.163,22.64,,normal,,2026-05-13T09:49:19Z
115,238,twitter,ext_twitter_00000115,Manufacturer quality desk flagged more out-of-specification investigations than normal,2026-04-25T09:10:39Z,58,50,9,5517,0.426,20.76,,normal,,2026-05-13T09:49:19Z
116,469,instagram,ext_instagram_00000116,Trial sites are increasing demand for diagnostic kits and sample logistics,2026-05-11T17:45:58Z,931,47,21,1387,0.27,20.5,,normal,,2026-05-13T09:49:19Z
117,202,tiktok,ext_tiktok_00000117,Safety desk published compatibility matrix update for mRNA LNP Clinical Batch; quarantine suspect lots from VitaCore Therapeutics,2026-04-18T00:01:36Z,4740,931,877,124557,0.56,48.22,,rising,,2026-05-13T09:49:19Z
118,269,instagram,ext_instagram_00000118,Forecast model detected signal cluster around Peptide Partners Peptide Intermediate Batch; expected demand multiplier increasing,2026-04-29T03:08:36Z,845,67,25,8366,0.202,22.81,,normal,,2026-05-13T09:49:19Z
119,449,instagram,ext_instagram_00000119,Port dwell time is rising for regulated clinical supply containers,2026-05-10T17:00:04Z,720,60,24,17463,0.476,23.65,,normal,,2026-05-13T09:49:19Z
120,75,threads,ext_threads_00000120,FDA inspection signal mentions GLP Histopathology Slide Set from PreClinix Research; quality team requested lot genealogy review,2026-05-07T05:21:03Z,40473,12507,4503,546144,-0.064,77.01,,viral,,2026-05-13T09:49:19Z
121,335,tiktok,ext_tiktok_00000121,EMA variation update references Randomization Label Pack; TrialPath CRO release plan should be reviewed,2026-04-15T03:50:56Z,109,16,45,18536,-0.046,22.69,,normal,,2026-05-13T09:49:19Z
122,61,instagram,ext_instagram_00000122,Protocol amendment increases demand for Phase II Site Activation Kit; TrialPath CRO trial supply forecast needs refresh,2026-05-05T12:07:31Z,701,89,16,14297,0.396,23.4,,normal,,2026-05-13T09:49:19Z
123,87,tiktok,ext_tiktok_00000123,Cold-chain routing desk reports new lane restrictions near a major airport hub,2026-05-06T06:12:34Z,8051,617,913,47490,0.525,47.19,,rising,,2026-05-13T09:49:19Z
124,402,youtube,ext_youtube_00000124,Single-use component availability tightened after a supplier capacity outage,2026-04-26T19:07:02Z,3433,915,621,171236,0.424,48.41,,rising,,2026-05-13T09:49:19Z
