brand_id,brand_name,brand_slug,brand_category,headquarters_city,headquarters_lat,headquarters_lon,founded_year,annual_revenue,social_tier,created_at,updated_at
29,PortBio Supply,portbio,Global API Import,Savannah,32.0809,-81.0912,1985,157000000,premium,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
30,Peptide Partners,peptidepartners,API Intermediates,Kansas City,39.0997,-94.5786,1997,93000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
31,PurePAC Clinical,purepac,Clinical Packaging,St. Louis,38.627,-90.1994,1982,138000000,premium,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
32,SiliconeWorks Medical,siliconeworks,Device Components,Akron,41.0814,-81.519,2002,71000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
33,EndoClear BioProcess,endoclear,Bioprocess Filtration,Pittsburgh,40.4406,-79.9959,1978,99000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
34,SterilityGuard,sterilityguard,Sterility Assurance,Tampa,27.9506,-82.4572,1995,61000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
35,StabilityCo,stabilityco,Stability Excipients,Baltimore,39.2904,-76.6122,2000,55000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
36,AseptiCoast,asepticoast,Aseptic Processing,Wilmington,34.2257,-77.9447,1993,104000000,premium,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
37,CitrateSource Pharma,citricsource,Pharma Excipients,Nashville,36.1627,-86.7816,2006,57000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
38,WFI Direct,wfidirect,Sterile Excipients,San Antonio,29.4241,-98.4936,1990,118000000,premium,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
39,AdhesiveOne Medical,adhesiveone,Device Components,Louisville,38.2527,-85.7585,2004,67000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
40,MedPropel Devices,medpropel,Medical Device Materials,Omaha,41.2565,-95.9345,1988,149000000,premium,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
41,CleanSteamCare,cleansteamcare,GMP Utilities,New Orleans,29.9511,-90.0715,2001,59000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
42,VaccineWatch,vaccinewatch,Vaccine Safety Intelligence,Austin,30.2672,-97.7431,2020,26000000,emerging,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
43,FDA Watch,fdawatch,Regulatory Intelligence,Washington,38.9072,-77.0369,2017,31000000,emerging,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
44,EMA Updates Desk,emaupdates,Regulatory Intelligence,Washington,38.9072,-77.0369,2010,44000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
45,PortSupply BioSignals,portsupply,Import and Port Signals,Long Beach,33.7701,-118.1937,2018,29000000,emerging,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
46,ColdChainOps,coldchainops,Cold Chain Operations,Las Vegas,36.1699,-115.1398,2012,51000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
47,ProtocolDesk,protocoldesk,Clinical Protocol Signals,Cleveland,41.4993,-81.6944,2016,37000000,emerging,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
48,LabGrade Connect,labgradeconnect,Lab Reagents,Salt Lake City,40.7608,-111.891,2009,48000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
49,SpecBio Exchange,specbioexchange,Specialty Biologics Distribution,Miami,25.7617,-80.1918,2015,63000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
50,NorthStar GlycoBiologics,northstarglyco,Glycobiology Materials,Fargo,46.8772,-96.7898,2008,54000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
