influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
63,@pv_audit,Pv Audit,twitter,9658,0.0381,70.66,GxP,Chicago,Illinois,US,0,2026-05-13T09:49:19Z
64,@pv_feed,Pv Feed,youtube,3001,0.0966,88.14,Cold Chain,Houston,Texas,US,0,2026-05-13T09:49:19Z
65,@pv_status,Pv Status,threads,605364,0.0353,93.44,Clinical Operations,Phoenix,Arizona,US,1,2026-05-13T09:49:19Z
66,@pv_coordinator,Pv Coordinator,instagram,7096,0.0359,58.06,Pharmacovigilance,San Francisco,California,US,0,2026-05-13T09:49:19Z
67,@pv_controlroom,Pv Controlroom,tiktok,674211,0.0331,90.51,Cell Therapy,Miami,Florida,US,1,2026-05-13T09:49:19Z
68,@pv_lab,Pv Lab,twitter,13425260,0.0197,100,Biologics Manufacturing,Seattle,Washington,US,1,2026-05-13T09:49:19Z
69,@pv_tracker,Pv Tracker,youtube,7795,0.1133,100,Diagnostics,Denver,Colorado,US,0,2026-05-13T09:49:19Z
70,@pv_flow,Pv Flow,threads,6419,0.106,99.59,Medical Devices,Austin,Texas,US,0,2026-05-13T09:49:19Z
71,@safety_monitor,Safety Monitor,instagram,3417,0.0397,65.88,Trial Supply,Nashville,Tennessee,US,0,2026-05-13T09:49:19Z
72,@safety_safety,Safety Safety,tiktok,4569,0.0508,65.9,Sterility Assurance,Portland,Oregon,US,0,2026-05-13T09:49:19Z
73,@safety_index,Safety Index,twitter,777360,0.0192,81.46,Manufacturer Quality,Boston,Massachusetts,US,1,2026-05-13T09:49:19Z
74,@safety_control,Safety Control,youtube,8433,0.0489,65.78,Enrollment Risk,Atlanta,Georgia,US,0,2026-05-13T09:49:19Z
75,@safety_matrix,Safety Matrix,threads,7058,0.1125,100,Air Cargo,Dallas,Texas,US,0,2026-05-13T09:49:19Z
76,@safety_bridge,Safety Bridge,instagram,9682,0.0757,80.33,FDA,San Diego,California,US,0,2026-05-13T09:49:19Z
77,@safety_lab,Safety Lab,tiktok,71074,0.0737,91.97,EMA,Minneapolis,Minnesota,US,0,2026-05-13T09:49:19Z
78,@safety_compliance,Safety Compliance,twitter,72978,0.0373,83.05,GxP,Detroit,Michigan,US,0,2026-05-13T09:49:19Z
79,@safety_forecast,Safety Forecast,youtube,5519,0.1015,100,Cold Chain,Las Vegas,Nevada,US,0,2026-05-13T09:49:19Z
80,@safety_node,Safety Node,threads,707123,0.0353,81.93,Clinical Operations,Brooklyn,New York,US,1,2026-05-13T09:49:19Z
81,@coldchain_signal,Coldchain Signal,instagram,7332,0.0705,86.76,Pharmacovigilance,New York,New York,US,0,2026-05-13T09:49:19Z
82,@coldchain_network,Coldchain Network,tiktok,8716,0.0705,82.08,Cell Therapy,Los Angeles,California,US,0,2026-05-13T09:49:19Z
83,@coldchain_hub,Coldchain Hub,twitter,13419122,0.007,87.67,Biologics Manufacturing,Chicago,Illinois,US,1,2026-05-13T09:49:19Z
84,@coldchain_planner,Coldchain Planner,youtube,9725,0.0434,72.73,Diagnostics,Houston,Texas,US,0,2026-05-13T09:49:19Z
85,@coldchain_observer,Coldchain Observer,threads,3877,0.0331,54.21,Medical Devices,Phoenix,Arizona,US,0,2026-05-13T09:49:19Z
86,@coldchain_bulletin,Coldchain Bulletin,instagram,3622,0.1028,89.36,Trial Supply,San Francisco,California,US,0,2026-05-13T09:49:19Z
87,@coldchain_tracker,Coldchain Tracker,tiktok,717483,0.0206,77.3,Sterility Assurance,Miami,Florida,US,1,2026-05-13T09:49:19Z
88,@coldchain_forecast,Coldchain Forecast,twitter,234584,0.0346,87.91,Manufacturer Quality,Seattle,Washington,US,0,2026-05-13T09:49:19Z
89,@coldchain_office,Coldchain Office,youtube,3590,0.0588,69.03,Enrollment Risk,Denver,Colorado,US,0,2026-05-13T09:49:19Z
90,@coldchain_matrix,Coldchain Matrix,threads,94386,0.0417,86.56,Air Cargo,Austin,Texas,US,0,2026-05-13T09:49:19Z
91,@site_weekly,Site Weekly,instagram,7179,0.0699,82.45,FDA,Nashville,Tennessee,US,0,2026-05-13T09:49:19Z
92,@site_flow,Site Flow,tiktok,5562,0.0804,88.98,EMA,Portland,Oregon,US,0,2026-05-13T09:49:19Z
93,@site_node,Site Node,twitter,93099,0.0621,84.59,GxP,Boston,Massachusetts,US,0,2026-05-13T09:49:19Z
94,@site_matrix,Site Matrix,youtube,2916,0.0717,71.2,Cold Chain,Atlanta,Georgia,US,0,2026-05-13T09:49:19Z
95,@site_watch,Site Watch,threads,62702,0.0569,92.79,Clinical Operations,Dallas,Texas,US,0,2026-05-13T09:49:19Z
101,@cro_notice,Cro Notice,instagram,9652,0.0622,77.6,Pharmacovigilance,San Diego,California,US,0,2026-05-13T09:49:19Z
102,@cro_forecast,Cro Forecast,tiktok,96838,0.0278,71.28,Cell Therapy,Minneapolis,Minnesota,US,0,2026-05-13T09:49:19Z
103,@cro_registry,Cro Registry,twitter,14493,0.04,73.02,Biologics Manufacturing,Detroit,Michigan,US,0,2026-05-13T09:49:19Z
104,@cro_pulse,Cro Pulse,youtube,13622546,0.019,90,Diagnostics,Las Vegas,Nevada,US,1,2026-05-13T09:49:19Z
105,@cro_ops,Cro Ops,threads,2016,0.0519,70.01,Medical Devices,Brooklyn,New York,US,0,2026-05-13T09:49:19Z
106,@cro_safety,Cro Safety,instagram,2223326,0.0081,75.27,Trial Supply,New York,New York,US,1,2026-05-13T09:49:19Z
107,@cro_hub,Cro Hub,tiktok,11243,0.0574,77.4,Sterility Assurance,Los Angeles,California,US,0,2026-05-13T09:49:19Z
108,@cro_risk,Cro Risk,twitter,33581,0.043,78.19,Manufacturer Quality,Chicago,Illinois,US,0,2026-05-13T09:49:19Z
109,@cro_controlroom,Cro Controlroom,youtube,48011,0.0493,87.82,Enrollment Risk,Houston,Texas,US,0,2026-05-13T09:49:19Z
110,@cro_weekly,Cro Weekly,threads,87938,0.0665,88.02,Air Cargo,Phoenix,Arizona,US,0,2026-05-13T09:49:19Z
111,@cdmo_intel,Cdmo Intel,instagram,4380,0.0716,87.64,FDA,San Francisco,California,US,0,2026-05-13T09:49:19Z
112,@cdmo_index,Cdmo Index,tiktok,2280522,0.0209,80.74,EMA,Miami,Florida,US,1,2026-05-13T09:49:19Z
113,@cdmo_planner,Cdmo Planner,twitter,4133,0.1003,91.22,GxP,Seattle,Washington,US,0,2026-05-13T09:49:19Z
114,@cdmo_bridge,Cdmo Bridge,youtube,9986,0.0415,71.57,Cold Chain,Denver,Colorado,US,0,2026-05-13T09:49:19Z
115,@cdmo_weekly,Cdmo Weekly,threads,68068,0.036,74.8,Clinical Operations,Austin,Texas,US,0,2026-05-13T09:49:19Z
116,@cdmo_forecast,Cdmo Forecast,instagram,71176,0.0275,76.39,Pharmacovigilance,Nashville,Tennessee,US,0,2026-05-13T09:49:19Z
117,@cdmo_release,Cdmo Release,tiktok,518619,0.0242,85.24,Cell Therapy,Portland,Oregon,US,1,2026-05-13T09:49:19Z
118,@cdmo_channel,Cdmo Channel,twitter,5783,0.0557,69.94,Biologics Manufacturing,Boston,Massachusetts,US,0,2026-05-13T09:49:19Z
119,@cdmo_monitor,Cdmo Monitor,youtube,37349,0.0768,92.99,Diagnostics,Atlanta,Georgia,US,0,2026-05-13T09:49:19Z
120,@cdmo_flow,Cdmo Flow,threads,4060,0.1194,100,Medical Devices,Dallas,Texas,US,0,2026-05-13T09:49:19Z
121,@biologics_tracker,Biologics Tracker,instagram,9135,0.0671,85.72,Trial Supply,San Diego,California,US,0,2026-05-13T09:49:19Z
122,@biologics_ledger,Biologics Ledger,tiktok,9505,0.0709,86.08,Sterility Assurance,Minneapolis,Minnesota,US,0,2026-05-13T09:49:19Z
123,@biologics_queue,Biologics Queue,twitter,404277,0.0157,68.47,Manufacturer Quality,Detroit,Michigan,US,0,2026-05-13T09:49:19Z
124,@biologics_desk,Biologics Desk,youtube,8843,0.0776,84.76,Enrollment Risk,Las Vegas,Nevada,US,0,2026-05-13T09:49:19Z
125,@biologics_routing,Biologics Routing,threads,5242,0.1036,100,Air Cargo,Brooklyn,New York,US,0,2026-05-13T09:49:19Z
126,@biologics_feed,Biologics Feed,instagram,2582,0.0721,75.87,FDA,New York,New York,US,0,2026-05-13T09:49:19Z
127,@biologics_watchlist,Biologics Watchlist,tiktok,3934,0.0667,76.89,EMA,Los Angeles,California,US,0,2026-05-13T09:49:19Z
128,@biologics_bulletin,Biologics Bulletin,twitter,8497,0.0945,92.42,GxP,Chicago,Illinois,US,0,2026-05-13T09:49:19Z
129,@biologics_market,Biologics Market,youtube,11468480,0.023,87.92,Cold Chain,Houston,Texas,US,1,2026-05-13T09:49:19Z
130,@biologics_node,Biologics Node,threads,50234,0.0557,87.73,Clinical Operations,Phoenix,Arizona,US,0,2026-05-13T09:49:19Z
131,@vaccine_compliance,Vaccine Compliance,instagram,49993,0.066,91.16,Pharmacovigilance,San Francisco,California,US,0,2026-05-13T09:49:19Z
132,@vaccine_feed,Vaccine Feed,tiktok,4379,0.0479,72.51,Cell Therapy,Miami,Florida,US,0,2026-05-13T09:49:19Z
133,@vaccine_coordinator,Vaccine Coordinator,twitter,1220,0.0558,72.46,Biologics Manufacturing,Seattle,Washington,US,0,2026-05-13T09:49:19Z
134,@vaccine_lab,Vaccine Lab,youtube,6409,0.067,84.78,Diagnostics,Denver,Colorado,US,0,2026-05-13T09:49:19Z
135,@vaccine_flow,Vaccine Flow,threads,1314,0.0617,65.33,Medical Devices,Austin,Texas,US,0,2026-05-13T09:49:19Z
136,@vaccine_release,Vaccine Release,instagram,88474,0.0271,71.61,Trial Supply,Nashville,Tennessee,US,0,2026-05-13T09:49:19Z
137,@vaccine_bridge,Vaccine Bridge,tiktok,6071,0.0554,75.89,Sterility Assurance,Portland,Oregon,US,0,2026-05-13T09:49:19Z
138,@vaccine_intel,Vaccine Intel,twitter,6058,0.0995,91.08,Manufacturer Quality,Boston,Massachusetts,US,0,2026-05-13T09:49:19Z
139,@vaccine_ledger,Vaccine Ledger,youtube,15301,0.0276,71.51,Enrollment Risk,Atlanta,Georgia,US,0,2026-05-13T09:49:19Z
140,@vaccine_matrix,Vaccine Matrix,threads,78407,0.0514,78.53,Air Cargo,Dallas,Texas,US,0,2026-05-13T09:49:19Z
141,@gene_routing,Gene Routing,instagram,9232,0.0523,70.36,FDA,San Diego,California,US,0,2026-05-13T09:49:19Z
142,@gene_node,Gene Node,tiktok,4941,0.0829,87.51,EMA,Minneapolis,Minnesota,US,0,2026-05-13T09:49:19Z
143,@gene_observer,Gene Observer,twitter,5126,0.0447,62.8,GxP,Detroit,Michigan,US,0,2026-05-13T09:49:19Z
144,@gene_weekly,Gene Weekly,youtube,6959796,0.0067,87.96,Cold Chain,Las Vegas,Nevada,US,1,2026-05-13T09:49:19Z
145,@gene_map,Gene Map,threads,49651,0.0648,87.65,Clinical Operations,Brooklyn,New York,US,0,2026-05-13T09:49:19Z
146,@gene_matrix,Gene Matrix,instagram,7958,0.041,70.28,Pharmacovigilance,New York,New York,US,0,2026-05-13T09:49:19Z
147,@gene_ops,Gene Ops,tiktok,8123,0.1178,100,Cell Therapy,Los Angeles,California,US,0,2026-05-13T09:49:19Z
148,@gene_flow,Gene Flow,twitter,5701,0.1019,100,Biologics Manufacturing,Chicago,Illinois,US,0,2026-05-13T09:49:19Z
149,@gene_status,Gene Status,youtube,60712,0.0687,90.49,Diagnostics,Houston,Texas,US,0,2026-05-13T09:49:19Z
150,@gene_watch,Gene Watch,threads,1445,0.052,64.75,Medical Devices,Phoenix,Arizona,US,0,2026-05-13T09:49:19Z
151,@celltherapy_safety,Celltherapy Safety,instagram,7194,0.0631,84.06,Trial Supply,San Francisco,California,US,0,2026-05-13T09:49:19Z
152,@celltherapy_control,Celltherapy Control,tiktok,189022,0.0287,71.67,Sterility Assurance,Miami,Florida,US,0,2026-05-13T09:49:19Z
153,@celltherapy_bridge,Celltherapy Bridge,twitter,58873,0.0674,97.84,Manufacturer Quality,Seattle,Washington,US,0,2026-05-13T09:49:19Z
154,@celltherapy_compliance,Celltherapy Compliance,youtube,6502,0.0623,70.11,Enrollment Risk,Denver,Colorado,US,0,2026-05-13T09:49:19Z
155,@celltherapy_node,Celltherapy Node,threads,18187,0.0252,68.98,Air Cargo,Austin,Texas,US,0,2026-05-13T09:49:19Z
156,@celltherapy_channel,Celltherapy Channel,instagram,824832,0.0273,86.27,FDA,Nashville,Tennessee,US,1,2026-05-13T09:49:19Z
157,@celltherapy_intel,Celltherapy Intel,tiktok,18607,0.0485,81.21,EMA,Portland,Oregon,US,0,2026-05-13T09:49:19Z
158,@celltherapy_feed,Celltherapy Feed,twitter,53932,0.0456,82.7,GxP,Boston,Massachusetts,US,0,2026-05-13T09:49:19Z
159,@celltherapy_pulse,Celltherapy Pulse,youtube,94986,0.0351,71.51,Cold Chain,Atlanta,Georgia,US,0,2026-05-13T09:49:19Z
160,@celltherapy_weekly,Celltherapy Weekly,threads,22979,0.0797,97.75,Clinical Operations,Dallas,Texas,US,0,2026-05-13T09:49:19Z
161,@diagnostic_market,Diagnostic Market,instagram,32030,0.0729,90.95,Pharmacovigilance,San Diego,California,US,0,2026-05-13T09:49:19Z
162,@diagnostic_release,Diagnostic Release,tiktok,4209,0.0533,77.92,Cell Therapy,Minneapolis,Minnesota,US,0,2026-05-13T09:49:19Z
163,@diagnostic_updates,Diagnostic Updates,twitter,8227,0.0389,74.31,Biologics Manufacturing,Detroit,Michigan,US,0,2026-05-13T09:49:19Z
164,@diagnostic_network,Diagnostic Network,youtube,19357,0.0282,62.58,Diagnostics,Las Vegas,Nevada,US,0,2026-05-13T09:49:19Z
165,@diagnostic_status,Diagnostic Status,threads,2415,0.1155,97.74,Medical Devices,Brooklyn,New York,US,0,2026-05-13T09:49:19Z
166,@diagnostic_desk,Diagnostic Desk,instagram,6638,0.0606,73.78,Trial Supply,New York,New York,US,0,2026-05-13T09:49:19Z
167,@diagnostic_wire,Diagnostic Wire,tiktok,539107,0.0236,85.46,Sterility Assurance,Los Angeles,California,US,1,2026-05-13T09:49:19Z
168,@diagnostic_planner,Diagnostic Planner,twitter,7020,0.0365,68.74,Manufacturer Quality,Chicago,Illinois,US,0,2026-05-13T09:49:19Z
169,@diagnostic_alerts,Diagnostic Alerts,youtube,514818,0.0326,81.06,Enrollment Risk,Houston,Texas,US,1,2026-05-13T09:49:19Z
170,@diagnostic_flow,Diagnostic Flow,threads,208874,0.0392,82.16,Air Cargo,Phoenix,Arizona,US,0,2026-05-13T09:49:19Z
171,@device_network,Device Network,instagram,9203,0.0813,92.65,FDA,San Francisco,California,US,0,2026-05-13T09:49:19Z
172,@device_planner,Device Planner,tiktok,3409,0.1188,100,EMA,Miami,Florida,US,0,2026-05-13T09:49:19Z
173,@device_bulletin,Device Bulletin,twitter,949710,0.0335,91.33,GxP,Seattle,Washington,US,1,2026-05-13T09:49:19Z
174,@device_forecast,Device Forecast,youtube,82535,0.0557,82.62,Cold Chain,Denver,Colorado,US,0,2026-05-13T09:49:19Z
175,@device_matrix,Device Matrix,threads,2780,0.071,79.16,Clinical Operations,Austin,Texas,US,0,2026-05-13T09:49:19Z
176,@device_monitor,Device Monitor,instagram,7682,0.0407,64.19,Pharmacovigilance,Nashville,Tennessee,US,0,2026-05-13T09:49:19Z
177,@device_ledger,Device Ledger,tiktok,8451,0.0509,79.64,Cell Therapy,Portland,Oregon,US,0,2026-05-13T09:49:19Z
178,@device_pulse,Device Pulse,twitter,85225,0.0375,81.23,Biologics Manufacturing,Boston,Massachusetts,US,0,2026-05-13T09:49:19Z
179,@device_intel,Device Intel,youtube,48186,0.0722,95.21,Diagnostics,Atlanta,Georgia,US,0,2026-05-13T09:49:19Z
180,@device_node,Device Node,threads,2576621,0.0062,84.3,Medical Devices,Dallas,Texas,US,1,2026-05-13T09:49:19Z
181,@lab_wire,Lab Wire,instagram,6137609,0.0084,88.42,Trial Supply,San Diego,California,US,1,2026-05-13T09:49:19Z
182,@lab_risk,Lab Risk,tiktok,44845,0.0393,77.74,Sterility Assurance,Minneapolis,Minnesota,US,0,2026-05-13T09:49:19Z
183,@lab_review,Lab Review,twitter,8648,0.0884,88.14,Manufacturer Quality,Detroit,Michigan,US,0,2026-05-13T09:49:19Z
184,@lab_ledger,Lab Ledger,youtube,8081,0.1132,100,Enrollment Risk,Las Vegas,Nevada,US,0,2026-05-13T09:49:19Z
185,@lab_observer,Lab Observer,threads,3823,0.0552,78.83,Air Cargo,Brooklyn,New York,US,0,2026-05-13T09:49:19Z
186,@lab_compliance,Lab Compliance,instagram,2246,0.0876,89.52,FDA,New York,New York,US,0,2026-05-13T09:49:19Z
187,@lab_registry,Lab Registry,tiktok,61587,0.0425,74.45,EMA,Los Angeles,California,US,0,2026-05-13T09:49:19Z
188,@lab_desk,Lab Desk,twitter,9998,0.0808,93.85,GxP,Chicago,Illinois,US,0,2026-05-13T09:49:19Z
189,@lab_audit,Lab Audit,youtube,5500,0.072,88.21,Cold Chain,Houston,Texas,US,0,2026-05-13T09:49:19Z
190,@lab_matrix,Lab Matrix,threads,500027,0.0342,87.92,Clinical Operations,Phoenix,Arizona,US,1,2026-05-13T09:49:19Z
191,@quality_flow,Quality Flow,instagram,1067,0.1119,93.7,Pharmacovigilance,San Francisco,California,US,0,2026-05-13T09:49:19Z
192,@quality_matrix,Quality Matrix,tiktok,1427,0.0359,55.61,Cell Therapy,Miami,Florida,US,0,2026-05-13T09:49:19Z
193,@quality_weekly,Quality Weekly,twitter,4466,0.0596,78.62,Biologics Manufacturing,Seattle,Washington,US,0,2026-05-13T09:49:19Z
194,@quality_node,Quality Node,youtube,46525,0.0562,89.04,Diagnostics,Denver,Colorado,US,0,2026-05-13T09:49:19Z
195,@quality_watch,Quality Watch,threads,71751,0.0257,75.45,Medical Devices,Austin,Texas,US,0,2026-05-13T09:49:19Z
201,@release_audit,Release Audit,instagram,73409,0.0372,80.77,Trial Supply,Nashville,Tennessee,US,0,2026-05-13T09:49:19Z
202,@release_coordinator,Release Coordinator,tiktok,5944,0.0876,93.51,Sterility Assurance,Portland,Oregon,US,0,2026-05-13T09:49:19Z
203,@release_tracker,Release Tracker,twitter,5422,0.1002,89.4,Manufacturer Quality,Boston,Massachusetts,US,0,2026-05-13T09:49:19Z
204,@release_release,Release Release,youtube,43692,0.065,81.54,Enrollment Risk,Atlanta,Georgia,US,0,2026-05-13T09:49:19Z
205,@release_ops,Release Ops,threads,5116,0.0659,74.33,Air Cargo,Dallas,Texas,US,0,2026-05-13T09:49:19Z
206,@release_ledger,Release Ledger,instagram,39284,0.0498,81.59,FDA,San Diego,California,US,0,2026-05-13T09:49:19Z
207,@release_bulletins,Release Bulletins,tiktok,6468,0.0407,64.05,EMA,Minneapolis,Minnesota,US,0,2026-05-13T09:49:19Z
208,@release_network,Release Network,twitter,91700,0.0343,71.3,GxP,Detroit,Michigan,US,0,2026-05-13T09:49:19Z
209,@release_queue,Release Queue,youtube,223689,0.021,67.89,Cold Chain,Las Vegas,Nevada,US,0,2026-05-13T09:49:19Z
210,@release_weekly,Release Weekly,threads,3643,0.0333,55.08,Clinical Operations,Brooklyn,New York,US,0,2026-05-13T09:49:19Z
