shipment_id,order_id,center_id,carrier,tracking_number,ship_status,distance_km,estimated_hours,ship_cost,shipped_at,delivered_at,created_at
87,87,11,FabLine Freight,HTR00000087,packed,1616,4.7,66.39,2026-05-05T11:20:00Z,,2026-05-05T10:20:00Z
88,88,4,ChannelFlow Priority,HTR00000088,shipped,1795,54.4,357.41,2026-05-05T11:15:00Z,,2026-05-05T10:15:00Z
89,89,9,Oracle Logistics Cloud,HTR00000089,in_transit,875,65.5,113.03,2026-05-05T11:10:00Z,,2026-05-05T10:10:00Z
90,90,2,Silicon Route Express,HTR00000090,out_for_delivery,682,39.6,254.06,2026-05-05T11:05:00Z,,2026-05-05T10:05:00Z
91,91,7,FabLine Freight,HTR00000091,preparing,591,19.7,482.77,2026-05-05T11:00:00Z,,2026-05-05T10:00:00Z
92,92,12,ChannelFlow Priority,HTR00000092,delivered,2654,59.4,360.68,2026-05-05T10:55:00Z,2026-05-05T14:30:00Z,2026-05-05T09:55:00Z
93,93,5,Oracle Logistics Cloud,HTR00000093,shipped,328,73.8,461.49,2026-05-05T10:50:00Z,,2026-05-05T09:50:00Z
94,94,10,Silicon Route Express,HTR00000094,in_transit,448,27,248.34,2026-05-05T10:45:00Z,,2026-05-05T09:45:00Z
95,95,3,FabLine Freight,HTR00000095,out_for_delivery,2095,17.7,386.22,2026-05-05T10:40:00Z,,2026-05-05T09:40:00Z
96,96,8,ChannelFlow Priority,HTR00000096,preparing,1602,17.7,250.93,2026-05-05T10:35:00Z,,2026-05-05T09:35:00Z
97,97,1,Oracle Logistics Cloud,HTR00000097,packed,1547,75.6,254.63,2026-05-05T10:30:00Z,,2026-05-05T09:30:00Z
98,98,6,Silicon Route Express,HTR00000098,shipped,2487,59.7,487.1,2026-05-05T10:25:00Z,,2026-05-05T09:25:00Z
99,99,11,FabLine Freight,HTR00000099,in_transit,1956,8.1,355.51,2026-05-05T10:20:00Z,,2026-05-05T09:20:00Z
100,100,4,ChannelFlow Priority,HTR00000100,delivered,2124,45.3,226.92,2026-05-05T10:15:00Z,2026-05-05T14:15:00Z,2026-05-05T09:15:00Z
101,101,9,Oracle Logistics Cloud,HTR00000101,preparing,1800,52.4,231.6,2026-05-05T10:10:00Z,,2026-05-05T09:10:00Z
102,102,2,Silicon Route Express,HTR00000102,packed,947,4.8,169.37,2026-05-05T10:05:00Z,,2026-05-05T09:05:00Z
103,103,7,FabLine Freight,HTR00000103,shipped,1297,48,87.67,2026-05-05T10:00:00Z,,2026-05-05T09:00:00Z
104,104,12,ChannelFlow Priority,HTR00000104,in_transit,947,20.5,352.48,2026-05-05T09:55:00Z,,2026-05-05T08:55:00Z
105,105,5,Oracle Logistics Cloud,HTR00000105,out_for_delivery,1425,5.6,312.65,2026-05-05T09:50:00Z,,2026-05-05T08:50:00Z
106,106,10,Silicon Route Express,HTR00000106,preparing,701,71.4,251.89,2026-05-05T09:45:00Z,,2026-05-05T08:45:00Z
107,107,3,FabLine Freight,HTR00000107,packed,652,59.4,231.1,2026-05-05T09:40:00Z,,2026-05-05T08:40:00Z
108,108,8,ChannelFlow Priority,HTR00000108,delivered,871,41.8,92.44,2026-05-05T09:35:00Z,2026-05-05T13:35:00Z,2026-05-05T08:35:00Z
109,109,1,Oracle Logistics Cloud,HTR00000109,in_transit,535,64.7,486.73,2026-05-05T09:30:00Z,,2026-05-05T08:30:00Z
110,110,6,Silicon Route Express,HTR00000110,out_for_delivery,2405,69.5,216,2026-05-05T09:25:00Z,,2026-05-05T08:25:00Z
111,111,11,FabLine Freight,HTR00000111,preparing,2007,67.1,480.02,2026-05-05T09:20:00Z,,2026-05-05T08:20:00Z
112,112,4,ChannelFlow Priority,HTR00000112,packed,2287,50.2,161.6,2026-05-05T09:15:00Z,,2026-05-05T08:15:00Z
113,113,9,Oracle Logistics Cloud,HTR00000113,shipped,984,56,250.49,2026-05-05T09:10:00Z,,2026-05-05T08:10:00Z
114,114,2,Silicon Route Express,HTR00000114,in_transit,545,60.9,242.82,2026-05-05T09:05:00Z,,2026-05-05T08:05:00Z
115,115,7,FabLine Freight,HTR00000115,out_for_delivery,2186,37.8,67.73,2026-05-05T09:00:00Z,,2026-05-05T08:00:00Z
116,116,12,ChannelFlow Priority,HTR00000116,delivered,2653,33.8,73.92,2026-05-05T08:55:00Z,2026-05-05T12:55:00Z,2026-05-05T07:55:00Z
117,117,5,Oracle Logistics Cloud,HTR00000117,packed,2089,8,83.02,2026-05-05T08:50:00Z,,2026-05-05T07:50:00Z
118,118,10,Silicon Route Express,HTR00000118,shipped,1166,32.2,235.8,2026-05-05T08:45:00Z,,2026-05-05T07:45:00Z
119,119,3,FabLine Freight,HTR00000119,in_transit,136,73.6,48.42,2026-05-05T08:40:00Z,,2026-05-05T07:40:00Z
120,120,8,ChannelFlow Priority,HTR00000120,out_for_delivery,1538,9,169.37,2026-05-05T08:35:00Z,,2026-05-05T07:35:00Z
121,121,1,Oracle Logistics Cloud,HTR00000121,preparing,1859,19.8,43.45,2026-05-05T08:30:00Z,,2026-05-05T07:30:00Z
122,122,6,Silicon Route Express,HTR00000122,packed,2586,66.7,332.54,2026-05-05T08:25:00Z,,2026-05-05T07:25:00Z
123,123,11,FabLine Freight,HTR00000123,shipped,1417,36.8,339.88,2026-05-05T08:20:00Z,,2026-05-05T07:20:00Z
124,124,4,ChannelFlow Priority,HTR00000124,delivered,828,15.5,463.31,2026-05-05T08:15:00Z,2026-05-05T12:15:00Z,2026-05-05T07:15:00Z
125,125,9,Oracle Logistics Cloud,HTR00000125,out_for_delivery,890,15,328.46,2026-05-05T08:10:00Z,,2026-05-05T07:10:00Z
126,126,2,Silicon Route Express,HTR00000126,preparing,1509,54.5,213.22,2026-05-05T08:05:00Z,,2026-05-05T07:05:00Z
127,127,7,FabLine Freight,HTR00000127,packed,1020,68.7,230.25,2026-05-05T08:00:00Z,,2026-05-05T07:00:00Z
128,128,12,ChannelFlow Priority,HTR00000128,shipped,2595,56.2,65.83,2026-05-05T07:55:00Z,,2026-05-05T06:55:00Z
129,129,5,Oracle Logistics Cloud,HTR00000129,in_transit,1572,75.3,37.88,2026-05-05T07:50:00Z,,2026-05-05T06:50:00Z
130,130,10,Silicon Route Express,HTR00000130,out_for_delivery,835,50.4,343.83,2026-05-05T07:45:00Z,,2026-05-05T06:45:00Z
131,131,3,FabLine Freight,HTR00000131,preparing,2618,60.1,379.27,2026-05-05T07:40:00Z,,2026-05-05T06:40:00Z
132,132,8,ChannelFlow Priority,HTR00000132,delivered,1975,12.9,297,2026-05-05T07:35:00Z,2026-05-05T11:35:00Z,2026-05-05T06:35:00Z
133,133,1,Oracle Logistics Cloud,HTR00000133,shipped,2149,4.6,324.18,2026-05-05T07:30:00Z,,2026-05-05T06:30:00Z
134,134,6,Silicon Route Express,HTR00000134,in_transit,2304,47,378.61,2026-05-05T07:25:00Z,,2026-05-05T06:25:00Z
135,135,11,FabLine Freight,HTR00000135,out_for_delivery,229,61.7,363.41,2026-05-05T07:20:00Z,,2026-05-05T06:20:00Z
136,136,4,ChannelFlow Priority,HTR00000136,preparing,660,18.3,236.2,2026-05-05T07:15:00Z,,2026-05-05T06:15:00Z
137,137,9,Oracle Logistics Cloud,HTR00000137,packed,1626,37.9,64.28,2026-05-05T07:10:00Z,,2026-05-05T06:10:00Z
138,138,2,Silicon Route Express,HTR00000138,shipped,1619,9.3,249.45,2026-05-05T07:05:00Z,,2026-05-05T06:05:00Z
139,139,7,FabLine Freight,HTR00000139,in_transit,290,15.1,26.8,2026-05-05T07:00:00Z,,2026-05-05T06:00:00Z
140,140,12,ChannelFlow Priority,HTR00000140,delivered,2002,7.6,252.11,2026-05-05T06:55:00Z,2026-05-05T10:55:00Z,2026-05-05T05:55:00Z
141,141,5,Oracle Logistics Cloud,HTR00000141,preparing,1711,57,208.76,2026-05-05T06:50:00Z,,2026-05-05T05:50:00Z
142,142,10,Silicon Route Express,HTR00000142,packed,1397,26,233.93,2026-05-05T06:45:00Z,,2026-05-05T05:45:00Z
143,143,3,FabLine Freight,HTR00000143,shipped,1766,14.3,204.27,2026-05-05T06:40:00Z,,2026-05-05T05:40:00Z
144,144,8,ChannelFlow Priority,HTR00000144,in_transit,1431,20.8,384.14,2026-05-05T06:35:00Z,,2026-05-05T05:35:00Z
145,145,1,Oracle Logistics Cloud,HTR00000145,out_for_delivery,2475,6.5,242.76,2026-05-05T06:30:00Z,,2026-05-05T05:30:00Z
146,146,6,Silicon Route Express,HTR00000146,preparing,995,7.5,426.87,2026-05-05T06:25:00Z,,2026-05-05T05:25:00Z
147,147,11,FabLine Freight,HTR00000147,packed,2219,6.9,75.85,2026-05-05T06:20:00Z,,2026-05-05T05:20:00Z
148,148,4,ChannelFlow Priority,HTR00000148,delivered,503,68.8,226.7,2026-05-05T06:15:00Z,2026-05-05T10:15:00Z,2026-05-05T05:15:00Z
149,149,9,Oracle Logistics Cloud,HTR00000149,in_transit,2078,24.1,434.28,2026-05-05T06:10:00Z,,2026-05-05T05:10:00Z
150,150,2,Silicon Route Express,HTR00000150,out_for_delivery,2315,24,185.13,2026-05-05T06:05:00Z,,2026-05-05T05:05:00Z
151,151,7,FabLine Freight,HTR00000151,preparing,206,11.9,497.18,2026-05-05T06:00:00Z,,2026-05-05T05:00:00Z
152,152,12,ChannelFlow Priority,HTR00000152,packed,955,57.5,243.3,2026-05-05T05:55:00Z,,2026-05-05T04:55:00Z
153,153,5,Oracle Logistics Cloud,HTR00000153,shipped,451,25.3,409.88,2026-05-05T05:50:00Z,,2026-05-05T04:50:00Z
154,154,10,Silicon Route Express,HTR00000154,in_transit,1092,39.2,59.03,2026-05-05T05:45:00Z,,2026-05-05T04:45:00Z
155,155,3,FabLine Freight,HTR00000155,out_for_delivery,1495,68.3,76,2026-05-05T05:40:00Z,,2026-05-05T04:40:00Z
156,156,8,ChannelFlow Priority,HTR00000156,delivered,2677,17.3,29.09,2026-05-05T05:35:00Z,2026-05-05T09:35:00Z,2026-05-05T04:35:00Z
157,157,1,Oracle Logistics Cloud,HTR00000157,packed,2418,12.3,278.06,2026-05-05T05:30:00Z,,2026-05-05T04:30:00Z
158,158,6,Silicon Route Express,HTR00000158,shipped,1290,68.7,257.05,2026-05-05T05:25:00Z,,2026-05-05T04:25:00Z
159,159,11,FabLine Freight,HTR00000159,in_transit,2313,30.5,171.38,2026-05-05T05:20:00Z,,2026-05-05T04:20:00Z
160,160,4,ChannelFlow Priority,HTR00000160,out_for_delivery,151,60.7,293.74,2026-05-05T05:15:00Z,,2026-05-05T04:15:00Z
161,161,9,Oracle Logistics Cloud,HTR00000161,preparing,377,14.3,313.8,2026-05-05T05:10:00Z,,2026-05-05T04:10:00Z
162,162,2,Silicon Route Express,HTR00000162,packed,838,70.5,250.52,2026-05-05T05:05:00Z,,2026-05-05T04:05:00Z
163,163,7,FabLine Freight,HTR00000163,shipped,1500,21.9,210.28,2026-05-05T05:00:00Z,,2026-05-05T04:00:00Z
164,164,12,ChannelFlow Priority,HTR00000164,delivered,2663,30.8,489.36,2026-05-05T04:55:00Z,2026-05-05T08:55:00Z,2026-05-05T03:55:00Z
165,165,5,Oracle Logistics Cloud,HTR00000165,out_for_delivery,1432,5.8,445.42,2026-05-05T04:50:00Z,,2026-05-05T03:50:00Z
166,166,10,Silicon Route Express,HTR00000166,preparing,1361,18.6,333.95,2026-05-05T04:45:00Z,,2026-05-05T03:45:00Z
167,167,3,FabLine Freight,HTR00000167,packed,726,60.5,360.2,2026-05-05T04:40:00Z,,2026-05-05T03:40:00Z
168,168,8,ChannelFlow Priority,HTR00000168,shipped,1348,44,151.17,2026-05-05T04:35:00Z,,2026-05-05T03:35:00Z
169,169,1,Oracle Logistics Cloud,HTR00000169,in_transit,565,36.5,49.83,2026-05-05T04:30:00Z,,2026-05-05T03:30:00Z
170,170,6,Silicon Route Express,HTR00000170,out_for_delivery,1648,43.7,198.22,2026-05-05T04:25:00Z,,2026-05-05T03:25:00Z
171,171,11,FabLine Freight,HTR00000171,preparing,1124,41.7,130.83,2026-05-05T04:20:00Z,,2026-05-05T03:20:00Z
172,172,4,ChannelFlow Priority,HTR00000172,delivered,1170,27.7,372.46,2026-05-05T04:15:00Z,2026-05-05T08:15:00Z,2026-05-05T03:15:00Z
173,173,9,Oracle Logistics Cloud,HTR00000173,shipped,899,24.2,220.29,2026-05-05T04:10:00Z,,2026-05-05T03:10:00Z
174,174,2,Silicon Route Express,HTR00000174,in_transit,277,66.6,54.65,2026-05-05T04:05:00Z,,2026-05-05T03:05:00Z
175,175,7,FabLine Freight,HTR00000175,out_for_delivery,486,44.4,364.84,2026-05-05T04:00:00Z,,2026-05-05T03:00:00Z
176,176,12,ChannelFlow Priority,HTR00000176,preparing,1808,25,105.06,2026-05-05T03:55:00Z,,2026-05-05T02:55:00Z
177,177,5,Oracle Logistics Cloud,HTR00000177,packed,2160,9.3,191.64,2026-05-05T03:50:00Z,,2026-05-05T02:50:00Z
178,178,10,Silicon Route Express,HTR00000178,shipped,1649,17.4,372.54,2026-05-05T03:45:00Z,,2026-05-05T02:45:00Z
179,179,3,FabLine Freight,HTR00000179,in_transit,1398,72.3,238.78,2026-05-05T03:40:00Z,,2026-05-05T02:40:00Z
180,180,8,ChannelFlow Priority,HTR00000180,delivered,1680,54.7,134.26,2026-05-05T03:35:00Z,2026-05-05T07:35:00Z,2026-05-05T02:35:00Z
181,181,1,Oracle Logistics Cloud,HTR00000181,preparing,269,17.4,165.45,2026-05-05T03:30:00Z,,2026-05-05T02:30:00Z
182,182,6,Silicon Route Express,HTR00000182,packed,355,10.6,382.36,2026-05-05T03:25:00Z,,2026-05-05T02:25:00Z
183,183,11,FabLine Freight,HTR00000183,shipped,1318,17.8,496.41,2026-05-05T03:20:00Z,,2026-05-05T02:20:00Z
184,184,4,ChannelFlow Priority,HTR00000184,in_transit,2156,57.2,291.97,2026-05-05T03:15:00Z,,2026-05-05T02:15:00Z
185,185,9,Oracle Logistics Cloud,HTR00000185,out_for_delivery,1014,47,113.48,2026-05-05T03:10:00Z,,2026-05-05T02:10:00Z
186,186,2,Silicon Route Express,HTR00000186,preparing,2678,63.9,87.67,2026-05-05T03:05:00Z,,2026-05-05T02:05:00Z
187,187,7,FabLine Freight,HTR00000187,packed,200,49.6,306.8,2026-05-05T03:00:00Z,,2026-05-05T02:00:00Z
188,188,12,ChannelFlow Priority,HTR00000188,delivered,1829,46.4,267.73,2026-05-05T02:55:00Z,2026-05-05T06:55:00Z,2026-05-05T01:55:00Z
189,189,5,Oracle Logistics Cloud,HTR00000189,in_transit,228,31.7,366.31,2026-05-05T02:50:00Z,,2026-05-05T01:50:00Z
190,190,10,Silicon Route Express,HTR00000190,out_for_delivery,1695,64,474.34,2026-05-05T02:45:00Z,,2026-05-05T01:45:00Z
191,191,3,FabLine Freight,HTR00000191,preparing,1597,40.7,302.59,2026-05-05T02:40:00Z,,2026-05-05T01:40:00Z
192,192,8,ChannelFlow Priority,HTR00000192,packed,1710,69.3,129.09,2026-05-05T02:35:00Z,,2026-05-05T01:35:00Z
193,193,1,Oracle Logistics Cloud,HTR00000193,shipped,1965,73,51.74,2026-05-05T02:30:00Z,,2026-05-05T01:30:00Z
194,194,6,Silicon Route Express,HTR00000194,in_transit,497,48.4,247.63,2026-05-05T02:25:00Z,,2026-05-05T01:25:00Z
195,195,11,FabLine Freight,HTR00000195,out_for_delivery,203,60.7,386.29,2026-05-05T02:20:00Z,,2026-05-05T01:20:00Z
