link_id,brand_id,influencer_id,relationship_type,post_count,avg_engagement,revenue_attributed,first_mention,last_mention
74,2,282,affiliate,20,9.23,449149,2026-04-22T16:30:00Z,2026-05-05T15:30:00Z
75,3,299,competitor_mention,21,2.23,299120,2026-04-21T16:30:00Z,2026-05-05T14:30:00Z
76,4,316,organic,22,3.76,407044,2026-04-20T16:30:00Z,2026-05-05T13:30:00Z
77,5,333,sponsored,23,8.22,187960,2026-04-19T16:30:00Z,2026-05-05T12:30:00Z
78,6,350,ambassador,24,8.51,518436,2026-04-18T16:30:00Z,2026-05-05T11:30:00Z
79,7,367,affiliate,25,6.46,488752,2026-04-17T16:30:00Z,2026-05-05T10:30:00Z
80,8,384,competitor_mention,26,7.3,767070,2026-04-16T16:30:00Z,2026-05-05T09:30:00Z
81,9,401,organic,27,2.06,558297,2026-04-15T16:30:00Z,2026-05-05T08:30:00Z
82,10,418,sponsored,28,3.23,566492,2026-04-23T16:30:00Z,2026-05-05T07:30:00Z
83,11,435,ambassador,29,4.15,439681,2026-04-22T16:30:00Z,2026-05-05T06:30:00Z
84,12,452,affiliate,30,3.49,373823,2026-04-21T16:30:00Z,2026-05-05T05:30:00Z
85,1,469,competitor_mention,3,6.33,276608,2026-04-20T16:30:00Z,2026-05-05T04:30:00Z
86,2,6,organic,4,7.99,164928,2026-04-19T16:30:00Z,2026-05-05T03:30:00Z
87,3,23,sponsored,5,3.3,292476,2026-04-18T16:30:00Z,2026-05-05T02:30:00Z
88,4,40,ambassador,6,9.26,748716,2026-04-17T16:30:00Z,2026-05-05T01:30:00Z
89,5,57,affiliate,7,5.01,279632,2026-04-16T16:30:00Z,2026-05-05T00:30:00Z
90,6,74,competitor_mention,8,7.72,507689,2026-04-15T16:30:00Z,2026-05-04T23:30:00Z
91,7,91,organic,9,4.91,746672,2026-04-23T16:30:00Z,2026-05-04T22:30:00Z
92,8,108,sponsored,10,4.85,425919,2026-04-22T16:30:00Z,2026-05-04T21:30:00Z
93,9,125,ambassador,11,5.64,767670,2026-04-21T16:30:00Z,2026-05-04T20:30:00Z
94,10,142,affiliate,12,2.14,503568,2026-04-20T16:30:00Z,2026-05-04T19:30:00Z
95,11,159,competitor_mention,13,8.05,639635,2026-04-19T16:30:00Z,2026-05-04T18:30:00Z
96,12,176,organic,14,6.27,557051,2026-04-18T16:30:00Z,2026-05-04T17:30:00Z
97,1,193,sponsored,15,2.5,554077,2026-04-17T16:30:00Z,2026-05-04T16:30:00Z
98,2,210,ambassador,16,7.66,41715,2026-04-16T16:30:00Z,2026-05-04T15:30:00Z
99,3,227,affiliate,17,3.36,143357,2026-04-15T16:30:00Z,2026-05-04T14:30:00Z
100,4,244,competitor_mention,18,9.19,485149,2026-04-23T16:30:00Z,2026-05-04T13:30:00Z
101,5,261,organic,19,6.1,309404,2026-04-22T16:30:00Z,2026-05-04T12:30:00Z
102,6,278,sponsored,20,5.13,327900,2026-04-21T16:30:00Z,2026-05-04T11:30:00Z
103,7,295,ambassador,21,4.99,341793,2026-04-20T16:30:00Z,2026-05-04T10:30:00Z
104,8,312,affiliate,22,8.04,599448,2026-04-19T16:30:00Z,2026-05-04T09:30:00Z
105,9,329,competitor_mention,23,4.61,478346,2026-04-18T16:30:00Z,2026-05-04T08:30:00Z
106,10,346,organic,24,5.41,149390,2026-04-17T16:30:00Z,2026-05-04T07:30:00Z
107,11,363,sponsored,25,3.53,197021,2026-04-16T16:30:00Z,2026-05-04T06:30:00Z
108,12,380,ambassador,26,4.65,290084,2026-04-15T16:30:00Z,2026-05-04T05:30:00Z
109,1,397,affiliate,27,4.75,399663,2026-04-23T16:30:00Z,2026-05-05T16:30:00Z
110,2,414,competitor_mention,28,7.42,635144,2026-04-22T16:30:00Z,2026-05-05T15:30:00Z
111,3,431,organic,29,7.89,218920,2026-04-21T16:30:00Z,2026-05-05T14:30:00Z
112,4,448,sponsored,30,9.29,422841,2026-04-20T16:30:00Z,2026-05-05T13:30:00Z
113,5,465,ambassador,3,9.54,366193,2026-04-19T16:30:00Z,2026-05-05T12:30:00Z
114,6,2,affiliate,4,4.15,586764,2026-04-18T16:30:00Z,2026-05-05T11:30:00Z
115,7,19,competitor_mention,5,1.84,521273,2026-04-17T16:30:00Z,2026-05-05T10:30:00Z
116,8,36,organic,6,3.8,425789,2026-04-16T16:30:00Z,2026-05-05T09:30:00Z
117,9,53,sponsored,7,2.95,437203,2026-04-15T16:30:00Z,2026-05-05T08:30:00Z
118,10,70,ambassador,8,7.27,157365,2026-04-23T16:30:00Z,2026-05-05T07:30:00Z
119,11,87,affiliate,9,8.92,315459,2026-04-22T16:30:00Z,2026-05-05T06:30:00Z
120,12,104,competitor_mention,10,4.78,754269,2026-04-21T16:30:00Z,2026-05-05T05:30:00Z
