connection_id,from_influencer,to_influencer,connection_type,strength,interaction_count,first_seen,last_interaction
71,71,22,follows,0.96,14,2026-04-11T16:30:00Z,2026-05-04T18:30:00Z
72,72,29,collaborates,0.62,15,2026-04-10T16:30:00Z,2026-05-04T17:30:00Z
73,73,36,mentioned,0.61,16,2026-04-21T16:30:00Z,2026-05-04T16:30:00Z
74,74,43,reshared,0.78,17,2026-04-20T16:30:00Z,2026-05-04T15:30:00Z
75,75,50,tagged,0.38,18,2026-04-19T16:30:00Z,2026-05-04T14:30:00Z
76,76,57,duet,0.47,19,2026-04-18T16:30:00Z,2026-05-04T13:30:00Z
77,77,64,inspired_by,0.35,20,2026-04-17T16:30:00Z,2026-05-04T12:30:00Z
78,78,71,follows,0.93,21,2026-04-16T16:30:00Z,2026-05-04T11:30:00Z
79,79,78,collaborates,0.33,22,2026-04-15T16:30:00Z,2026-05-04T10:30:00Z
80,80,85,mentioned,0.31,23,2026-04-14T16:30:00Z,2026-05-04T09:30:00Z
81,81,92,reshared,0.49,24,2026-04-13T16:30:00Z,2026-05-04T08:30:00Z
82,82,99,tagged,0.36,25,2026-04-12T16:30:00Z,2026-05-04T07:30:00Z
83,83,106,duet,0.84,26,2026-04-11T16:30:00Z,2026-05-04T06:30:00Z
84,84,113,inspired_by,0.76,27,2026-04-10T16:30:00Z,2026-05-04T05:30:00Z
85,85,120,follows,0.52,28,2026-04-21T16:30:00Z,2026-05-04T04:30:00Z
86,86,127,collaborates,0.61,29,2026-04-20T16:30:00Z,2026-05-04T03:30:00Z
87,87,134,mentioned,0.41,30,2026-04-19T16:30:00Z,2026-05-04T02:30:00Z
88,88,141,reshared,0.31,31,2026-04-18T16:30:00Z,2026-05-04T01:30:00Z
89,89,148,tagged,0.57,32,2026-04-17T16:30:00Z,2026-05-04T00:30:00Z
90,90,155,duet,0.36,33,2026-04-16T16:30:00Z,2026-05-03T23:30:00Z
91,91,162,inspired_by,0.62,34,2026-04-15T16:30:00Z,2026-05-03T22:30:00Z
92,92,169,follows,0.6,35,2026-04-14T16:30:00Z,2026-05-03T21:30:00Z
93,93,176,collaborates,0.66,36,2026-04-13T16:30:00Z,2026-05-03T20:30:00Z
94,94,183,mentioned,0.39,37,2026-04-12T16:30:00Z,2026-05-03T19:30:00Z
95,95,190,reshared,0.45,38,2026-04-11T16:30:00Z,2026-05-03T18:30:00Z
96,96,197,tagged,0.93,39,2026-04-10T16:30:00Z,2026-05-03T17:30:00Z
97,97,204,duet,0.56,40,2026-04-21T16:30:00Z,2026-05-05T16:30:00Z
98,98,211,inspired_by,0.51,41,2026-04-20T16:30:00Z,2026-05-05T15:30:00Z
99,99,218,follows,0.64,42,2026-04-19T16:30:00Z,2026-05-05T14:30:00Z
100,100,225,collaborates,0.96,43,2026-04-18T16:30:00Z,2026-05-05T13:30:00Z
101,101,232,mentioned,0.33,44,2026-04-17T16:30:00Z,2026-05-05T12:30:00Z
102,102,239,reshared,0.36,45,2026-04-16T16:30:00Z,2026-05-05T11:30:00Z
103,103,246,tagged,0.69,46,2026-04-15T16:30:00Z,2026-05-05T10:30:00Z
104,104,253,duet,0.67,47,2026-04-14T16:30:00Z,2026-05-05T09:30:00Z
105,105,260,inspired_by,0.7,48,2026-04-13T16:30:00Z,2026-05-05T08:30:00Z
106,106,267,follows,0.49,49,2026-04-12T16:30:00Z,2026-05-05T07:30:00Z
107,107,274,collaborates,0.44,50,2026-04-11T16:30:00Z,2026-05-05T06:30:00Z
108,108,281,mentioned,0.53,51,2026-04-10T16:30:00Z,2026-05-05T05:30:00Z
109,109,288,reshared,0.49,52,2026-04-21T16:30:00Z,2026-05-05T04:30:00Z
110,110,295,tagged,0.87,53,2026-04-20T16:30:00Z,2026-05-05T03:30:00Z
111,111,302,duet,0.73,54,2026-04-19T16:30:00Z,2026-05-05T02:30:00Z
112,112,309,inspired_by,0.69,55,2026-04-18T16:30:00Z,2026-05-05T01:30:00Z
113,113,316,follows,0.97,56,2026-04-17T16:30:00Z,2026-05-05T00:30:00Z
114,114,323,collaborates,0.59,57,2026-04-16T16:30:00Z,2026-05-04T23:30:00Z
115,115,330,mentioned,0.78,58,2026-04-15T16:30:00Z,2026-05-04T22:30:00Z
116,116,337,reshared,0.3,59,2026-04-14T16:30:00Z,2026-05-04T21:30:00Z
117,117,344,tagged,0.88,2,2026-04-13T16:30:00Z,2026-05-04T20:30:00Z
118,118,351,duet,0.54,3,2026-04-12T16:30:00Z,2026-05-04T19:30:00Z
119,119,358,inspired_by,0.96,4,2026-04-11T16:30:00Z,2026-05-04T18:30:00Z
120,120,365,follows,0.46,5,2026-04-10T16:30:00Z,2026-05-04T17:30:00Z
121,121,372,collaborates,0.42,6,2026-04-21T16:30:00Z,2026-05-04T16:30:00Z
122,122,379,mentioned,0.5,7,2026-04-20T16:30:00Z,2026-05-04T15:30:00Z
123,123,386,reshared,0.92,8,2026-04-19T16:30:00Z,2026-05-04T14:30:00Z
124,124,393,tagged,0.74,9,2026-04-18T16:30:00Z,2026-05-04T13:30:00Z
125,125,400,duet,0.86,10,2026-04-17T16:30:00Z,2026-05-04T12:30:00Z
126,126,407,inspired_by,0.62,11,2026-04-16T16:30:00Z,2026-05-04T11:30:00Z
127,127,414,follows,0.69,12,2026-04-15T16:30:00Z,2026-05-04T10:30:00Z
128,128,421,collaborates,0.97,13,2026-04-14T16:30:00Z,2026-05-04T09:30:00Z
129,129,428,mentioned,0.48,14,2026-04-13T16:30:00Z,2026-05-04T08:30:00Z
130,130,435,reshared,0.44,15,2026-04-12T16:30:00Z,2026-05-04T07:30:00Z
131,131,442,tagged,0.56,16,2026-04-11T16:30:00Z,2026-05-04T06:30:00Z
132,132,449,duet,0.59,17,2026-04-10T16:30:00Z,2026-05-04T05:30:00Z
133,133,456,inspired_by,0.75,18,2026-04-21T16:30:00Z,2026-05-04T04:30:00Z
134,134,463,follows,0.88,19,2026-04-20T16:30:00Z,2026-05-04T03:30:00Z
135,135,470,collaborates,0.85,20,2026-04-19T16:30:00Z,2026-05-04T02:30:00Z
136,136,477,mentioned,0.68,21,2026-04-18T16:30:00Z,2026-05-04T01:30:00Z
137,137,4,reshared,0.93,22,2026-04-17T16:30:00Z,2026-05-04T00:30:00Z
138,138,11,tagged,0.73,23,2026-04-16T16:30:00Z,2026-05-03T23:30:00Z
139,139,18,duet,0.61,24,2026-04-15T16:30:00Z,2026-05-03T22:30:00Z
140,140,25,inspired_by,0.8,25,2026-04-14T16:30:00Z,2026-05-03T21:30:00Z
141,141,32,follows,0.56,26,2026-04-13T16:30:00Z,2026-05-03T20:30:00Z
142,142,39,collaborates,0.65,27,2026-04-12T16:30:00Z,2026-05-03T19:30:00Z
143,143,46,mentioned,0.41,28,2026-04-11T16:30:00Z,2026-05-03T18:30:00Z
144,144,53,reshared,0.4,29,2026-04-10T16:30:00Z,2026-05-03T17:30:00Z
145,145,60,tagged,0.41,30,2026-04-21T16:30:00Z,2026-05-05T16:30:00Z
146,146,67,duet,0.35,31,2026-04-20T16:30:00Z,2026-05-05T15:30:00Z
147,147,74,inspired_by,0.62,32,2026-04-19T16:30:00Z,2026-05-05T14:30:00Z
148,148,81,follows,0.59,33,2026-04-18T16:30:00Z,2026-05-05T13:30:00Z
149,149,88,collaborates,0.9,34,2026-04-17T16:30:00Z,2026-05-05T12:30:00Z
150,150,95,mentioned,0.64,35,2026-04-16T16:30:00Z,2026-05-05T11:30:00Z
151,151,102,reshared,0.91,36,2026-04-15T16:30:00Z,2026-05-05T10:30:00Z
152,152,109,tagged,0.76,37,2026-04-14T16:30:00Z,2026-05-05T09:30:00Z
153,153,116,duet,0.63,38,2026-04-13T16:30:00Z,2026-05-05T08:30:00Z
154,154,123,inspired_by,0.84,39,2026-04-12T16:30:00Z,2026-05-05T07:30:00Z
155,155,130,follows,0.65,40,2026-04-11T16:30:00Z,2026-05-05T06:30:00Z
156,156,137,collaborates,0.31,41,2026-04-10T16:30:00Z,2026-05-05T05:30:00Z
157,157,144,mentioned,0.41,42,2026-04-21T16:30:00Z,2026-05-05T04:30:00Z
158,158,151,reshared,0.69,43,2026-04-20T16:30:00Z,2026-05-05T03:30:00Z
159,159,158,tagged,0.74,44,2026-04-19T16:30:00Z,2026-05-05T02:30:00Z
160,160,165,duet,0.77,45,2026-04-18T16:30:00Z,2026-05-05T01:30:00Z
161,161,172,inspired_by,0.48,46,2026-04-17T16:30:00Z,2026-05-05T00:30:00Z
162,162,179,follows,0.79,47,2026-04-16T16:30:00Z,2026-05-04T23:30:00Z
163,163,186,collaborates,0.92,48,2026-04-15T16:30:00Z,2026-05-04T22:30:00Z
164,164,193,mentioned,0.41,49,2026-04-14T16:30:00Z,2026-05-04T21:30:00Z
165,165,200,reshared,0.45,50,2026-04-13T16:30:00Z,2026-05-04T20:30:00Z
166,166,207,tagged,0.29,51,2026-04-12T16:30:00Z,2026-05-04T19:30:00Z
167,167,214,duet,0.5,52,2026-04-11T16:30:00Z,2026-05-04T18:30:00Z
168,168,221,inspired_by,0.88,53,2026-04-10T16:30:00Z,2026-05-04T17:30:00Z
169,169,228,follows,0.66,54,2026-04-21T16:30:00Z,2026-05-04T16:30:00Z
170,170,235,collaborates,0.56,55,2026-04-20T16:30:00Z,2026-05-04T15:30:00Z
171,171,242,mentioned,0.47,56,2026-04-19T16:30:00Z,2026-05-04T14:30:00Z
172,172,249,reshared,0.65,57,2026-04-18T16:30:00Z,2026-05-04T13:30:00Z
173,173,256,tagged,0.78,58,2026-04-17T16:30:00Z,2026-05-04T12:30:00Z
174,174,263,duet,0.87,59,2026-04-16T16:30:00Z,2026-05-04T11:30:00Z
175,175,270,inspired_by,0.69,2,2026-04-15T16:30:00Z,2026-05-04T10:30:00Z
176,176,277,follows,0.46,3,2026-04-14T16:30:00Z,2026-05-04T09:30:00Z
177,177,284,collaborates,0.8,4,2026-04-13T16:30:00Z,2026-05-04T08:30:00Z
178,178,291,mentioned,0.6,5,2026-04-12T16:30:00Z,2026-05-04T07:30:00Z
179,179,298,reshared,0.95,6,2026-04-11T16:30:00Z,2026-05-04T06:30:00Z
180,180,305,tagged,0.34,7,2026-04-10T16:30:00Z,2026-05-04T05:30:00Z
181,181,312,duet,0.55,8,2026-04-21T16:30:00Z,2026-05-04T04:30:00Z
182,182,319,inspired_by,0.47,9,2026-04-20T16:30:00Z,2026-05-04T03:30:00Z
183,183,326,follows,0.81,10,2026-04-19T16:30:00Z,2026-05-04T02:30:00Z
184,184,333,collaborates,0.72,11,2026-04-18T16:30:00Z,2026-05-04T01:30:00Z
185,185,340,mentioned,0.78,12,2026-04-17T16:30:00Z,2026-05-04T00:30:00Z
186,186,347,reshared,0.43,13,2026-04-16T16:30:00Z,2026-05-03T23:30:00Z
187,187,354,tagged,0.55,14,2026-04-15T16:30:00Z,2026-05-03T22:30:00Z
188,188,361,duet,0.92,15,2026-04-14T16:30:00Z,2026-05-03T21:30:00Z
189,189,368,inspired_by,0.77,16,2026-04-13T16:30:00Z,2026-05-03T20:30:00Z
190,190,375,follows,0.59,17,2026-04-12T16:30:00Z,2026-05-03T19:30:00Z
191,191,382,collaborates,0.69,18,2026-04-11T16:30:00Z,2026-05-03T18:30:00Z
192,192,389,mentioned,0.61,19,2026-04-10T16:30:00Z,2026-05-03T17:30:00Z
193,193,396,reshared,0.82,20,2026-04-21T16:30:00Z,2026-05-05T16:30:00Z
194,194,403,tagged,0.4,21,2026-04-20T16:30:00Z,2026-05-05T15:30:00Z
195,195,410,duet,0.3,22,2026-04-19T16:30:00Z,2026-05-05T14:30:00Z
196,196,417,inspired_by,0.76,23,2026-04-18T16:30:00Z,2026-05-05T13:30:00Z
197,197,424,follows,0.41,24,2026-04-17T16:30:00Z,2026-05-05T12:30:00Z
198,198,431,collaborates,0.68,25,2026-04-16T16:30:00Z,2026-05-05T11:30:00Z
199,199,438,mentioned,0.37,26,2026-04-15T16:30:00Z,2026-05-05T10:30:00Z
200,200,445,reshared,0.97,27,2026-04-14T16:30:00Z,2026-05-05T09:30:00Z
201,201,452,tagged,0.79,28,2026-04-13T16:30:00Z,2026-05-05T08:30:00Z
202,202,459,duet,0.43,29,2026-04-12T16:30:00Z,2026-05-05T07:30:00Z
203,203,466,inspired_by,0.38,30,2026-04-11T16:30:00Z,2026-05-05T06:30:00Z
204,204,473,follows,0.64,31,2026-04-10T16:30:00Z,2026-05-05T05:30:00Z
205,205,480,collaborates,0.48,32,2026-04-21T16:30:00Z,2026-05-05T04:30:00Z
206,206,7,mentioned,0.48,33,2026-04-20T16:30:00Z,2026-05-05T03:30:00Z
207,207,14,reshared,0.95,34,2026-04-19T16:30:00Z,2026-05-05T02:30:00Z
208,208,21,tagged,0.54,35,2026-04-18T16:30:00Z,2026-05-05T01:30:00Z
209,209,28,duet,0.32,36,2026-04-17T16:30:00Z,2026-05-05T00:30:00Z
210,210,35,inspired_by,0.29,37,2026-04-16T16:30:00Z,2026-05-04T23:30:00Z
211,211,42,follows,0.63,38,2026-04-15T16:30:00Z,2026-05-04T22:30:00Z
212,212,49,collaborates,0.81,39,2026-04-14T16:30:00Z,2026-05-04T21:30:00Z
213,213,56,mentioned,0.83,40,2026-04-13T16:30:00Z,2026-05-04T20:30:00Z
214,214,63,reshared,0.58,41,2026-04-12T16:30:00Z,2026-05-04T19:30:00Z
215,215,70,tagged,0.41,42,2026-04-11T16:30:00Z,2026-05-04T18:30:00Z
216,216,77,duet,0.43,43,2026-04-10T16:30:00Z,2026-05-04T17:30:00Z
217,217,84,inspired_by,0.56,44,2026-04-21T16:30:00Z,2026-05-04T16:30:00Z
218,218,91,follows,0.37,45,2026-04-20T16:30:00Z,2026-05-04T15:30:00Z
219,219,98,collaborates,0.4,46,2026-04-19T16:30:00Z,2026-05-04T14:30:00Z
220,220,105,mentioned,0.34,47,2026-04-18T16:30:00Z,2026-05-04T13:30:00Z
221,221,112,reshared,0.94,48,2026-04-17T16:30:00Z,2026-05-04T12:30:00Z
222,222,119,tagged,0.9,49,2026-04-16T16:30:00Z,2026-05-04T11:30:00Z
223,223,126,duet,0.47,50,2026-04-15T16:30:00Z,2026-05-04T10:30:00Z
224,224,133,inspired_by,0.47,51,2026-04-14T16:30:00Z,2026-05-04T09:30:00Z
225,225,140,follows,0.56,52,2026-04-13T16:30:00Z,2026-05-04T08:30:00Z
226,226,147,collaborates,0.39,53,2026-04-12T16:30:00Z,2026-05-04T07:30:00Z
227,227,154,mentioned,0.57,54,2026-04-11T16:30:00Z,2026-05-04T06:30:00Z
228,228,161,reshared,0.63,55,2026-04-10T16:30:00Z,2026-05-04T05:30:00Z
229,229,168,tagged,0.75,56,2026-04-21T16:30:00Z,2026-05-04T04:30:00Z
230,230,175,duet,0.57,57,2026-04-20T16:30:00Z,2026-05-04T03:30:00Z
231,231,182,inspired_by,0.4,58,2026-04-19T16:30:00Z,2026-05-04T02:30:00Z
232,232,189,follows,0.76,59,2026-04-18T16:30:00Z,2026-05-04T01:30:00Z
233,233,196,collaborates,0.53,2,2026-04-17T16:30:00Z,2026-05-04T00:30:00Z
234,234,203,mentioned,0.29,3,2026-04-16T16:30:00Z,2026-05-03T23:30:00Z
235,235,210,reshared,0.54,4,2026-04-15T16:30:00Z,2026-05-03T22:30:00Z
236,236,217,tagged,0.5,5,2026-04-14T16:30:00Z,2026-05-03T21:30:00Z
237,237,224,duet,0.75,6,2026-04-13T16:30:00Z,2026-05-03T20:30:00Z
238,238,231,inspired_by,0.46,7,2026-04-12T16:30:00Z,2026-05-03T19:30:00Z
239,239,238,follows,0.31,8,2026-04-11T16:30:00Z,2026-05-03T18:30:00Z
240,240,245,collaborates,0.91,9,2026-04-10T16:30:00Z,2026-05-03T17:30:00Z
