forecast_id,product_id,region,forecast_date,predicted_demand,confidence_low,confidence_high,social_factor,model_version,explanation,created_at
13,3,Midwest Contract Manufacturing Cluster,2026-05-06,244,182,310,1.26,hightech_demo_forecast_v2,Demand volatility forecast for Secure Device Fleet Manager in Midwest Contract Manufacturing Cluster.,2026-05-05T16:30:00Z
14,3,Northeast PLM Handoff Corridor,2026-05-07,290,234,351,1.3,hightech_demo_forecast_v2,Demand volatility forecast for Secure Device Fleet Manager in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
15,3,Southeast Quality Response Region,2026-05-08,481,383,617,1.02,hightech_demo_forecast_v2,Demand volatility forecast for Secure Device Fleet Manager in Southeast Quality Response Region.,2026-05-05T16:30:00Z
16,3,Pacific Connected Product Coast,2026-05-09,209,159,266,1.1,hightech_demo_forecast_v2,Demand volatility forecast for Secure Device Fleet Manager in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
17,3,Mountain Network Systems Region,2026-05-10,329,261,437,1.15,hightech_demo_forecast_v2,Demand volatility forecast for Secure Device Fleet Manager in Mountain Network Systems Region.,2026-05-05T16:30:00Z
18,3,Carolinas Field Quality Zone,2026-05-11,641,506,826,0.94,hightech_demo_forecast_v2,Demand volatility forecast for Secure Device Fleet Manager in Carolinas Field Quality Zone.,2026-05-05T16:30:00Z
19,4,Northeast PLM Handoff Corridor,2026-05-06,150,114,183,1.53,hightech_demo_forecast_v2,Demand volatility forecast for Cloud GPU Burst Reservation in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
20,4,Southeast Quality Response Region,2026-05-07,415,326,519,1.39,hightech_demo_forecast_v2,Demand volatility forecast for Cloud GPU Burst Reservation in Southeast Quality Response Region.,2026-05-05T16:30:00Z
21,4,Pacific Connected Product Coast,2026-05-08,442,329,523,1.06,hightech_demo_forecast_v2,Demand volatility forecast for Cloud GPU Burst Reservation in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
22,4,Mountain Network Systems Region,2026-05-09,540,431,663,1.35,hightech_demo_forecast_v2,Demand volatility forecast for Cloud GPU Burst Reservation in Mountain Network Systems Region.,2026-05-05T16:30:00Z
23,4,Carolinas Field Quality Zone,2026-05-10,185,147,228,1.53,hightech_demo_forecast_v2,Demand volatility forecast for Cloud GPU Burst Reservation in Carolinas Field Quality Zone.,2026-05-05T16:30:00Z
24,4,Florida Channel Inventory Region,2026-05-11,647,519,796,1.44,hightech_demo_forecast_v2,Demand volatility forecast for Cloud GPU Burst Reservation in Florida Channel Inventory Region.,2026-05-05T16:30:00Z
25,5,Southeast Quality Response Region,2026-05-06,181,145,229,1.38,hightech_demo_forecast_v2,Demand volatility forecast for Autonomous Test Cell Controller in Southeast Quality Response Region.,2026-05-05T16:30:00Z
26,5,Pacific Connected Product Coast,2026-05-07,233,182,304,1.32,hightech_demo_forecast_v2,Demand volatility forecast for Autonomous Test Cell Controller in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
27,5,Mountain Network Systems Region,2026-05-08,383,302,491,0.88,hightech_demo_forecast_v2,Demand volatility forecast for Autonomous Test Cell Controller in Mountain Network Systems Region.,2026-05-05T16:30:00Z
28,5,Carolinas Field Quality Zone,2026-05-09,231,181,279,1.5,hightech_demo_forecast_v2,Demand volatility forecast for Autonomous Test Cell Controller in Carolinas Field Quality Zone.,2026-05-05T16:30:00Z
29,5,Florida Channel Inventory Region,2026-05-10,457,353,562,0.93,hightech_demo_forecast_v2,Demand volatility forecast for Autonomous Test Cell Controller in Florida Channel Inventory Region.,2026-05-05T16:30:00Z
30,5,New York Support Operations Metro,2026-05-11,252,198,305,0.85,hightech_demo_forecast_v2,Demand volatility forecast for Autonomous Test Cell Controller in New York Support Operations Metro.,2026-05-05T16:30:00Z
31,6,Pacific Connected Product Coast,2026-05-06,239,196,313,1.18,hightech_demo_forecast_v2,Demand volatility forecast for Wafer Start Planning Optimizer in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
32,6,Mountain Network Systems Region,2026-05-07,235,191,302,1.15,hightech_demo_forecast_v2,Demand volatility forecast for Wafer Start Planning Optimizer in Mountain Network Systems Region.,2026-05-05T16:30:00Z
33,6,Carolinas Field Quality Zone,2026-05-08,721,567,877,1.05,hightech_demo_forecast_v2,Demand volatility forecast for Wafer Start Planning Optimizer in Carolinas Field Quality Zone.,2026-05-05T16:30:00Z
34,6,Florida Channel Inventory Region,2026-05-09,686,531,849,1.23,hightech_demo_forecast_v2,Demand volatility forecast for Wafer Start Planning Optimizer in Florida Channel Inventory Region.,2026-05-05T16:30:00Z
35,6,New York Support Operations Metro,2026-05-10,537,416,709,1.23,hightech_demo_forecast_v2,Demand volatility forecast for Wafer Start Planning Optimizer in New York Support Operations Metro.,2026-05-05T16:30:00Z
36,6,Southern California Electronics Port,2026-05-11,678,522,836,1.49,hightech_demo_forecast_v2,Demand volatility forecast for Wafer Start Planning Optimizer in Southern California Electronics Port.,2026-05-05T16:30:00Z
37,7,Mountain Network Systems Region,2026-05-06,714,582,946,1.3,hightech_demo_forecast_v2,Demand volatility forecast for Yield Improvement Analytics Pack in Mountain Network Systems Region.,2026-05-05T16:30:00Z
38,7,Carolinas Field Quality Zone,2026-05-07,386,300,484,1.41,hightech_demo_forecast_v2,Demand volatility forecast for Yield Improvement Analytics Pack in Carolinas Field Quality Zone.,2026-05-05T16:30:00Z
39,7,Florida Channel Inventory Region,2026-05-08,760,595,1003,1.35,hightech_demo_forecast_v2,Demand volatility forecast for Yield Improvement Analytics Pack in Florida Channel Inventory Region.,2026-05-05T16:30:00Z
40,7,New York Support Operations Metro,2026-05-09,429,328,499,1.31,hightech_demo_forecast_v2,Demand volatility forecast for Yield Improvement Analytics Pack in New York Support Operations Metro.,2026-05-05T16:30:00Z
41,7,Southern California Electronics Port,2026-05-10,676,547,870,1.4,hightech_demo_forecast_v2,Demand volatility forecast for Yield Improvement Analytics Pack in Southern California Electronics Port.,2026-05-05T16:30:00Z
42,7,Pacific Northwest Demand Volatility Zone,2026-05-11,450,352,566,0.98,hightech_demo_forecast_v2,Demand volatility forecast for Yield Improvement Analytics Pack in Pacific Northwest Demand Volatility Zone.,2026-05-05T16:30:00Z
43,8,Carolinas Field Quality Zone,2026-05-06,630,510,789,1.21,hightech_demo_forecast_v2,Demand volatility forecast for AI Accelerator Module in Carolinas Field Quality Zone.,2026-05-05T16:30:00Z
44,8,Florida Channel Inventory Region,2026-05-07,661,493,816,1.47,hightech_demo_forecast_v2,Demand volatility forecast for AI Accelerator Module in Florida Channel Inventory Region.,2026-05-05T16:30:00Z
45,8,New York Support Operations Metro,2026-05-08,465,364,619,1.54,hightech_demo_forecast_v2,Demand volatility forecast for AI Accelerator Module in New York Support Operations Metro.,2026-05-05T16:30:00Z
46,8,Southern California Electronics Port,2026-05-09,708,561,823,0.97,hightech_demo_forecast_v2,Demand volatility forecast for AI Accelerator Module in Southern California Electronics Port.,2026-05-05T16:30:00Z
47,8,Pacific Northwest Demand Volatility Zone,2026-05-10,264,213,326,1.49,hightech_demo_forecast_v2,Demand volatility forecast for AI Accelerator Module in Pacific Northwest Demand Volatility Zone.,2026-05-05T16:30:00Z
48,8,Great Lakes Supplier Risk Zone,2026-05-11,251,190,299,1.36,hightech_demo_forecast_v2,Demand volatility forecast for AI Accelerator Module in Great Lakes Supplier Risk Zone.,2026-05-05T16:30:00Z
49,9,Florida Channel Inventory Region,2026-05-06,510,411,627,1.46,hightech_demo_forecast_v2,Demand volatility forecast for Thermal Control Sensor Array in Florida Channel Inventory Region.,2026-05-05T16:30:00Z
50,9,New York Support Operations Metro,2026-05-07,190,146,229,0.99,hightech_demo_forecast_v2,Demand volatility forecast for Thermal Control Sensor Array in New York Support Operations Metro.,2026-05-05T16:30:00Z
51,9,Southern California Electronics Port,2026-05-08,201,161,255,1.22,hightech_demo_forecast_v2,Demand volatility forecast for Thermal Control Sensor Array in Southern California Electronics Port.,2026-05-05T16:30:00Z
52,9,Pacific Northwest Demand Volatility Zone,2026-05-09,218,167,282,0.99,hightech_demo_forecast_v2,Demand volatility forecast for Thermal Control Sensor Array in Pacific Northwest Demand Volatility Zone.,2026-05-05T16:30:00Z
53,9,Great Lakes Supplier Risk Zone,2026-05-10,354,271,411,0.99,hightech_demo_forecast_v2,Demand volatility forecast for Thermal Control Sensor Array in Great Lakes Supplier Risk Zone.,2026-05-05T16:30:00Z
54,9,Gulf Coast Industrial IoT Region,2026-05-11,335,260,435,1.44,hightech_demo_forecast_v2,Demand volatility forecast for Thermal Control Sensor Array in Gulf Coast Industrial IoT Region.,2026-05-05T16:30:00Z
55,10,New York Support Operations Metro,2026-05-06,256,205,321,1.02,hightech_demo_forecast_v2,Demand volatility forecast for Developer Portal Premium Seat in New York Support Operations Metro.,2026-05-05T16:30:00Z
56,10,Southern California Electronics Port,2026-05-07,398,300,467,0.86,hightech_demo_forecast_v2,Demand volatility forecast for Developer Portal Premium Seat in Southern California Electronics Port.,2026-05-05T16:30:00Z
57,10,Pacific Northwest Demand Volatility Zone,2026-05-08,401,302,512,1.15,hightech_demo_forecast_v2,Demand volatility forecast for Developer Portal Premium Seat in Pacific Northwest Demand Volatility Zone.,2026-05-05T16:30:00Z
58,10,Great Lakes Supplier Risk Zone,2026-05-09,427,332,520,1.25,hightech_demo_forecast_v2,Demand volatility forecast for Developer Portal Premium Seat in Great Lakes Supplier Risk Zone.,2026-05-05T16:30:00Z
59,10,Gulf Coast Industrial IoT Region,2026-05-10,97,75,121,1.43,hightech_demo_forecast_v2,Demand volatility forecast for Developer Portal Premium Seat in Gulf Coast Industrial IoT Region.,2026-05-05T16:30:00Z
60,10,Mid-Atlantic Customer Commitment Belt,2026-05-11,135,103,166,1.25,hightech_demo_forecast_v2,Demand volatility forecast for Developer Portal Premium Seat in Mid-Atlantic Customer Commitment Belt.,2026-05-05T16:30:00Z
61,11,Southern California Electronics Port,2026-05-06,410,307,541,0.93,hightech_demo_forecast_v2,Demand volatility forecast for Digital Thread PLM Connector in Southern California Electronics Port.,2026-05-05T16:30:00Z
62,11,Pacific Northwest Demand Volatility Zone,2026-05-07,106,87,126,1.21,hightech_demo_forecast_v2,Demand volatility forecast for Digital Thread PLM Connector in Pacific Northwest Demand Volatility Zone.,2026-05-05T16:30:00Z
63,11,Great Lakes Supplier Risk Zone,2026-05-08,715,543,942,1.39,hightech_demo_forecast_v2,Demand volatility forecast for Digital Thread PLM Connector in Great Lakes Supplier Risk Zone.,2026-05-05T16:30:00Z
64,11,Gulf Coast Industrial IoT Region,2026-05-09,709,575,926,1.43,hightech_demo_forecast_v2,Demand volatility forecast for Digital Thread PLM Connector in Gulf Coast Industrial IoT Region.,2026-05-05T16:30:00Z
65,11,Mid-Atlantic Customer Commitment Belt,2026-05-10,489,388,646,1.18,hightech_demo_forecast_v2,Demand volatility forecast for Digital Thread PLM Connector in Mid-Atlantic Customer Commitment Belt.,2026-05-05T16:30:00Z
66,11,Rocky Mountain Edge Systems Zone,2026-05-11,522,412,637,1.05,hightech_demo_forecast_v2,Demand volatility forecast for Digital Thread PLM Connector in Rocky Mountain Edge Systems Zone.,2026-05-05T16:30:00Z
67,12,Pacific Northwest Demand Volatility Zone,2026-05-06,452,352,590,1.37,hightech_demo_forecast_v2,Demand volatility forecast for BOM Risk Reconciliation Service in Pacific Northwest Demand Volatility Zone.,2026-05-05T16:30:00Z
68,12,Great Lakes Supplier Risk Zone,2026-05-07,184,144,236,0.86,hightech_demo_forecast_v2,Demand volatility forecast for BOM Risk Reconciliation Service in Great Lakes Supplier Risk Zone.,2026-05-05T16:30:00Z
69,12,Gulf Coast Industrial IoT Region,2026-05-08,118,90,155,0.97,hightech_demo_forecast_v2,Demand volatility forecast for BOM Risk Reconciliation Service in Gulf Coast Industrial IoT Region.,2026-05-05T16:30:00Z
70,12,Mid-Atlantic Customer Commitment Belt,2026-05-09,370,296,474,0.89,hightech_demo_forecast_v2,Demand volatility forecast for BOM Risk Reconciliation Service in Mid-Atlantic Customer Commitment Belt.,2026-05-05T16:30:00Z
71,12,Rocky Mountain Edge Systems Zone,2026-05-10,430,346,533,0.93,hightech_demo_forecast_v2,Demand volatility forecast for BOM Risk Reconciliation Service in Rocky Mountain Edge Systems Zone.,2026-05-05T16:30:00Z
72,12,Central Plains Capacity Planning Region,2026-05-11,637,512,852,1.48,hightech_demo_forecast_v2,Demand volatility forecast for BOM Risk Reconciliation Service in Central Plains Capacity Planning Region.,2026-05-05T16:30:00Z
73,13,Great Lakes Supplier Risk Zone,2026-05-06,223,167,279,1.25,hightech_demo_forecast_v2,Demand volatility forecast for Engineering Change Order Copilot in Great Lakes Supplier Risk Zone.,2026-05-05T16:30:00Z
74,13,Gulf Coast Industrial IoT Region,2026-05-07,376,288,475,1.23,hightech_demo_forecast_v2,Demand volatility forecast for Engineering Change Order Copilot in Gulf Coast Industrial IoT Region.,2026-05-05T16:30:00Z
75,13,Mid-Atlantic Customer Commitment Belt,2026-05-08,400,327,478,1.44,hightech_demo_forecast_v2,Demand volatility forecast for Engineering Change Order Copilot in Mid-Atlantic Customer Commitment Belt.,2026-05-05T16:30:00Z
76,13,Rocky Mountain Edge Systems Zone,2026-05-09,282,221,349,1.36,hightech_demo_forecast_v2,Demand volatility forecast for Engineering Change Order Copilot in Rocky Mountain Edge Systems Zone.,2026-05-05T16:30:00Z
77,13,Central Plains Capacity Planning Region,2026-05-10,186,148,226,0.93,hightech_demo_forecast_v2,Demand volatility forecast for Engineering Change Order Copilot in Central Plains Capacity Planning Region.,2026-05-05T16:30:00Z
78,13,Tennessee Valley Assembly Region,2026-05-11,586,443,719,1.38,hightech_demo_forecast_v2,Demand volatility forecast for Engineering Change Order Copilot in Tennessee Valley Assembly Region.,2026-05-05T16:30:00Z
79,14,Gulf Coast Industrial IoT Region,2026-05-06,592,455,754,1.36,hightech_demo_forecast_v2,Demand volatility forecast for NPI Launch Readiness Board in Gulf Coast Industrial IoT Region.,2026-05-05T16:30:00Z
80,14,Mid-Atlantic Customer Commitment Belt,2026-05-07,536,429,688,0.86,hightech_demo_forecast_v2,Demand volatility forecast for NPI Launch Readiness Board in Mid-Atlantic Customer Commitment Belt.,2026-05-05T16:30:00Z
81,14,Rocky Mountain Edge Systems Zone,2026-05-08,317,257,413,1.4,hightech_demo_forecast_v2,Demand volatility forecast for NPI Launch Readiness Board in Rocky Mountain Edge Systems Zone.,2026-05-05T16:30:00Z
82,14,Central Plains Capacity Planning Region,2026-05-09,367,283,478,1.02,hightech_demo_forecast_v2,Demand volatility forecast for NPI Launch Readiness Board in Central Plains Capacity Planning Region.,2026-05-05T16:30:00Z
83,14,Tennessee Valley Assembly Region,2026-05-10,471,358,624,1.1,hightech_demo_forecast_v2,Demand volatility forecast for NPI Launch Readiness Board in Tennessee Valley Assembly Region.,2026-05-05T16:30:00Z
84,14,New England Warranty Analytics Corridor,2026-05-11,643,514,846,1.53,hightech_demo_forecast_v2,Demand volatility forecast for NPI Launch Readiness Board in New England Warranty Analytics Corridor.,2026-05-05T16:30:00Z
85,15,Mid-Atlantic Customer Commitment Belt,2026-05-06,407,331,477,1.46,hightech_demo_forecast_v2,Demand volatility forecast for Supplier Shortage Radar in Mid-Atlantic Customer Commitment Belt.,2026-05-05T16:30:00Z
86,15,Rocky Mountain Edge Systems Zone,2026-05-07,563,449,711,1.2,hightech_demo_forecast_v2,Demand volatility forecast for Supplier Shortage Radar in Rocky Mountain Edge Systems Zone.,2026-05-05T16:30:00Z
87,15,Central Plains Capacity Planning Region,2026-05-08,225,168,264,1.43,hightech_demo_forecast_v2,Demand volatility forecast for Supplier Shortage Radar in Central Plains Capacity Planning Region.,2026-05-05T16:30:00Z
88,15,Tennessee Valley Assembly Region,2026-05-09,545,411,670,1.14,hightech_demo_forecast_v2,Demand volatility forecast for Supplier Shortage Radar in Tennessee Valley Assembly Region.,2026-05-05T16:30:00Z
89,15,New England Warranty Analytics Corridor,2026-05-10,696,544,920,1.42,hightech_demo_forecast_v2,Demand volatility forecast for Supplier Shortage Radar in New England Warranty Analytics Corridor.,2026-05-05T16:30:00Z
90,15,Silicon Valley AI Systems Corridor,2026-05-11,268,209,349,1.09,hightech_demo_forecast_v2,Demand volatility forecast for Supplier Shortage Radar in Silicon Valley AI Systems Corridor.,2026-05-05T16:30:00Z
91,16,Rocky Mountain Edge Systems Zone,2026-05-06,449,359,527,1.36,hightech_demo_forecast_v2,Demand volatility forecast for Component Allocation Optimizer in Rocky Mountain Edge Systems Zone.,2026-05-05T16:30:00Z
92,16,Central Plains Capacity Planning Region,2026-05-07,584,465,772,1.25,hightech_demo_forecast_v2,Demand volatility forecast for Component Allocation Optimizer in Central Plains Capacity Planning Region.,2026-05-05T16:30:00Z
93,16,Tennessee Valley Assembly Region,2026-05-08,124,100,146,1.15,hightech_demo_forecast_v2,Demand volatility forecast for Component Allocation Optimizer in Tennessee Valley Assembly Region.,2026-05-05T16:30:00Z
94,16,New England Warranty Analytics Corridor,2026-05-09,250,202,299,0.85,hightech_demo_forecast_v2,Demand volatility forecast for Component Allocation Optimizer in New England Warranty Analytics Corridor.,2026-05-05T16:30:00Z
95,16,Silicon Valley AI Systems Corridor,2026-05-10,361,278,479,1.25,hightech_demo_forecast_v2,Demand volatility forecast for Component Allocation Optimizer in Silicon Valley AI Systems Corridor.,2026-05-05T16:30:00Z
96,16,Arizona Fab Operations Belt,2026-05-11,515,381,678,1.3,hightech_demo_forecast_v2,Demand volatility forecast for Component Allocation Optimizer in Arizona Fab Operations Belt.,2026-05-05T16:30:00Z
97,17,Central Plains Capacity Planning Region,2026-05-06,379,287,446,1.4,hightech_demo_forecast_v2,Demand volatility forecast for Rugged Sensor Replacement Kit in Central Plains Capacity Planning Region.,2026-05-05T16:30:00Z
98,17,Tennessee Valley Assembly Region,2026-05-07,391,305,494,1.2,hightech_demo_forecast_v2,Demand volatility forecast for Rugged Sensor Replacement Kit in Tennessee Valley Assembly Region.,2026-05-05T16:30:00Z
99,17,New England Warranty Analytics Corridor,2026-05-08,278,209,372,1.39,hightech_demo_forecast_v2,Demand volatility forecast for Rugged Sensor Replacement Kit in New England Warranty Analytics Corridor.,2026-05-05T16:30:00Z
100,17,Silicon Valley AI Systems Corridor,2026-05-09,367,289,471,1.03,hightech_demo_forecast_v2,Demand volatility forecast for Rugged Sensor Replacement Kit in Silicon Valley AI Systems Corridor.,2026-05-05T16:30:00Z
101,17,Arizona Fab Operations Belt,2026-05-10,434,351,506,0.89,hightech_demo_forecast_v2,Demand volatility forecast for Rugged Sensor Replacement Kit in Arizona Fab Operations Belt.,2026-05-05T16:30:00Z
102,17,Texas Component Logistics Zone,2026-05-11,484,386,571,1.16,hightech_demo_forecast_v2,Demand volatility forecast for Rugged Sensor Replacement Kit in Texas Component Logistics Zone.,2026-05-05T16:30:00Z
103,18,Tennessee Valley Assembly Region,2026-05-06,707,529,914,0.96,hightech_demo_forecast_v2,Demand volatility forecast for Warranty Escape Detector in Tennessee Valley Assembly Region.,2026-05-05T16:30:00Z
104,18,New England Warranty Analytics Corridor,2026-05-07,596,458,694,1.15,hightech_demo_forecast_v2,Demand volatility forecast for Warranty Escape Detector in New England Warranty Analytics Corridor.,2026-05-05T16:30:00Z
105,18,Silicon Valley AI Systems Corridor,2026-05-08,562,456,751,1.18,hightech_demo_forecast_v2,Demand volatility forecast for Warranty Escape Detector in Silicon Valley AI Systems Corridor.,2026-05-05T16:30:00Z
106,18,Arizona Fab Operations Belt,2026-05-09,540,431,698,1.31,hightech_demo_forecast_v2,Demand volatility forecast for Warranty Escape Detector in Arizona Fab Operations Belt.,2026-05-05T16:30:00Z
107,18,Texas Component Logistics Zone,2026-05-10,367,279,472,1.16,hightech_demo_forecast_v2,Demand volatility forecast for Warranty Escape Detector in Texas Component Logistics Zone.,2026-05-05T16:30:00Z
108,18,Midwest Contract Manufacturing Cluster,2026-05-11,456,371,561,1.33,hightech_demo_forecast_v2,Demand volatility forecast for Warranty Escape Detector in Midwest Contract Manufacturing Cluster.,2026-05-05T16:30:00Z
109,19,New England Warranty Analytics Corridor,2026-05-06,118,91,158,1.16,hightech_demo_forecast_v2,Demand volatility forecast for Connected Product Quality Monitor in New England Warranty Analytics Corridor.,2026-05-05T16:30:00Z
110,19,Silicon Valley AI Systems Corridor,2026-05-07,465,374,543,0.88,hightech_demo_forecast_v2,Demand volatility forecast for Connected Product Quality Monitor in Silicon Valley AI Systems Corridor.,2026-05-05T16:30:00Z
111,19,Arizona Fab Operations Belt,2026-05-08,208,157,272,1.28,hightech_demo_forecast_v2,Demand volatility forecast for Connected Product Quality Monitor in Arizona Fab Operations Belt.,2026-05-05T16:30:00Z
112,19,Texas Component Logistics Zone,2026-05-09,552,438,669,1.5,hightech_demo_forecast_v2,Demand volatility forecast for Connected Product Quality Monitor in Texas Component Logistics Zone.,2026-05-05T16:30:00Z
113,19,Midwest Contract Manufacturing Cluster,2026-05-10,401,302,490,1.01,hightech_demo_forecast_v2,Demand volatility forecast for Connected Product Quality Monitor in Midwest Contract Manufacturing Cluster.,2026-05-05T16:30:00Z
114,19,Northeast PLM Handoff Corridor,2026-05-11,128,97,164,1.45,hightech_demo_forecast_v2,Demand volatility forecast for Connected Product Quality Monitor in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
115,20,Silicon Valley AI Systems Corridor,2026-05-06,516,420,683,1.27,hightech_demo_forecast_v2,Demand volatility forecast for Optical Module Test Kit in Silicon Valley AI Systems Corridor.,2026-05-05T16:30:00Z
116,20,Arizona Fab Operations Belt,2026-05-07,212,160,250,1.38,hightech_demo_forecast_v2,Demand volatility forecast for Optical Module Test Kit in Arizona Fab Operations Belt.,2026-05-05T16:30:00Z
117,20,Texas Component Logistics Zone,2026-05-08,488,393,627,1.51,hightech_demo_forecast_v2,Demand volatility forecast for Optical Module Test Kit in Texas Component Logistics Zone.,2026-05-05T16:30:00Z
118,20,Midwest Contract Manufacturing Cluster,2026-05-09,528,418,628,1.43,hightech_demo_forecast_v2,Demand volatility forecast for Optical Module Test Kit in Midwest Contract Manufacturing Cluster.,2026-05-05T16:30:00Z
119,20,Northeast PLM Handoff Corridor,2026-05-10,651,519,818,1.28,hightech_demo_forecast_v2,Demand volatility forecast for Optical Module Test Kit in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
120,20,Southeast Quality Response Region,2026-05-11,366,287,433,1.28,hightech_demo_forecast_v2,Demand volatility forecast for Optical Module Test Kit in Southeast Quality Response Region.,2026-05-05T16:30:00Z
121,21,Arizona Fab Operations Belt,2026-05-06,217,165,268,0.97,hightech_demo_forecast_v2,Demand volatility forecast for Supply Chain Control Tower Seat in Arizona Fab Operations Belt.,2026-05-05T16:30:00Z
122,21,Texas Component Logistics Zone,2026-05-07,578,457,762,1.43,hightech_demo_forecast_v2,Demand volatility forecast for Supply Chain Control Tower Seat in Texas Component Logistics Zone.,2026-05-05T16:30:00Z
123,21,Midwest Contract Manufacturing Cluster,2026-05-08,190,151,229,1.15,hightech_demo_forecast_v2,Demand volatility forecast for Supply Chain Control Tower Seat in Midwest Contract Manufacturing Cluster.,2026-05-05T16:30:00Z
124,21,Northeast PLM Handoff Corridor,2026-05-09,297,226,365,1.03,hightech_demo_forecast_v2,Demand volatility forecast for Supply Chain Control Tower Seat in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
125,21,Southeast Quality Response Region,2026-05-10,210,168,279,1.39,hightech_demo_forecast_v2,Demand volatility forecast for Supply Chain Control Tower Seat in Southeast Quality Response Region.,2026-05-05T16:30:00Z
126,21,Pacific Connected Product Coast,2026-05-11,374,283,437,1.12,hightech_demo_forecast_v2,Demand volatility forecast for Supply Chain Control Tower Seat in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
127,22,Texas Component Logistics Zone,2026-05-06,646,494,794,1.25,hightech_demo_forecast_v2,Demand volatility forecast for Contract Manufacturing Capacity Pack in Texas Component Logistics Zone.,2026-05-05T16:30:00Z
128,22,Midwest Contract Manufacturing Cluster,2026-05-07,345,258,421,0.91,hightech_demo_forecast_v2,Demand volatility forecast for Contract Manufacturing Capacity Pack in Midwest Contract Manufacturing Cluster.,2026-05-05T16:30:00Z
129,22,Northeast PLM Handoff Corridor,2026-05-08,453,364,532,0.95,hightech_demo_forecast_v2,Demand volatility forecast for Contract Manufacturing Capacity Pack in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
130,22,Southeast Quality Response Region,2026-05-09,208,156,264,1.12,hightech_demo_forecast_v2,Demand volatility forecast for Contract Manufacturing Capacity Pack in Southeast Quality Response Region.,2026-05-05T16:30:00Z
131,22,Pacific Connected Product Coast,2026-05-10,338,270,441,1.55,hightech_demo_forecast_v2,Demand volatility forecast for Contract Manufacturing Capacity Pack in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
132,22,Mountain Network Systems Region,2026-05-11,613,468,761,1.52,hightech_demo_forecast_v2,Demand volatility forecast for Contract Manufacturing Capacity Pack in Mountain Network Systems Region.,2026-05-05T16:30:00Z
